,CHNG
2020-12-28,18.25
2020-12-29,18.170000076293945
2020-12-30,18.579999923706055
2020-12-31,18.649999618530273
2021-01-04,18.25
2021-01-05,18.239999771118164
2021-01-06,23.719999313354492
2021-01-07,23.915000915527344
2021-01-08,24.139999389648438
2021-01-11,24.049999237060547
2021-01-12,24.020000457763672
2021-01-13,23.90999984741211
2021-01-14,23.920000076293945
2021-01-15,24.0
2021-01-19,24.0
2021-01-20,24.06999969482422
2021-01-21,24.049999237060547
2021-01-22,24.049999237060547
2021-01-25,24.06999969482422
2021-01-26,24.010000228881836
2021-01-27,23.790000915527344
2021-01-28,23.829999923706055
2021-01-29,23.860000610351562
2021-02-01,23.829999923706055
2021-02-02,23.959999084472656
2021-02-03,23.860000610351562
2021-02-04,23.770000457763672
2021-02-05,23.799999237060547
2021-02-08,23.780000686645508
2021-02-09,23.760000228881836
2021-02-10,23.770000457763672
2021-02-11,23.65999984741211
2021-02-12,23.690000534057617
2021-02-16,23.690000534057617
2021-02-17,23.610000610351562
2021-02-18,23.530000686645508
2021-02-19,23.389999389648438
2021-02-22,23.040000915527344
2021-02-23,23.209999084472656
2021-02-24,23.18000030517578
2021-02-25,22.950000762939453
2021-02-26,22.8700008392334
2021-03-01,23.040000915527344
2021-03-02,22.709999084472656
2021-03-03,22.579999923706055
2021-03-04,22.450000762939453
2021-03-05,22.399999618530273
2021-03-08,22.479999542236328
2021-03-09,22.670000076293945
2021-03-10,22.760000228881836
2021-03-11,22.899999618530273
2021-03-12,22.899999618530273
2021-03-15,22.979999542236328
2021-03-16,22.989999771118164
2021-03-17,23.15999984741211
2021-03-18,22.739999771118164
2021-03-19,22.75
2021-03-22,22.639999389648438
2021-03-23,22.56999969482422
2021-03-24,22.34000015258789
2021-03-25,22.549999237060547
2021-03-26,22.639999389648438
2021-03-29,22.149999618530273
2021-03-30,22.270000457763672
2021-03-31,22.100000381469727
2021-04-01,22.389999389648438
2021-04-05,22.360000610351562
2021-04-06,22.1299991607666
2021-04-07,22.170000076293945
2021-04-08,22.5
2021-04-09,22.510000228881836
2021-04-12,22.399999618530273
2021-04-13,22.479999542236328
2021-04-14,22.690000534057617
2021-04-15,22.6299991607666
2021-04-16,22.809999465942383
2021-04-19,22.81999969482422
2021-04-20,22.950000762939453
2021-04-21,22.8799991607666
2021-04-22,23.110000610351562
2021-04-23,23.219999313354492
2021-04-26,23.219999313354492
2021-04-27,23.190000534057617
2021-04-28,23.18000030517578
2021-04-29,23.0
2021-04-30,22.950000762939453
2021-05-03,23.020000457763672
2021-05-04,22.950000762939453
2021-05-05,23.049999237060547
2021-05-06,22.950000762939453
2021-05-07,22.889999389648438
2021-05-10,22.729999542236328
2021-05-11,22.6299991607666
2021-05-12,22.360000610351562
2021-05-13,22.579999923706055
2021-05-14,22.8799991607666
