,SKG
2014-07-08,9793.8095703125
2014-07-09,10469.2001953125
2014-07-10,11201.0
2014-07-11,11960.7998046875
2014-07-14,11285.400390625
2014-07-15,12073.400390625
2014-07-16,12889.599609375
2014-07-17,12945.7998046875
2014-07-18,13508.7001953125
2014-07-21,13874.599609375
2014-07-22,13733.900390625
2014-07-23,13733.900390625
2014-07-24,12889.599609375
2014-07-25,12861.400390625
2014-07-28,12861.400390625
2014-07-29,12889.599609375
2014-07-30,12945.7998046875
2014-07-31,12861.400390625
2014-08-01,12945.7998046875
2014-08-04,13283.599609375
2014-08-05,13733.900390625
2014-08-06,13368.0
2014-08-07,13452.400390625
2014-08-08,13339.7998046875
2014-08-11,13593.099609375
2014-08-12,13508.7001953125
2014-08-13,13396.099609375
2014-08-14,13396.099609375
2014-08-15,12945.7998046875
2014-08-18,13227.2998046875
2014-08-19,13114.7001953125
2014-08-20,12551.7998046875
2014-08-21,12805.099609375
2014-08-22,12805.099609375
2014-08-25,12608.099609375
2014-08-26,12636.2998046875
2014-08-27,12439.2998046875
2014-08-28,12636.2998046875
2014-08-29,12636.2998046875
2014-09-02,12636.2998046875
2014-09-03,12580.0
2014-09-04,12861.400390625
2014-09-05,12833.2998046875
2014-09-08,13171.0
2014-09-09,12889.599609375
2014-09-10,12889.599609375
2014-09-11,13030.2998046875
2014-09-12,13227.2998046875
2014-09-15,13508.7001953125
2014-09-16,13882.400390625
2014-09-17,13850.2001953125
2014-09-18,13495.900390625
2014-09-19,13399.2998046875
2014-09-22,13624.7998046875
2014-09-23,13206.0
2014-09-24,13238.2001953125
2014-09-25,13238.2001953125
2014-09-26,13495.900390625
2014-09-29,13463.7001953125
2014-09-30,13528.099609375
2014-10-01,14172.2998046875
2014-10-02,14333.400390625
2014-10-03,13850.2001953125
2014-10-06,14204.5
2014-10-07,14816.5
2014-10-08,14430.0
2014-10-09,14236.7998046875
2014-10-10,14043.5
2014-10-13,14172.2998046875
2014-10-14,14365.599609375
2014-10-15,14043.5
2014-10-16,13592.599609375
2014-10-17,14430.0
2014-10-20,15042.0
2014-10-21,15750.599609375
2014-10-22,15492.900390625
2014-10-23,15364.099609375
2014-10-24,14848.7001953125
2014-10-27,14591.099609375
2014-10-28,14333.400390625
2014-10-29,14687.7001953125
2014-10-30,14784.2998046875
2014-10-31,14752.099609375
2014-11-03,14397.7998046875
2014-11-04,14204.5
2014-11-05,14365.599609375
2014-11-06,14365.599609375
2014-11-07,14687.7001953125
2014-11-10,14816.5
2014-11-11,14784.2998046875
2014-11-12,14494.400390625
2014-11-13,14591.099609375
2014-11-14,14494.400390625
2014-11-17,14269.0
2014-11-18,14462.2001953125
2014-11-19,14494.400390625
2014-11-20,14494.400390625
2014-11-21,14107.900390625
2014-11-24,13850.2001953125
2014-11-25,13914.7001953125
2014-11-26,14011.2998046875
2014-11-28,14301.2001953125
2014-12-01,14011.2998046875
2014-12-02,13689.2001953125
2014-12-03,13914.7001953125
2014-12-04,13914.7001953125
2014-12-05,14172.2998046875
2014-12-08,13785.7998046875
2014-12-09,12883.900390625
2014-12-10,13689.2001953125
2014-12-11,13528.099609375
2014-12-12,13624.7998046875
2014-12-15,13528.099609375
2014-12-16,13077.2001953125
2014-12-17,13206.0
2014-12-18,13334.900390625
2014-12-19,13334.900390625
2014-12-22,13495.900390625
2014-12-23,13528.099609375
2014-12-24,14011.2998046875
2014-12-26,13882.400390625
2014-12-29,13850.2001953125
2014-12-30,14011.2998046875
2014-12-31,14172.2998046875
2015-01-02,14172.2998046875
2015-01-05,14301.2001953125
2015-01-06,14333.400390625
2015-01-07,14816.5
2015-01-08,15589.599609375
2015-01-09,15621.7998046875
2015-01-12,15492.900390625
2015-01-13,15557.400390625
2015-01-14,15460.7001953125
2015-01-15,15428.5
2015-01-16,15460.7001953125
2015-01-20,15460.7001953125
2015-01-21,15299.7001953125
2015-01-22,15299.7001953125
2015-01-23,15235.2998046875
2015-01-26,15074.2001953125
2015-01-27,15106.400390625
2015-01-28,15138.599609375
2015-01-29,15106.400390625
2015-01-30,15106.400390625
2015-02-02,14719.900390625
2015-02-03,14462.2001953125
2015-02-04,14462.2001953125
2015-02-05,14430.0
2015-02-06,14172.2998046875
2015-02-09,14462.2001953125
2015-02-10,14269.0
2015-02-11,14623.2998046875
2015-02-12,14623.2998046875
2015-02-13,14719.900390625
2015-02-17,14719.900390625
2015-02-18,14719.900390625
2015-02-19,14719.900390625
2015-02-20,14719.900390625
2015-02-23,14719.900390625
