,AFAQU
2021-03-19,9.829999923706055
2021-03-22,9.819999694824219
2021-03-23,9.770000457763672
2021-03-24,9.800000190734863
2021-03-25,9.829999923706055
2021-03-26,9.819999694824219
2021-03-29,9.829999923706055
2021-03-30,9.850000381469727
2021-03-31,9.869999885559082
2021-04-01,9.949999809265137
2021-04-05,9.9399995803833
2021-04-06,9.947999954223633
2021-04-07,9.899999618530273
2021-04-08,10.039999961853027
2021-04-09,10.0
2021-04-12,10.0
2021-04-13,9.949999809265137
2021-04-14,10.039999961853027
2021-04-15,10.050000190734863
2021-04-16,10.0
2021-04-19,9.979999542236328
2021-04-20,10.0
2021-04-21,10.0
2021-04-22,9.949999809265137
2021-04-23,9.899999618530273
2021-04-26,9.930000305175781
2021-04-27,9.9399995803833
2021-04-28,9.9350004196167
2021-04-29,9.9399995803833
2021-04-30,9.9399995803833
2021-05-03,9.949999809265137
2021-05-04,9.96500015258789
2021-05-05,9.96500015258789
2021-05-06,10.0
2021-05-07,9.994999885559082
2021-05-10,9.956999778747559
2021-05-11,9.989999771118164
2021-05-12,10.0
2021-05-13,9.949999809265137
2021-05-14,9.949999809265137
