,EDOC
2020-07-30,15.569999694824219
2020-07-31,15.579999923706055
2020-08-03,15.835000038146973
2020-08-04,16.049999237060547
2020-08-05,16.09000015258789
2020-08-06,16.1299991607666
2020-08-07,15.960000038146973
2020-08-10,15.699999809265137
2020-08-11,15.430000305175781
2020-08-12,15.569999694824219
2020-08-13,15.760000228881836
2020-08-14,15.5600004196167
2020-08-17,15.84000015258789
2020-08-18,16.030000686645508
2020-08-19,16.1200008392334
2020-08-20,16.209999084472656
2020-08-21,16.209999084472656
2020-08-24,16.020000457763672
2020-08-25,15.970000267028809
2020-08-26,16.06599998474121
2020-08-27,16.135000228881836
2020-08-28,16.149999618530273
2020-08-31,16.299999237060547
2020-09-01,16.496000289916992
2020-09-02,16.8799991607666
2020-09-03,16.139999389648438
2020-09-04,15.789999961853027
2020-09-08,15.479999542236328
2020-09-09,15.97599983215332
2020-09-10,15.90999984741211
2020-09-11,15.760000228881836
2020-09-14,16.1299991607666
2020-09-15,16.350000381469727
2020-09-16,16.415000915527344
2020-09-17,16.274999618530273
2020-09-18,16.40999984741211
2020-09-21,16.139999389648438
2020-09-22,16.329999923706055
2020-09-23,16.040000915527344
2020-09-24,15.970000267028809
2020-09-25,16.413999557495117
2020-09-28,16.520000457763672
2020-09-29,16.70199966430664
2020-09-30,16.799999237060547
2020-10-01,16.860000610351562
2020-10-02,16.67300033569336
2020-10-05,16.950000762939453
2020-10-06,16.950000762939453
2020-10-07,17.270000457763672
2020-10-08,17.34000015258789
2020-10-09,17.575000762939453
2020-10-12,17.700000762939453
2020-10-13,17.8700008392334
2020-10-14,17.81999969482422
2020-10-15,17.68000030517578
2020-10-16,17.600000381469727
2020-10-19,17.450000762939453
2020-10-20,17.43899917602539
2020-10-21,17.15999984741211
2020-10-22,17.32200050354004
2020-10-23,17.375999450683594
2020-10-26,17.190000534057617
2020-10-27,17.43000030517578
2020-10-28,16.940000534057617
2020-10-29,16.920000076293945
2020-10-30,16.270000457763672
2020-11-02,16.270000457763672
2020-11-03,16.77899932861328
2020-11-04,17.239999771118164
2020-11-05,17.760000228881836
2020-11-06,17.770000457763672
2020-11-09,17.469999313354492
2020-11-10,17.270000457763672
2020-11-11,17.540000915527344
2020-11-12,17.479999542236328
2020-11-13,17.549999237060547
2020-11-16,17.389999389648438
2020-11-17,17.3799991607666
2020-11-18,17.280000686645508
2020-11-19,17.59000015258789
2020-11-20,17.889999389648438
2020-11-23,17.989999771118164
2020-11-24,17.799999237060547
