,DMXF
2020-06-18,51.5
2020-06-19,51.28799819946289
2020-06-22,51.28799819946289
2020-06-23,51.28799819946289
2020-06-24,51.28799819946289
2020-06-25,51.71200180053711
2020-06-26,51.0629997253418
2020-06-29,51.0629997253418
2020-06-30,51.0629997253418
2020-07-01,51.0629997253418
2020-07-02,52.08300018310547
2020-07-06,52.08300018310547
2020-07-07,52.08300018310547
2020-07-08,52.74100112915039
2020-07-09,52.74100112915039
2020-07-10,52.74100112915039
2020-07-13,53.31999969482422
2020-07-14,53.071998596191406
2020-07-15,53.667999267578125
2020-07-16,53.667999267578125
2020-07-17,53.50299835205078
2020-07-20,53.50299835205078
2020-07-21,54.29999923706055
2020-07-22,54.23099899291992
2020-07-23,53.79999923706055
2020-07-24,53.45500183105469
2020-07-27,54.27899932861328
2020-07-28,53.95500183105469
2020-07-29,53.95500183105469
2020-07-30,53.20000076293945
2020-07-31,53.20000076293945
2020-08-03,53.59000015258789
2020-08-04,53.83000183105469
2020-08-05,53.83000183105469
2020-08-06,53.83000183105469
2020-08-07,54.12799835205078
2020-08-10,54.12799835205078
2020-08-11,54.402000427246094
2020-08-12,55.650001525878906
2020-08-13,55.39699935913086
2020-08-14,55.39699935913086
2020-08-17,55.36000061035156
2020-08-18,55.36000061035156
2020-08-19,55.362998962402344
2020-08-20,55.21500015258789
2020-08-21,54.79999923706055
2020-08-24,55.72999954223633
2020-08-25,55.68000030517578
2020-08-26,56.242000579833984
2020-08-27,55.79999923706055
2020-08-28,55.93000030517578
2020-08-31,55.733001708984375
2020-09-01,55.733001708984375
2020-09-02,56.56399917602539
2020-09-03,55.143001556396484
2020-09-04,55.369998931884766
2020-09-08,54.63999938964844
2020-09-09,54.63999938964844
2020-09-10,55.13999938964844
2020-09-11,55.56100082397461
2020-09-14,55.939998626708984
2020-09-15,55.939998626708984
2020-09-16,55.939998626708984
2020-09-17,56.358001708984375
2020-09-18,56.358001708984375
2020-09-21,54.400001525878906
2020-09-22,54.81100082397461
2020-09-23,54.53300094604492
2020-09-24,54.53300094604492
2020-09-25,54.5369987487793
2020-09-28,55.45000076293945
2020-09-29,55.45000076293945
2020-09-30,55.220001220703125
2020-10-01,55.650001525878906
2020-10-02,55.38999938964844
2020-10-05,55.944000244140625
2020-10-06,55.70000076293945
2020-10-07,56.108001708984375
2020-10-08,56.499000549316406
2020-10-09,56.77000045776367
2020-10-12,57.17499923706055
2020-10-13,56.70199966430664
2020-10-14,56.6879997253418
2020-10-15,55.9379997253418
2020-10-16,56.1619987487793
2020-10-19,55.9119987487793
2020-10-20,56.237998962402344
2020-10-21,56.020999908447266
2020-10-22,55.98699951171875
2020-10-23,56.20399856567383
2020-10-26,55.058998107910156
2020-10-27,54.810001373291016
2020-10-28,53.77000045776367
2020-10-29,53.71200180053711
2020-10-30,53.28099822998047
2020-11-02,53.81800079345703
2020-11-03,55.41999816894531
2020-11-04,55.755001068115234
2020-11-05,57.3849983215332
2020-11-06,57.630001068115234
2020-11-09,58.9010009765625
2020-11-10,58.834999084472656
2020-11-11,59.132999420166016
2020-11-12,58.52199935913086
2020-11-13,59.52000045776367
2020-11-16,59.88999938964844
2020-11-17,59.88999938964844
2020-11-18,59.779998779296875
2020-11-19,59.8849983215332
2020-11-20,60.2599983215332
2020-11-23,60.005001068115234
2020-11-24,60.720001220703125
2020-11-25,60.650001525878906
2020-11-27,61.16999816894531
2020-11-30,60.117000579833984
2020-12-01,61.349998474121094
2020-12-02,61.1349983215332
2020-12-03,61.310001373291016
2020-12-04,61.45500183105469
2020-12-07,61.130001068115234
2020-12-08,61.29999923706055
2020-12-09,61.34000015258789
2020-12-10,61.5
2020-12-11,61.41999816894531
2020-12-14,61.32500076293945
2020-12-15,61.970001220703125
2020-12-16,62.257999420166016
2020-12-17,62.72200012207031
2020-12-18,62.56999969482422
2020-12-21,61.8380012512207
2020-12-22,62.02000045776367
2020-12-23,62.400001525878906
2020-12-24,62.36600112915039
2020-12-28,63.209999084472656
2020-12-29,63.5099983215332
2020-12-30,63.56999969482422
2020-12-31,63.209999084472656
2021-01-04,63.439998626708984
2021-01-05,63.862998962402344
2021-01-06,64.41100311279297
2021-01-07,64.61000061035156
2021-01-08,65.03900146484375
2021-01-11,64.54000091552734
2021-01-12,64.62999725341797
2021-01-13,64.5999984741211
2021-01-14,65.45999908447266
2021-01-15,64.36000061035156
2021-01-19,64.66799926757812
2021-01-20,65.13999938964844
2021-01-21,65.25199890136719
2021-01-22,64.89900207519531
2021-01-25,64.76000213623047
2021-01-26,64.91899871826172
2021-01-27,63.42900085449219
2021-01-28,64.02999877929688
2021-01-29,62.689998626708984
2021-02-01,63.40999984741211
2021-02-02,64.05000305175781
2021-02-03,64.1760025024414
2021-02-04,64.12100219726562
2021-02-05,64.63300323486328
2021-02-08,65.10800170898438
2021-02-09,65.66000366210938
2021-02-10,65.26200103759766
2021-02-11,65.80999755859375
2021-02-12,66.36799621582031
2021-02-16,66.79000091552734
2021-02-17,66.29000091552734
2021-02-18,65.9020004272461
2021-02-19,66.18900299072266
2021-02-22,65.79199981689453
2021-02-23,65.9800033569336
2021-02-24,65.73200225830078
2021-02-25,64.7300033569336
2021-02-26,63.810001373291016
2021-03-01,64.98999786376953
2021-03-02,64.79000091552734
2021-03-03,64.20999908447266
2021-03-04,63.189998626708984
2021-03-05,63.599998474121094
2021-03-08,63.29999923706055
2021-03-09,64.31999969482422
2021-03-10,64.54000091552734
2021-03-11,64.91999816894531
2021-03-12,65.01100158691406
2021-03-15,65.0790023803711
2021-03-16,65.28500366210938
2021-03-17,65.51000213623047
2021-03-18,65.11599731445312
2021-03-19,65.16899871826172
2021-03-22,65.15399932861328
2021-03-23,64.45999908447266
2021-03-24,64.06900024414062
2021-03-25,64.56700134277344
2021-03-26,65.46299743652344
2021-03-29,65.19499969482422
2021-03-30,65.0199966430664
2021-03-31,64.90699768066406
2021-04-01,65.88999938964844
2021-04-05,66.88400268554688
2021-04-06,66.05000305175781
2021-04-07,66.19999694824219
2021-04-08,66.69999694824219
2021-04-09,66.93099975585938
2021-04-12,66.50499725341797
2021-04-13,66.98500061035156
2021-04-14,66.97000122070312
2021-04-15,67.48999786376953
2021-04-16,67.9000015258789
2021-04-19,67.6449966430664
2021-04-20,66.62000274658203
2021-04-21,67.29000091552734
2021-04-22,67.1240005493164
2021-04-23,67.8499984741211
2021-04-26,67.83999633789062
2021-04-27,67.58999633789062
2021-04-28,67.65899658203125
2021-04-29,67.66799926757812
2021-04-30,66.69200134277344
2021-05-03,67.5199966430664
2021-05-04,66.41000366210938
2021-05-05,67.28800201416016
2021-05-06,67.47000122070312
2021-05-07,68.54900360107422
2021-05-10,68.05500030517578
2021-05-11,67.06900024414062
2021-05-12,65.76799774169922
2021-05-13,66.2959976196289
2021-05-14,67.76000213623047
