,EPIX
2015-03-13,88.4000015258789
2015-03-16,87.80000305175781
2015-03-17,87.80000305175781
2015-03-18,87.80000305175781
2015-03-19,92.5999984741211
2015-03-20,107.5999984741211
2015-03-23,107.5999984741211
2015-03-24,107.5999984741211
2015-03-25,107.5999984741211
2015-03-26,107.5999984741211
2015-03-27,107.5999984741211
2015-03-30,107.5999984741211
2015-03-31,107.5999984741211
2015-04-01,107.5999984741211
2015-04-02,129.8000030517578
2015-04-06,146.0
2015-04-07,146.0
2015-04-08,146.0
2015-04-09,146.0
2015-04-10,146.0
2015-04-13,153.0
2015-04-14,153.0
2015-04-15,153.0
2015-04-16,153.0
2015-04-17,153.0
2015-04-20,153.0
2015-04-21,153.0
2015-04-22,153.0
2015-04-23,153.0
2015-04-24,152.0
2015-04-27,152.0
2015-04-28,152.0
2015-04-29,152.0
2015-04-30,151.60000610351562
2015-05-01,151.60000610351562
2015-05-04,151.60000610351562
2015-05-05,151.60000610351562
2015-05-06,151.60000610351562
2015-05-07,151.60000610351562
2015-05-08,151.60000610351562
2015-05-11,151.60000610351562
2015-05-12,151.60000610351562
2015-05-13,151.60000610351562
2015-05-14,151.60000610351562
2015-05-15,151.60000610351562
2015-05-18,151.60000610351562
2015-05-19,151.60000610351562
2015-05-20,151.60000610351562
2015-05-21,151.60000610351562
2015-05-22,151.60000610351562
2015-05-26,151.60000610351562
2015-05-27,147.1999969482422
2015-05-28,147.1999969482422
2015-05-29,147.1999969482422
2015-06-01,147.1999969482422
2015-06-02,150.0
2015-06-03,150.0
2015-06-04,150.0
2015-06-05,150.0
2015-06-08,150.0
2015-06-09,150.0
2015-06-10,150.0
2015-06-11,150.0
2015-06-12,150.0
2015-06-15,150.0
2015-06-16,150.0
2015-06-17,150.0
2015-06-18,239.8000030517578
2015-06-19,239.8000030517578
2015-06-22,245.0
2015-06-23,245.0
2015-06-24,245.0
2015-06-25,245.0
2015-06-26,236.8000030517578
2015-06-29,231.0
2015-06-30,227.39999389648438
2015-07-01,227.39999389648438
2015-07-02,224.39999389648438
2015-07-06,224.39999389648438
2015-07-07,224.39999389648438
2015-07-08,224.39999389648438
2015-07-09,189.0
2015-07-10,178.39999389648438
2015-07-13,178.39999389648438
2015-07-14,150.0
2015-07-15,155.0
2015-07-16,182.8000030517578
2015-07-17,171.0
2015-07-20,172.0
2015-07-21,155.60000610351562
2015-07-22,155.60000610351562
2015-07-23,155.60000610351562
2015-07-24,155.8000030517578
2015-07-27,144.60000610351562
2015-07-28,144.60000610351562
2015-07-29,156.1999969482422
2015-07-30,156.0
2015-07-31,146.0
2015-08-03,146.0
2015-08-04,146.0
2015-08-05,150.0
2015-08-06,150.0
2015-08-07,129.0
2015-08-10,140.0
2015-08-11,140.0
2015-08-12,125.19999694824219
2015-08-13,125.19999694824219
2015-08-14,143.0
2015-08-17,140.0
2015-08-18,140.0
2015-08-19,140.0
2015-08-20,140.0
2015-08-21,122.0
2015-08-24,118.80000305175781
2015-08-25,104.0
2015-08-26,98.0
2015-08-27,114.80000305175781
2015-08-28,120.0
2015-08-31,120.0
2015-09-01,120.0
2015-09-02,119.0
2015-09-03,119.0
2015-09-04,119.0
2015-09-08,121.4000015258789
2015-09-09,121.4000015258789
2015-09-10,121.4000015258789
2015-09-11,121.4000015258789
2015-09-14,115.0
2015-09-15,131.0
2015-09-16,131.0
2015-09-17,131.0
2015-09-18,135.39999389648438
2015-09-21,136.0
2015-09-22,133.60000610351562
2015-09-23,125.5999984741211
2015-09-24,135.0
2015-09-25,132.39999389648438
2015-09-28,126.19999694824219
2015-09-29,126.19999694824219
2015-09-30,126.19999694824219
2015-10-01,137.1999969482422
2015-10-02,135.0
2015-10-05,135.0
2015-10-06,135.0
2015-10-07,134.63999938964844
2015-10-08,126.0
2015-10-09,140.0
2015-10-12,140.0
2015-10-13,132.0
2015-10-14,132.0
2015-10-15,131.9600067138672
2015-10-16,131.9600067138672
2015-10-19,131.9600067138672
2015-10-20,131.9600067138672
2015-10-21,126.0
2015-10-22,126.0
2015-10-23,126.0
2015-10-26,132.0
2015-10-27,132.0
2015-10-28,120.0
2015-10-29,120.0
2015-10-30,120.0
2015-11-02,120.0
2015-11-03,120.0
2015-11-04,120.0
2015-11-05,110.0
2015-11-06,110.0
2015-11-09,110.0
2015-11-10,100.0
2015-11-11,100.0
2015-11-12,100.0
2015-11-13,100.0
2015-11-16,100.0
2015-11-17,105.0
2015-11-18,105.0
2015-11-19,105.0
2015-11-20,103.0
2015-11-23,103.0
2015-11-24,97.0
2015-11-25,90.0
2015-11-27,98.5999984741211
2015-11-30,85.0
2015-12-01,86.68000030517578
2015-12-02,82.19999694824219
2015-12-03,94.5999984741211
2015-12-04,95.0
2015-12-07,95.0
2015-12-08,95.0
2015-12-09,95.0
2015-12-10,95.0
2015-12-11,94.0999984741211
2015-12-14,94.0999984741211
2015-12-15,85.0
2015-12-16,86.4000015258789
2015-12-17,84.4000015258789
2015-12-18,90.0
2015-12-21,90.0
2015-12-22,93.0
2015-12-23,80.0
2015-12-24,80.0
2015-12-28,80.0
2015-12-29,80.0
2015-12-30,80.0
2015-12-31,85.0
2016-01-04,94.0
2016-01-05,93.0
2016-01-06,95.0
2016-01-07,95.0
2016-01-08,80.0
2016-01-11,80.0
2016-01-12,88.5
2016-01-13,88.80000305175781
2016-01-14,80.0
2016-01-15,70.0
2016-01-19,69.5999984741211
2016-01-20,66.0
2016-01-21,69.4000015258789
2016-01-22,69.4000015258789
2016-01-25,65.0
2016-01-26,67.0
2016-01-27,65.0
2016-01-28,65.0
2016-01-29,60.0
2016-02-01,60.0
2016-02-02,56.0
2016-02-03,56.040000915527344
2016-02-04,59.599998474121094
2016-02-05,60.0
2016-02-08,57.0
2016-02-09,56.20000076293945
2016-02-10,60.0
2016-02-11,57.79999923706055
2016-02-12,57.79999923706055
2016-02-16,56.20000076293945
2016-02-17,57.400001525878906
2016-02-18,57.400001525878906
2016-02-19,54.599998474121094
2016-02-22,54.599998474121094
2016-02-23,46.900001525878906
2016-02-24,56.0
2016-02-25,50.20000076293945
