,EPIX
2016-02-26,51.599998474121094
2016-02-29,49.599998474121094
2016-03-01,49.0
2016-03-02,50.0
2016-03-03,52.0
2016-03-04,54.400001525878906
2016-03-07,64.19999694824219
2016-03-08,68.0
2016-03-09,70.0
2016-03-10,68.5999984741211
2016-03-11,67.80000305175781
2016-03-14,68.4000015258789
2016-03-15,66.80000305175781
2016-03-16,66.5999984741211
2016-03-17,68.0
2016-03-18,68.0
2016-03-21,66.80000305175781
2016-03-22,66.80000305175781
2016-03-23,65.80000305175781
2016-03-24,65.0
2016-03-28,65.0
2016-03-29,65.0
2016-03-30,61.400001525878906
2016-03-31,65.0
2016-04-01,65.0
2016-04-04,66.0
2016-04-05,66.0
2016-04-06,67.77999877929688
2016-04-07,66.0
2016-04-08,65.0
2016-04-11,60.0
2016-04-12,62.20000076293945
2016-04-13,66.80000305175781
2016-04-14,66.9000015258789
2016-04-15,66.0
2016-04-18,63.0
2016-04-19,65.0
2016-04-20,67.0
2016-04-21,67.0
2016-04-22,65.0
2016-04-25,65.0
2016-04-26,62.47999954223633
2016-04-27,63.0
2016-04-28,63.0
2016-04-29,60.0
2016-05-02,60.0
2016-05-03,59.31999969482422
2016-05-04,59.31999969482422
2016-05-05,58.20000076293945
2016-05-06,58.20000076293945
2016-05-09,59.959999084472656
2016-05-10,60.0
2016-05-11,60.0
2016-05-12,60.0
2016-05-13,64.0
2016-05-16,63.0
2016-05-17,66.5999984741211
2016-05-18,65.0
2016-05-19,64.0
2016-05-20,67.0
2016-05-23,64.0
2016-05-24,63.79999923706055
2016-05-25,63.79999923706055
2016-05-26,63.79999923706055
2016-05-27,61.20000076293945
2016-05-31,62.0
2016-06-01,62.439998626708984
2016-06-02,62.439998626708984
2016-06-03,62.439998626708984
2016-06-06,62.0
2016-06-07,60.0
2016-06-08,57.13999938964844
2016-06-09,57.13999938964844
2016-06-10,60.0
2016-06-13,60.0
2016-06-14,60.0
2016-06-15,60.0
2016-06-16,60.0
2016-06-17,60.400001525878906
2016-06-20,60.0
2016-06-21,60.0
2016-06-22,58.599998474121094
2016-06-23,58.599998474121094
2016-06-24,58.0
2016-06-27,58.0
2016-06-28,58.0
2016-06-29,58.0
2016-06-30,59.0
2016-07-01,59.0
2016-07-05,57.400001525878906
2016-07-06,55.20000076293945
2016-07-07,55.0
2016-07-08,55.0
2016-07-11,54.79999923706055
2016-07-12,54.0
2016-07-13,54.0
2016-07-14,54.0
2016-07-15,54.20000076293945
2016-07-18,54.0
2016-07-19,55.0
2016-07-20,56.0
2016-07-21,58.70000076293945
2016-07-22,56.0
2016-07-25,55.900001525878906
2016-07-26,55.31999969482422
2016-07-27,54.0
2016-07-28,52.20000076293945
2016-07-29,52.68000030517578
2016-08-01,52.68000030517578
2016-08-02,52.68000030517578
2016-08-03,53.599998474121094
2016-08-04,53.599998474121094
2016-08-05,52.79999923706055
2016-08-08,52.20000076293945
2016-08-09,52.20000076293945
2016-08-10,52.20000076293945
2016-08-11,52.20000076293945
2016-08-12,52.20000076293945
2016-08-15,52.20000076293945
2016-08-16,52.400001525878906
2016-08-17,52.400001525878906
2016-08-18,55.0
2016-08-19,52.0
2016-08-22,52.0
2016-08-23,53.0
2016-08-24,53.20000076293945
2016-08-25,53.20000076293945
2016-08-26,52.0
2016-08-29,53.0
2016-08-30,53.0
2016-08-31,53.0
2016-09-01,53.0
2016-09-02,53.0
2016-09-06,52.0
2016-09-07,52.0
2016-09-08,52.0
2016-09-09,52.0
2016-09-12,52.0
2016-09-13,52.0
2016-09-14,52.0
2016-09-15,52.0
2016-09-16,52.0
2016-09-19,45.20000076293945
2016-09-20,49.599998474121094
2016-09-21,50.0
2016-09-22,50.0
2016-09-23,49.0
2016-09-26,54.20000076293945
2016-09-27,54.0
2016-09-28,55.0
2016-09-29,55.0
2016-09-30,55.0
2016-10-03,55.0
2016-10-04,54.599998474121094
2016-10-05,54.599998474121094
2016-10-06,49.79999923706055
2016-10-07,48.0
2016-10-10,48.0
2016-10-11,45.2599983215332
2016-10-12,46.79999923706055
2016-10-13,46.79999923706055
2016-10-14,46.79999923706055
2016-10-17,49.2599983215332
2016-10-18,42.0
2016-10-19,45.400001525878906
2016-10-20,45.400001525878906
2016-10-21,45.400001525878906
2016-10-24,43.0
2016-10-25,44.0
2016-10-26,44.0
2016-10-27,44.0
2016-10-28,44.0
2016-10-31,44.0
2016-11-01,42.97999954223633
2016-11-02,42.97999954223633
2016-11-03,40.0
2016-11-04,36.599998474121094
2016-11-07,38.20000076293945
2016-11-08,38.20000076293945
2016-11-09,36.0
2016-11-10,36.0
2016-11-11,40.0
2016-11-14,40.0
2016-11-15,40.0
2016-11-16,39.400001525878906
2016-11-17,40.599998474121094
2016-11-18,40.599998474121094
2016-11-21,39.20000076293945
2016-11-22,37.20000076293945
2016-11-23,37.400001525878906
2016-11-25,37.599998474121094
2016-11-28,49.20000076293945
2016-11-29,49.599998474121094
2016-11-30,46.0
2016-12-01,46.97999954223633
2016-12-02,46.880001068115234
2016-12-05,45.79999923706055
2016-12-06,45.79999923706055
2016-12-07,45.0
2016-12-08,46.0
2016-12-09,46.0
2016-12-12,46.0
2016-12-13,41.599998474121094
2016-12-14,41.599998474121094
2016-12-15,41.599998474121094
2016-12-16,41.599998474121094
2016-12-19,43.79999923706055
2016-12-20,43.79999923706055
2016-12-21,43.79999923706055
2016-12-22,41.599998474121094
2016-12-23,44.0
2016-12-27,45.20000076293945
2016-12-28,43.0
2016-12-29,44.0
2016-12-30,43.79999923706055
2017-01-03,42.0
2017-01-04,42.400001525878906
2017-01-05,42.20000076293945
2017-01-06,41.599998474121094
2017-01-09,41.0
2017-01-10,41.0
2017-01-11,40.060001373291016
2017-01-12,42.0
2017-01-13,42.599998474121094
2017-01-17,41.0
2017-01-18,41.0
2017-01-19,40.400001525878906
2017-01-20,40.400001525878906
2017-01-23,38.79999923706055
2017-01-24,38.79999923706055
2017-01-25,38.79999923706055
2017-01-26,38.79999923706055
2017-01-27,38.79999923706055
2017-01-30,39.880001068115234
2017-01-31,39.880001068115234
2017-02-01,39.880001068115234
2017-02-02,37.2599983215332
2017-02-03,37.2599983215332
2017-02-06,36.599998474121094
2017-02-07,38.63999938964844
2017-02-08,41.599998474121094
2017-02-09,46.79999923706055
2017-02-10,48.400001525878906
2017-02-13,47.20000076293945
2017-02-14,46.959999084472656
2017-02-15,47.0
2017-02-16,47.0
2017-02-17,44.599998474121094
2017-02-21,45.0
2017-02-22,45.060001373291016
2017-02-23,45.459999084472656
2017-02-24,46.060001373291016
2017-02-27,46.599998474121094
2017-02-28,44.20000076293945
2017-03-01,44.20000076293945
2017-03-02,44.79999923706055
2017-03-03,44.41999816894531
2017-03-06,45.20000076293945
2017-03-07,46.0
2017-03-08,45.29999923706055
2017-03-09,45.0
2017-03-10,48.63999938964844
2017-03-13,48.400001525878906
2017-03-14,48.79999923706055
2017-03-15,54.0
2017-03-16,54.0
2017-03-17,54.0
2017-03-20,56.20000076293945
2017-03-21,64.80000305175781
2017-03-22,66.19999694824219
2017-03-23,62.779998779296875
2017-03-24,59.0
2017-03-27,64.0
2017-03-28,61.720001220703125
2017-03-29,62.0
2017-03-30,58.79999923706055
2017-03-31,62.400001525878906
2017-04-03,60.0
2017-04-04,54.0
2017-04-05,52.0
2017-04-06,52.86000061035156
2017-04-07,52.86000061035156
2017-04-10,50.20000076293945
2017-04-11,50.20000076293945
2017-04-12,48.0
2017-04-13,45.5
2017-04-17,46.0
2017-04-18,43.20000076293945
2017-04-19,43.58000183105469
2017-04-20,43.58000183105469
2017-04-21,41.0
2017-04-24,41.0
2017-04-25,43.900001525878906
2017-04-26,41.79999923706055
2017-04-27,41.0
2017-04-28,41.0
2017-05-01,39.0
2017-05-02,39.0
2017-05-03,41.0
2017-05-04,35.599998474121094
2017-05-05,35.0
2017-05-08,35.400001525878906
2017-05-09,37.400001525878906
2017-05-10,37.15999984741211
2017-05-11,37.15999984741211
2017-05-12,38.400001525878906
2017-05-15,38.79999923706055
2017-05-16,36.0
2017-05-17,37.599998474121094
2017-05-18,42.599998474121094
2017-05-19,45.79999923706055
2017-05-22,46.220001220703125
2017-05-23,47.2400016784668
2017-05-24,47.29999923706055
2017-05-25,48.70000076293945
2017-05-26,46.20000076293945
2017-05-30,40.52000045776367
2017-05-31,40.52000045776367
2017-06-01,41.79999923706055
2017-06-02,42.0
2017-06-05,31.399999618530273
2017-06-06,20.0
2017-06-07,14.420000076293945
2017-06-08,15.399999618530273
2017-06-09,13.199999809265137
2017-06-12,11.920000076293945
2017-06-13,11.239999771118164
2017-06-14,12.0600004196167
2017-06-15,13.0
2017-06-16,13.600000381469727
2017-06-19,11.800000190734863
2017-06-20,13.4399995803833
2017-06-21,12.680000305175781
2017-06-22,11.600000381469727
2017-06-23,11.300000190734863
2017-06-26,11.199999809265137
2017-06-27,11.460000038146973
2017-06-28,11.600000381469727
2017-06-29,11.199999809265137
2017-06-30,11.0
2017-07-03,10.800000190734863
2017-07-05,10.0
2017-07-06,9.600000381469727
2017-07-07,9.800000190734863
2017-07-10,9.239999771118164
2017-07-11,9.239999771118164
2017-07-12,9.5
2017-07-13,6.840000152587891
2017-07-14,7.0
2017-07-17,6.0
2017-07-18,6.099999904632568
2017-07-19,6.0
2017-07-20,5.0
2017-07-21,6.21999979019165
2017-07-24,8.800000190734863
2017-07-25,7.800000190734863
2017-07-26,8.600000381469727
2017-07-27,7.800000190734863
2017-07-28,8.199999809265137
2017-07-31,8.180000305175781
2017-08-01,7.400000095367432
2017-08-02,7.0
2017-08-03,7.300000190734863
2017-08-04,7.21999979019165
2017-08-07,6.099999904632568
2017-08-08,6.900000095367432
2017-08-09,6.840000152587891
2017-08-10,7.0
2017-08-11,7.199999809265137
2017-08-14,7.360000133514404
2017-08-15,7.400000095367432
2017-08-16,7.039999961853027
2017-08-17,6.800000190734863
2017-08-18,6.800000190734863
2017-08-21,6.599999904632568
2017-08-22,6.679999828338623
2017-08-23,6.440000057220459
2017-08-24,6.760000228881836
2017-08-25,6.599999904632568
2017-08-28,5.599999904632568
2017-08-29,6.320000171661377
2017-08-30,5.739999771118164
2017-08-31,5.800000190734863
2017-09-01,5.659999847412109
2017-09-05,5.679999828338623
2017-09-06,6.400000095367432
2017-09-07,8.800000190734863
2017-09-08,9.779999732971191
2017-09-11,6.199999809265137
2017-09-12,6.099999904632568
2017-09-13,5.820000171661377
2017-09-14,5.820000171661377
2017-09-15,5.739999771118164
2017-09-18,5.679999828338623
2017-09-19,5.800000190734863
2017-09-20,5.599999904632568
2017-09-21,5.659999847412109
2017-09-22,5.659999847412109
2017-09-25,6.0
2017-09-26,6.019999980926514
2017-09-27,5.820000171661377
2017-09-28,5.78000020980835
2017-09-29,5.800000190734863
2017-10-02,5.659999847412109
2017-10-03,5.78000020980835
2017-10-04,5.920000076293945
2017-10-05,5.800000190734863
2017-10-06,5.78000020980835
2017-10-09,7.0
2017-10-10,6.0
2017-10-11,5.800000190734863
2017-10-12,5.619999885559082
2017-10-13,5.860000133514404
2017-10-16,5.920000076293945
2017-10-17,5.78000020980835
2017-10-18,5.739999771118164
2017-10-19,5.599999904632568
2017-10-20,5.599999904632568
2017-10-23,5.099999904632568
2017-10-24,5.28000020980835
2017-10-25,5.300000190734863
2017-10-26,5.260000228881836
2017-10-27,5.28000020980835
2017-10-30,5.539999961853027
2017-10-31,5.400000095367432
2017-11-01,5.099999904632568
2017-11-02,5.21999979019165
2017-11-03,5.559999942779541
2017-11-06,5.400000095367432
2017-11-07,5.400000095367432
2017-11-08,5.71999979019165
2017-11-09,6.400000095367432
2017-11-10,5.599999904632568
2017-11-13,5.400000095367432
2017-11-14,5.320000171661377
2017-11-15,5.380000114440918
2017-11-16,5.400000095367432
2017-11-17,5.400000095367432
2017-11-20,5.340000152587891
2017-11-21,5.199999809265137
2017-11-22,5.320000171661377
2017-11-24,5.28000020980835
2017-11-27,5.5
2017-11-28,4.900000095367432
2017-11-29,5.179999828338623
2017-11-30,5.0
2017-12-01,5.0
2017-12-04,5.0
2017-12-05,4.880000114440918
2017-12-06,4.800000190734863
2017-12-07,5.0
2017-12-08,4.860000133514404
2017-12-11,4.420000076293945
2017-12-12,4.360000133514404
2017-12-13,4.400000095367432
2017-12-14,4.400000095367432
2017-12-15,4.199999809265137
2017-12-18,4.360000133514404
2017-12-19,4.0
2017-12-20,3.7799999713897705
2017-12-21,3.9600000381469727
2017-12-22,4.199999809265137
2017-12-26,4.340000152587891
2017-12-27,4.239999771118164
2017-12-28,4.400000095367432
2017-12-29,4.380000114440918
2018-01-02,4.760000228881836
2018-01-03,4.599999904632568
2018-01-04,4.21999979019165
2018-01-05,4.579999923706055
2018-01-08,4.659999847412109
2018-01-09,4.199999809265137
2018-01-10,4.199999809265137
2018-01-11,4.159999847412109
2018-01-12,4.199999809265137
2018-01-16,4.199999809265137
2018-01-17,4.5
2018-01-18,4.800000190734863
2018-01-19,4.679999828338623
2018-01-22,4.400000095367432
2018-01-23,4.460000038146973
2018-01-24,4.480000019073486
2018-01-25,4.199999809265137
2018-01-26,4.199999809265137
2018-01-29,4.260000228881836
2018-01-30,4.139999866485596
2018-01-31,4.21999979019165
2018-02-01,4.0
2018-02-02,4.139999866485596
2018-02-05,4.380000114440918
2018-02-06,4.539999961853027
2018-02-07,4.539999961853027
2018-02-08,4.400000095367432
2018-02-09,4.380000114440918
2018-02-12,4.199999809265137
2018-02-13,4.099999904632568
2018-02-14,3.859999895095825
2018-02-15,3.9200000762939453
2018-02-16,3.819999933242798
2018-02-20,4.0
2018-02-21,3.6600000858306885
2018-02-22,3.819999933242798
2018-02-23,3.799999952316284
2018-02-26,3.8399999141693115
2018-02-27,3.7799999713897705
2018-02-28,3.6600000858306885
2018-03-01,3.819999933242798
2018-03-02,3.799999952316284
2018-03-05,4.0
2018-03-06,4.0
2018-03-07,4.139999866485596
2018-03-08,4.119999885559082
2018-03-09,4.119999885559082
2018-03-12,4.079999923706055
2018-03-13,4.599999904632568
2018-03-14,4.400000095367432
2018-03-15,4.400000095367432
2018-03-16,4.239999771118164
2018-03-19,4.179999828338623
2018-03-20,4.199999809265137
2018-03-21,4.119999885559082
2018-03-22,4.0
2018-03-23,3.9200000762939453
2018-03-26,3.9000000953674316
2018-03-27,3.6600000858306885
2018-03-28,3.5999999046325684
2018-03-29,3.819999933242798
2018-04-02,4.0
2018-04-03,4.199999809265137
2018-04-04,4.0
2018-04-05,3.8399999141693115
2018-04-06,3.700000047683716
2018-04-09,3.5799999237060547
2018-04-10,3.799999952316284
2018-04-11,3.5999999046325684
2018-04-12,3.4600000381469727
2018-04-13,3.799999952316284
2018-04-16,3.619999885559082
2018-04-17,3.4200000762939453
2018-04-18,3.200000047683716
2018-04-19,3.380000114440918
2018-04-20,3.200000047683716
2018-04-23,3.200000047683716
2018-04-24,3.4600000381469727
2018-04-25,3.5999999046325684
2018-04-26,3.760999917984009
2018-04-27,3.8499999046325684
2018-04-30,3.6700000762939453
2018-05-01,4.739999771118164
2018-05-02,4.059999942779541
2018-05-03,3.430000066757202
2018-05-04,3.9730000495910645
2018-05-07,3.7100000381469727
2018-05-08,3.8499999046325684
2018-05-09,3.869999885559082
2018-05-10,3.9800000190734863
2018-05-11,4.070000171661377
2018-05-14,3.859999895095825
2018-05-15,3.759999990463257
2018-05-16,3.8499999046325684
2018-05-17,3.5199999809265137
2018-05-18,3.549999952316284
2018-05-21,3.390000104904175
2018-05-22,3.2799999713897705
2018-05-23,3.319999933242798
2018-05-24,3.23799991607666
2018-05-25,3.3399999141693115
2018-05-29,3.240000009536743
2018-05-30,3.609999895095825
2018-05-31,3.640000104904175
2018-06-01,3.630000114440918
2018-06-04,3.6500000953674316
2018-06-05,3.450000047683716
2018-06-06,3.5380001068115234
2018-06-07,3.640000104904175
2018-06-08,3.7360000610351562
2018-06-11,3.7699999809265137
2018-06-12,3.7300000190734863
2018-06-13,4.09499979019165
2018-06-14,4.6579999923706055
2018-06-15,4.489999771118164
2018-06-18,4.019999980926514
2018-06-19,3.990000009536743
2018-06-20,3.9100000858306885
2018-06-21,3.9000000953674316
2018-06-22,3.885999917984009
2018-06-25,3.75
2018-06-26,4.0
2018-06-27,3.9000000953674316
2018-06-28,4.019999980926514
2018-06-29,3.7899999618530273
2018-07-02,4.099999904632568
2018-07-03,4.230000019073486
2018-07-05,3.859999895095825
2018-07-06,3.9000000953674316
2018-07-09,4.0289998054504395
2018-07-10,3.930000066757202
2018-07-11,3.9800000190734863
2018-07-12,4.0
2018-07-13,3.890000104904175
2018-07-16,3.859999895095825
2018-07-17,3.809999942779541
2018-07-18,3.75
2018-07-19,3.680000066757202
2018-07-20,3.4100000858306885
2018-07-23,3.440000057220459
2018-07-24,3.200000047683716
2018-07-25,3.3399999141693115
2018-07-26,3.1700000762939453
2018-07-27,3.119999885559082
2018-07-30,3.009999990463257
2018-07-31,2.990000009536743
2018-08-01,3.2139999866485596
2018-08-02,3.128999948501587
2018-08-03,3.059999942779541
2018-08-06,3.299999952316284
2018-08-07,3.359999895095825
2018-08-08,3.2899999618530273
2018-08-09,3.299999952316284
2018-08-10,3.1640000343322754
2018-08-13,3.115000009536743
2018-08-14,3.0899999141693115
2018-08-15,3.140000104904175
2018-08-16,3.0999999046325684
2018-08-17,3.1500000953674316
2018-08-20,3.049999952316284
2018-08-21,3.1630001068115234
2018-08-22,3.200000047683716
2018-08-23,3.200000047683716
2018-08-24,3.200000047683716
2018-08-27,3.1500000953674316
2018-08-28,3.049999952316284
2018-08-29,3.200000047683716
2018-08-30,3.1500000953674316
2018-08-31,3.25
2018-09-04,4.124000072479248
2018-09-05,3.9000000953674316
2018-09-06,3.700000047683716
2018-09-07,3.5799999237060547
2018-09-10,3.369999885559082
2018-09-11,3.299999952316284
2018-09-12,3.109999895095825
2018-09-13,3.0199999809265137
2018-09-14,3.1500000953674316
2018-09-17,3.2699999809265137
2018-09-18,3.069999933242798
2018-09-19,3.115999937057495
2018-09-20,3.0
2018-09-21,2.6700000762939453
2018-09-24,2.700000047683716
2018-09-25,2.990000009536743
2018-09-26,3.0
2018-09-27,3.0
2018-09-28,3.000999927520752
2018-10-01,3.1449999809265137
2018-10-02,3.240000009536743
2018-10-03,3.3589999675750732
2018-10-04,3.359999895095825
2018-10-05,3.5999999046325684
2018-10-08,3.25
2018-10-09,4.017000198364258
2018-10-10,3.8499999046325684
2018-10-11,3.2739999294281006
2018-10-12,3.628000020980835
2018-10-15,3.6500000953674316
2018-10-16,3.9030001163482666
2018-10-17,3.5840001106262207
2018-10-18,3.2160000801086426
2018-10-19,3.3299999237060547
2018-10-22,3.190000057220459
2018-10-23,3.1700000762939453
2018-10-24,3.11299991607666
2018-10-25,2.9700000286102295
2018-10-26,2.9000000953674316
2018-10-29,2.9619998931884766
2018-10-30,3.049999952316284
2018-10-31,3.0769999027252197
2018-11-01,2.950000047683716
2018-11-02,2.950000047683716
2018-11-05,2.9000000953674316
2018-11-06,2.9000000953674316
2018-11-07,3.049999952316284
2018-11-08,2.9149999618530273
2018-11-09,2.9149999618530273
2018-11-12,3.200000047683716
2018-11-13,3.200000047683716
2018-11-14,3.240000009536743
2018-11-15,3.0439999103546143
2018-11-16,2.950000047683716
2018-11-19,3.0
2018-11-20,2.6500000953674316
2018-11-21,3.109999895095825
2018-11-23,2.609999895095825
2018-11-26,3.069999933242798
2018-11-27,3.1500000953674316
2018-11-28,2.950000047683716
2018-11-29,2.799999952316284
2018-11-30,3.015000104904175
2018-12-03,2.950000047683716
2018-12-04,2.5929999351501465
2018-12-06,2.640000104904175
2018-12-07,2.5
2018-12-10,2.5
2018-12-11,2.5
2018-12-12,2.5299999713897705
2018-12-13,2.4700000286102295
2018-12-14,2.4700000286102295
2018-12-17,2.450000047683716
2018-12-18,2.4000000953674316
2018-12-19,2.130000114440918
2018-12-20,1.899999976158142
2018-12-21,1.909999966621399
2018-12-24,2.115000009536743
2018-12-26,2.062000036239624
2018-12-27,2.055999994277954
2018-12-28,2.109999895095825
2018-12-31,2.0999999046325684
2019-01-02,2.0999999046325684
2019-01-03,2.0999999046325684
2019-01-04,2.549999952316284
2019-01-07,2.5199999809265137
2019-01-08,2.6449999809265137
2019-01-09,2.950000047683716
2019-01-10,3.190000057220459
2019-01-11,3.7139999866485596
2019-01-14,3.880000114440918
2019-01-15,3.759999990463257
2019-01-16,3.9000000953674316
2019-01-17,3.7839999198913574
2019-01-18,3.9200000762939453
2019-01-22,4.0
2019-01-23,3.869999885559082
2019-01-24,4.059999942779541
2019-01-25,4.090000152587891
2019-01-28,3.9600000381469727
2019-01-29,3.819999933242798
2019-01-30,3.9800000190734863
2019-01-31,4.0
2019-02-01,3.9800000190734863
2019-02-04,3.9639999866485596
2019-02-05,3.6600000858306885
2019-02-06,3.700000047683716
2019-02-07,3.809999942779541
2019-02-08,3.815999984741211
2019-02-11,3.7699999809265137
2019-02-12,3.7799999713897705
2019-02-13,3.75
2019-02-14,3.609999895095825
2019-02-15,3.634999990463257
2019-02-19,3.7109999656677246
2019-02-20,3.75
2019-02-21,3.569999933242798
2019-02-22,3.7839999198913574
2019-02-25,3.75
2019-02-26,3.7119998931884766
2019-02-27,3.630000114440918
2019-02-28,3.618000030517578
2019-03-01,3.6600000858306885
2019-03-04,3.7699999809265137
2019-03-05,3.740000009536743
2019-03-06,3.6689999103546143
2019-03-07,3.7200000286102295
2019-03-08,3.7019999027252197
2019-03-11,3.7300000190734863
2019-03-12,3.740000009536743
2019-03-13,3.619999885559082
2019-03-14,3.6700000762939453
2019-03-15,3.75
2019-03-18,3.5899999141693115
2019-03-19,3.5390000343322754
2019-03-20,3.6600000858306885
2019-03-21,3.364000082015991
