,ACEVU
2020-07-29,10.180000305175781
2020-07-30,10.100000381469727
2020-07-31,10.020000457763672
2020-08-03,10.0
2020-08-04,10.029999732971191
2020-08-05,10.010000228881836
2020-08-06,10.029999732971191
2020-08-07,10.0
2020-08-10,10.020000457763672
2020-08-11,10.020000457763672
2020-08-12,10.029999732971191
2020-08-13,10.020000457763672
2020-08-14,10.010000228881836
2020-08-17,9.989999771118164
2020-08-18,10.0
2020-08-19,9.979999542236328
2020-08-20,10.0
2020-08-21,9.970000267028809
2020-08-24,9.970000267028809
2020-08-25,9.970000267028809
2020-08-26,9.989999771118164
2020-08-27,9.989999771118164
2020-08-28,9.920000076293945
2020-08-31,9.960000038146973
2020-09-01,9.960000038146973
2020-09-02,9.949999809265137
2020-09-03,10.0
2020-09-04,10.0600004196167
2020-09-08,10.0
2020-09-09,10.050000190734863
2020-09-10,10.029999732971191
2020-09-11,10.0
2020-09-14,10.050000190734863
2020-09-15,10.055000305175781
2020-09-16,10.095000267028809
2020-09-17,10.069999694824219
2020-09-18,10.239999771118164
2020-09-21,10.378000259399414
2020-09-22,10.210000038146973
2020-09-23,10.255000114440918
2020-09-24,10.204999923706055
2020-09-25,10.140000343322754
2020-09-28,10.130000114440918
2020-09-29,10.119999885559082
2020-09-30,10.25
2020-10-01,10.100000381469727
2020-10-02,10.050000190734863
2020-10-05,10.050000190734863
2020-10-06,10.020000457763672
2020-10-07,10.170000076293945
2020-10-08,10.039999961853027
2020-10-09,10.029999732971191
2020-10-12,10.010000228881836
2020-10-13,10.039999961853027
2020-10-14,10.0
2020-10-15,10.015000343322754
2020-10-16,10.02299976348877
2020-10-19,10.010000228881836
2020-10-20,10.029999732971191
2020-10-21,9.979999542236328
2020-10-22,10.0
2020-10-23,10.0
2020-10-26,9.960000038146973
2020-10-27,9.960000038146973
2020-10-28,9.930000305175781
2020-10-29,9.949999809265137
2020-10-30,9.920000076293945
2020-11-02,9.920000076293945
2020-11-03,9.970000267028809
2020-11-04,9.970000267028809
2020-11-05,9.951000213623047
2020-11-06,10.0
2020-11-09,10.039999961853027
2020-11-10,10.0
2020-11-11,10.0
2020-11-12,9.980999946594238
2020-11-13,10.0
2020-11-16,10.029999732971191
2020-11-17,10.029999732971191
