,BRPAR
2017-12-01,0.03099999949336052
2017-12-04,0.36000001430511475
2017-12-05,0.4300000071525574
2017-12-06,0.4099999964237213
2017-12-07,0.36000001430511475
2017-12-08,0.3700000047683716
2017-12-11,0.3499999940395355
2017-12-12,0.38499999046325684
2017-12-13,0.38499999046325684
2017-12-14,0.3779999911785126
2017-12-15,0.3499999940395355
2017-12-18,0.3799999952316284
2017-12-19,0.3700000047683716
2017-12-20,0.3700000047683716
2017-12-21,0.3700000047683716
2017-12-22,0.3700000047683716
2017-12-26,0.3700000047683716
2017-12-27,0.3700000047683716
2017-12-28,0.3700000047683716
2017-12-29,0.3700000047683716
2018-01-02,0.3700000047683716
2018-01-03,0.3700000047683716
2018-01-04,0.3700000047683716
2018-01-05,0.6800000071525574
2018-01-08,0.4620000123977661
2018-01-09,0.4000000059604645
2018-01-10,0.4059999883174896
2018-01-11,0.3799999952316284
2018-01-12,0.4000000059604645
2018-01-16,0.4000000059604645
2018-01-17,0.41999998688697815
2018-01-18,0.4320000112056732
2018-01-19,0.4320000112056732
2018-01-22,0.4320000112056732
2018-01-23,0.4320000112056732
2018-01-24,0.4320000112056732
2018-01-25,0.4320000112056732
2018-01-26,0.4320000112056732
2018-01-29,0.4099999964237213
2018-01-30,0.41999998688697815
2018-01-31,0.4000000059604645
2018-02-01,0.39399999380111694
2018-02-02,0.39399999380111694
2018-02-05,0.39399999380111694
2018-02-06,0.39399999380111694
2018-02-07,0.44999998807907104
2018-02-08,0.44999998807907104
2018-02-09,0.44999998807907104
2018-02-12,0.44999998807907104
2018-02-13,0.44999998807907104
2018-02-14,0.44999998807907104
2018-02-15,0.44999998807907104
2018-02-16,0.44999998807907104
2018-02-20,0.44999998807907104
2018-02-21,0.44999998807907104
2018-02-22,0.4099999964237213
2018-02-23,0.4099999964237213
2018-02-26,0.4099999964237213
2018-02-27,0.4099999964237213
2018-02-28,0.4099999964237213
2018-03-01,0.4099999964237213
2018-03-02,0.4099999964237213
2018-03-05,0.4300000071525574
2018-03-06,0.4099999964237213
2018-03-07,0.4099999964237213
2018-03-08,0.4099999964237213
2018-03-09,0.4099999964237213
2018-03-12,0.4000000059604645
2018-03-13,0.4000000059604645
2018-03-14,0.4000000059604645
2018-03-15,0.4000000059604645
2018-03-16,0.41999998688697815
2018-03-19,0.41999998688697815
2018-03-20,0.41999998688697815
2018-03-21,0.41999998688697815
2018-03-22,0.41999998688697815
2018-03-23,0.41999998688697815
2018-03-26,0.41999998688697815
2018-03-27,0.41999998688697815
2018-03-28,0.41999998688697815
2018-03-29,0.41999998688697815
2018-04-02,0.41999998688697815
2018-04-03,0.4099999964237213
2018-04-04,0.4099999964237213
2018-04-05,0.4099999964237213
2018-04-06,0.4099999964237213
2018-04-09,0.4099999964237213
2018-04-10,0.4099999964237213
2018-04-11,0.41999998688697815
2018-04-12,0.41999998688697815
2018-04-13,0.41999998688697815
2018-04-16,0.4300000071525574
2018-04-17,0.4300000071525574
2018-04-18,0.4300000071525574
2018-04-19,0.4300000071525574
