,ACMR
2017-11-02,5.599999904632568
2017-11-03,6.050000190734863
2017-11-06,5.599999904632568
2017-11-07,5.599999904632568
2017-11-08,5.599999904632568
2017-11-09,5.60099983215332
2017-11-10,5.71999979019165
2017-11-13,5.96999979019165
2017-11-14,5.96999979019165
2017-11-15,6.239999771118164
2017-11-16,6.519999980926514
2017-11-17,6.889999866485596
2017-11-20,7.340000152587891
2017-11-21,7.420000076293945
2017-11-22,6.949999809265137
2017-11-24,6.869999885559082
2017-11-27,6.900000095367432
2017-11-28,6.800000190734863
2017-11-29,6.78000020980835
2017-11-30,6.75
2017-12-01,6.789999961853027
2017-12-04,6.460000038146973
2017-12-05,5.980000019073486
2017-12-06,5.889999866485596
2017-12-07,5.900000095367432
2017-12-08,6.050000190734863
2017-12-11,5.960000038146973
2017-12-12,5.840000152587891
2017-12-13,5.53000020980835
2017-12-14,5.539999961853027
2017-12-15,5.0
2017-12-18,5.139999866485596
2017-12-19,5.019999980926514
2017-12-20,4.820000171661377
2017-12-21,5.159999847412109
2017-12-22,4.949999809265137
2017-12-26,5.010000228881836
2017-12-27,4.920000076293945
2017-12-28,5.050000190734863
2017-12-29,5.25
2018-01-02,5.619999885559082
2018-01-03,5.300000190734863
2018-01-04,5.315000057220459
2018-01-05,5.510000228881836
2018-01-08,5.239999771118164
2018-01-09,5.239999771118164
2018-01-10,5.190000057220459
2018-01-11,5.239999771118164
2018-01-12,5.170000076293945
2018-01-16,4.940000057220459
2018-01-17,5.0
2018-01-18,4.960000038146973
2018-01-19,4.989999771118164
2018-01-22,4.75
2018-01-23,5.659999847412109
2018-01-24,5.429999828338623
2018-01-25,5.309999942779541
2018-01-26,5.300000190734863
2018-01-29,5.440000057220459
2018-01-30,5.110000133514404
2018-01-31,5.369999885559082
2018-02-01,6.0
2018-02-02,6.110000133514404
2018-02-05,6.75
2018-02-06,6.829999923706055
2018-02-07,6.78000020980835
2018-02-08,6.440000057220459
2018-02-09,6.5
2018-02-12,6.579999923706055
2018-02-13,6.519999980926514
2018-02-14,6.239999771118164
