,ALGS
2020-10-16,14.850000381469727
2020-10-19,14.760000228881836
2020-10-20,13.199999809265137
2020-10-21,14.9399995803833
2020-10-22,15.069999694824219
2020-10-23,15.100000381469727
2020-10-26,14.800000190734863
2020-10-27,15.5
2020-10-28,15.140000343322754
2020-10-29,14.779999732971191
2020-10-30,14.9399995803833
2020-11-02,15.0
2020-11-03,15.0
2020-11-04,15.550000190734863
2020-11-05,14.640000343322754
2020-11-06,15.09000015258789
2020-11-09,17.979999542236328
2020-11-10,16.040000915527344
2020-11-11,17.170000076293945
2020-11-12,17.020000457763672
2020-11-13,19.700000762939453
2020-11-16,20.90999984741211
2020-11-17,20.0
2020-11-18,20.010000228881836
2020-11-19,19.899999618530273
2020-11-20,19.469999313354492
2020-11-23,19.1200008392334
2020-11-24,18.0
2020-11-25,17.950000762939453
2020-11-27,18.15999984741211
2020-11-30,18.709999084472656
2020-12-01,16.18000030517578
2020-12-02,17.709999084472656
2020-12-03,16.90999984741211
2020-12-04,17.18000030517578
2020-12-07,18.790000915527344
2020-12-08,19.959999084472656
2020-12-09,19.81999969482422
2020-12-10,20.170000076293945
2020-12-11,22.1200008392334
2020-12-14,23.799999237060547
2020-12-15,22.889999389648438
2020-12-16,24.15999984741211
2020-12-17,24.90999984741211
2020-12-18,25.670000076293945
2020-12-21,26.68000030517578
2020-12-22,26.8700008392334
2020-12-23,32.7400016784668
2020-12-24,28.850000381469727
2020-12-28,28.600000381469727
2020-12-29,26.239999771118164
2020-12-30,25.989999771118164
2020-12-31,27.649999618530273
2021-01-04,26.950000762939453
2021-01-05,28.139999389648438
2021-01-06,30.079999923706055
2021-01-07,31.6299991607666
2021-01-08,31.719999313354492
2021-01-11,31.270000457763672
2021-01-12,31.84000015258789
2021-01-13,33.369998931884766
2021-01-14,34.13999938964844
2021-01-15,31.6200008392334
2021-01-19,31.1299991607666
2021-01-20,34.939998626708984
2021-01-21,34.20000076293945
2021-01-22,32.849998474121094
2021-01-25,30.399999618530273
2021-01-26,29.760000228881836
2021-01-27,26.56999969482422
2021-01-28,26.3799991607666
2021-01-29,28.170000076293945
2021-02-01,27.670000076293945
2021-02-02,25.700000762939453
2021-02-03,22.989999771118164
2021-02-04,23.799999237060547
2021-02-05,23.06999969482422
2021-02-08,23.290000915527344
2021-02-09,25.270000457763672
2021-02-10,25.0
2021-02-11,23.329999923706055
2021-02-12,25.229999542236328
2021-02-16,30.559999465942383
2021-02-17,30.389999389648438
2021-02-18,29.280000686645508
2021-02-19,29.799999237060547
2021-02-22,29.190000534057617
2021-02-23,27.329999923706055
2021-02-24,25.829999923706055
2021-02-25,28.059999465942383
2021-02-26,28.739999771118164
2021-03-01,29.200000762939453
2021-03-02,24.780000686645508
2021-03-03,24.139999389648438
2021-03-04,21.540000915527344
2021-03-05,22.40999984741211
2021-03-08,23.1200008392334
2021-03-09,24.780000686645508
2021-03-10,23.200000762939453
2021-03-11,23.84000015258789
2021-03-12,26.139999389648438
2021-03-15,25.969999313354492
2021-03-16,26.010000228881836
2021-03-17,25.329999923706055
2021-03-18,24.479999542236328
2021-03-19,24.149999618530273
2021-03-22,22.670000076293945
2021-03-23,21.280000686645508
2021-03-24,19.200000762939453
2021-03-25,20.15999984741211
2021-03-26,19.100000381469727
2021-03-29,19.25
2021-03-30,20.8700008392334
2021-03-31,22.739999771118164
2021-04-01,22.0
2021-04-05,22.540000915527344
2021-04-06,22.65999984741211
2021-04-07,20.59000015258789
2021-04-08,20.299999237060547
2021-04-09,21.469999313354492
2021-04-12,21.34000015258789
2021-04-13,20.600000381469727
2021-04-14,21.579999923706055
2021-04-15,22.299999237060547
2021-04-16,21.610000610351562
2021-04-19,21.540000915527344
2021-04-20,23.229999542236328
2021-04-21,24.579999923706055
2021-04-22,26.030000686645508
2021-04-23,24.469999313354492
2021-04-26,29.100000381469727
2021-04-27,25.709999084472656
2021-04-28,25.329999923706055
2021-04-29,27.100000381469727
2021-04-30,25.719999313354492
2021-05-03,27.329999923706055
2021-05-04,25.959999084472656
2021-05-05,25.540000915527344
2021-05-06,27.079999923706055
2021-05-07,27.1299991607666
2021-05-10,25.030000686645508
2021-05-11,26.440000534057617
2021-05-12,22.610000610351562
2021-05-13,22.610000610351562
2021-05-14,21.190000534057617
