,FCRD
2010-04-22,12.75
2010-04-23,12.699999809265137
2010-04-26,12.699999809265137
2010-04-27,12.680000305175781
2010-04-28,12.680000305175781
2010-04-29,12.6899995803833
2010-04-30,13.0
2010-05-03,12.949999809265137
2010-05-04,12.890000343322754
2010-05-05,12.600000381469727
2010-05-06,12.149999618530273
2010-05-07,11.920000076293945
2010-05-10,12.069999694824219
2010-05-11,12.600000381469727
2010-05-12,12.199999809265137
2010-05-13,12.079999923706055
2010-05-14,12.010000228881836
2010-05-17,11.989999771118164
2010-05-18,11.970000267028809
2010-05-19,12.109999656677246
2010-05-20,12.0
2010-05-21,12.279999732971191
2010-05-24,11.470000267028809
2010-05-25,11.100000381469727
2010-05-26,11.180000305175781
2010-05-27,11.270000457763672
2010-05-28,11.829999923706055
2010-06-01,12.3100004196167
2010-06-02,11.90999984741211
2010-06-03,12.300000190734863
2010-06-04,12.09000015258789
2010-06-07,11.520000457763672
2010-06-08,11.140000343322754
2010-06-09,11.220000267028809
2010-06-10,11.229999542236328
2010-06-11,11.300000190734863
2010-06-14,11.720000267028809
2010-06-15,11.550000190734863
2010-06-16,11.140000343322754
2010-06-17,11.09000015258789
2010-06-18,11.229999542236328
2010-06-21,11.289999961853027
2010-06-22,11.399999618530273
2010-06-23,11.770000457763672
2010-06-24,11.800000190734863
2010-06-25,11.829999923706055
2010-06-28,11.25
2010-06-29,11.130000114440918
2010-06-30,11.5
2010-07-01,10.989999771118164
2010-07-02,11.119999885559082
2010-07-06,10.949999809265137
2010-07-07,11.279999732971191
2010-07-08,11.3100004196167
2010-07-09,11.260000228881836
2010-07-12,11.09000015258789
2010-07-13,11.489999771118164
2010-07-14,11.390000343322754
2010-07-15,12.119999885559082
2010-07-16,11.699999809265137
2010-07-19,11.8100004196167
2010-07-20,12.0
2010-07-21,11.800000190734863
2010-07-22,11.960000038146973
2010-07-23,12.079999923706055
2010-07-26,12.0
2010-07-27,12.079999923706055
2010-07-28,12.010000228881836
2010-07-29,12.270000457763672
2010-07-30,12.300000190734863
2010-08-02,12.029999732971191
2010-08-03,11.899999618530273
2010-08-04,12.020000457763672
2010-08-05,11.9399995803833
2010-08-06,12.0
2010-08-09,12.09000015258789
2010-08-10,12.25
2010-08-11,11.5
2010-08-12,11.829999923706055
2010-08-13,11.829999923706055
2010-08-16,11.989999771118164
2010-08-17,11.960000038146973
2010-08-18,11.850000381469727
2010-08-19,11.579999923706055
2010-08-20,11.600000381469727
2010-08-23,11.220000267028809
2010-08-24,11.5
2010-08-25,11.710000038146973
2010-08-26,11.710000038146973
2010-08-27,12.260000228881836
2010-08-30,11.600000381469727
2010-08-31,11.59000015258789
2010-09-01,12.0
2010-09-02,11.989999771118164
2010-09-03,11.800000190734863
2010-09-07,11.300000190734863
2010-09-08,11.479999542236328
2010-09-09,11.479999542236328
2010-09-10,11.619999885559082
2010-09-13,12.140000343322754
2010-09-14,12.170000076293945
2010-09-15,11.829999923706055
2010-09-16,11.850000381469727
2010-09-17,11.859999656677246
2010-09-20,12.0
2010-09-21,11.819999694824219
2010-09-22,11.720000267028809
2010-09-23,11.630000114440918
2010-09-24,11.59000015258789
2010-09-27,11.539999961853027
2010-09-28,11.520000457763672
2010-09-29,11.850000381469727
2010-09-30,11.779999732971191
2010-10-01,11.9399995803833
2010-10-04,11.890000343322754
2010-10-05,12.229999542236328
2010-10-06,12.050000190734863
2010-10-07,12.1899995803833
2010-10-08,12.300000190734863
2010-10-11,12.140000343322754
2010-10-12,12.170000076293945
2010-10-13,12.3100004196167
2010-10-14,12.350000381469727
2010-10-15,12.520000457763672
2010-10-18,12.739999771118164
2010-10-19,12.600000381469727
2010-10-20,12.760000228881836
2010-10-21,12.550000190734863
2010-10-22,12.6899995803833
2010-10-25,12.550000190734863
2010-10-26,12.680000305175781
2010-10-27,12.550000190734863
2010-10-28,12.529999732971191
2010-10-29,12.600000381469727
2010-11-01,12.609999656677246
2010-11-02,12.8100004196167
2010-11-03,12.869999885559082
2010-11-04,12.850000381469727
2010-11-05,12.789999961853027
2010-11-08,12.850000381469727
2010-11-09,12.760000228881836
2010-11-10,12.619999885559082
2010-11-11,12.800000190734863
2010-11-12,12.739999771118164
2010-11-15,12.899999618530273
2010-11-16,12.880000114440918
2010-11-17,12.949999809265137
2010-11-18,12.829999923706055
2010-11-19,12.960000038146973
2010-11-22,13.0
2010-11-23,12.970000267028809
2010-11-24,12.949999809265137
2010-11-26,12.979999542236328
2010-11-29,13.100000381469727
2010-11-30,13.100000381469727
2010-12-01,13.050000190734863
2010-12-02,13.0
2010-12-03,12.989999771118164
2010-12-06,13.0
2010-12-07,13.270000457763672
2010-12-08,13.25
2010-12-09,13.239999771118164
2010-12-10,13.420000076293945
2010-12-13,13.34000015258789
2010-12-14,13.239999771118164
2010-12-15,13.170000076293945
2010-12-16,13.229999542236328
2010-12-17,13.300000190734863
2010-12-20,13.199999809265137
2010-12-21,13.199999809265137
2010-12-22,13.220000267028809
2010-12-23,13.220000267028809
2010-12-27,13.350000381469727
2010-12-28,13.300000190734863
2010-12-29,13.279999732971191
2010-12-30,13.119999885559082
2010-12-31,13.010000228881836
2011-01-03,13.390000343322754
2011-01-04,13.260000228881836
2011-01-05,13.270000457763672
2011-01-06,12.989999771118164
2011-01-07,13.199999809265137
2011-01-10,13.279999732971191
2011-01-11,13.3100004196167
2011-01-12,13.260000228881836
2011-01-13,13.239999771118164
2011-01-14,13.350000381469727
2011-01-18,13.170000076293945
2011-01-19,12.8100004196167
2011-01-20,12.850000381469727
2011-01-21,12.800000190734863
2011-01-24,12.84000015258789
2011-01-25,12.899999618530273
2011-01-26,13.210000038146973
2011-01-27,13.239999771118164
2011-01-28,12.8100004196167
2011-01-31,12.779999732971191
2011-02-01,13.010000228881836
2011-02-02,12.960000038146973
2011-02-03,12.90999984741211
2011-02-04,12.9399995803833
2011-02-07,13.1899995803833
2011-02-08,13.199999809265137
2011-02-09,13.270000457763672
2011-02-10,13.300000190734863
2011-02-11,12.9399995803833
2011-02-14,12.8100004196167
2011-02-15,12.819999694824219
2011-02-16,13.029999732971191
2011-02-17,13.140000343322754
2011-02-18,13.170000076293945
2011-02-22,13.25
2011-02-23,13.40999984741211
2011-02-24,13.319999694824219
2011-02-25,13.5
2011-02-28,13.449999809265137
2011-03-01,13.3100004196167
2011-03-02,13.449999809265137
2011-03-03,13.869999885559082
2011-03-04,13.75
2011-03-07,13.40999984741211
2011-03-08,13.649999618530273
2011-03-09,13.300000190734863
2011-03-10,13.199999809265137
2011-03-11,13.100000381469727
2011-03-14,13.0
2011-03-15,13.960000038146973
2011-03-16,13.300000190734863
2011-03-17,13.25
2011-03-18,13.420000076293945
2011-03-21,13.529999732971191
2011-03-22,13.529999732971191
2011-03-23,13.390000343322754
2011-03-24,13.449999809265137
2011-03-25,13.800000190734863
2011-03-28,13.550000190734863
2011-03-29,13.75
2011-03-30,13.670000076293945
2011-03-31,13.65999984741211
2011-04-01,13.680000305175781
2011-04-04,13.869999885559082
2011-04-05,13.859999656677246
2011-04-06,13.649999618530273
2011-04-07,13.779999732971191
2011-04-08,13.520000457763672
2011-04-11,13.609999656677246
