,AOSL
2010-04-29,17.700000762939453
2010-04-30,17.90999984741211
2010-05-03,17.899999618530273
2010-05-04,17.329999923706055
2010-05-05,16.700000762939453
2010-05-06,15.25
2010-05-07,14.5
2010-05-10,14.84000015258789
2010-05-11,15.0
2010-05-12,15.40999984741211
2010-05-13,15.100000381469727
2010-05-14,14.699999809265137
2010-05-17,14.109999656677246
2010-05-18,14.449999809265137
2010-05-19,14.75
2010-05-20,14.260000228881836
2010-05-21,14.779999732971191
2010-05-24,14.470000267028809
2010-05-25,13.850000381469727
2010-05-26,13.899999618530273
2010-05-27,15.010000228881836
2010-05-28,14.890000343322754
2010-06-01,14.949999809265137
2010-06-02,15.279999732971191
2010-06-03,15.350000381469727
2010-06-04,15.010000228881836
2010-06-07,14.479999542236328
2010-06-08,14.40999984741211
2010-06-09,14.0
2010-06-10,14.239999771118164
2010-06-11,14.380000114440918
2010-06-14,14.5
2010-06-15,14.569999694824219
2010-06-16,14.710000038146973
2010-06-17,14.789999961853027
2010-06-18,14.75
2010-06-21,14.779999732971191
2010-06-22,14.720000267028809
2010-06-23,14.729999542236328
2010-06-24,14.460000038146973
2010-06-25,13.800000190734863
2010-06-28,14.140000343322754
2010-06-29,13.90999984741211
2010-06-30,13.8100004196167
2010-07-01,13.4399995803833
2010-07-02,13.5600004196167
2010-07-06,13.430000305175781
2010-07-07,13.25
2010-07-08,12.779999732971191
2010-07-09,12.6899995803833
2010-07-12,13.130000114440918
2010-07-13,13.390000343322754
2010-07-14,13.300000190734863
2010-07-15,13.170000076293945
2010-07-16,13.0600004196167
2010-07-19,13.140000343322754
2010-07-20,12.989999771118164
2010-07-21,12.529999732971191
2010-07-22,12.819999694824219
2010-07-23,12.8100004196167
2010-07-26,12.470000267028809
2010-07-27,12.640000343322754
2010-07-28,12.420000076293945
2010-07-29,12.350000381469727
2010-07-30,12.40999984741211
2010-08-02,12.539999961853027
2010-08-03,12.75
2010-08-04,13.649999618530273
2010-08-05,13.25
2010-08-06,13.029999732971191
2010-08-09,13.359999656677246
2010-08-10,13.149999618530273
2010-08-11,9.9399995803833
2010-08-12,10.220000267028809
2010-08-13,10.449999809265137
2010-08-16,10.800000190734863
2010-08-17,10.84000015258789
2010-08-18,10.920000076293945
2010-08-19,10.529999732971191
2010-08-20,10.819999694824219
2010-08-23,10.6899995803833
2010-08-24,10.390000343322754
2010-08-25,10.5
2010-08-26,10.579999923706055
2010-08-27,11.140000343322754
2010-08-30,11.140000343322754
2010-08-31,11.130000114440918
2010-09-01,11.399999618530273
2010-09-02,11.359999656677246
2010-09-03,11.449999809265137
2010-09-07,11.079999923706055
2010-09-08,11.279999732971191
2010-09-09,11.220000267028809
2010-09-10,11.229999542236328
2010-09-13,11.930000305175781
2010-09-14,11.539999961853027
2010-09-15,11.630000114440918
2010-09-16,11.399999618530273
2010-09-17,11.670000076293945
2010-09-20,11.9399995803833
2010-09-21,11.420000076293945
2010-09-22,11.3100004196167
2010-09-23,11.279999732971191
2010-09-24,11.399999618530273
2010-09-27,11.600000381469727
2010-09-28,11.65999984741211
2010-09-29,11.5
2010-09-30,11.359999656677246
2010-10-01,11.5
2010-10-04,11.020000457763672
2010-10-05,11.479999542236328
2010-10-06,11.449999809265137
2010-10-07,11.399999618530273
2010-10-08,11.380000114440918
2010-10-11,11.369999885559082
2010-10-12,11.5
2010-10-13,11.670000076293945
2010-10-14,11.8100004196167
2010-10-15,11.670000076293945
2010-10-18,11.59000015258789
2010-10-19,11.40999984741211
2010-10-20,11.579999923706055
2010-10-21,11.350000381469727
2010-10-22,11.350000381469727
2010-10-25,11.289999961853027
2010-10-26,11.229999542236328
2010-10-27,11.0
2010-10-28,11.4399995803833
2010-10-29,11.210000038146973
2010-11-01,11.289999961853027
2010-11-02,11.40999984741211
2010-11-03,11.40999984741211
2010-11-04,11.670000076293945
2010-11-05,11.680000305175781
2010-11-08,11.949999809265137
2010-11-09,12.199999809265137
2010-11-10,12.369999885559082
2010-11-11,11.90999984741211
2010-11-12,11.84000015258789
2010-11-15,12.050000190734863
2010-11-16,11.789999961853027
2010-11-17,12.0
2010-11-18,12.0600004196167
2010-11-19,11.850000381469727
2010-11-22,11.600000381469727
2010-11-23,11.539999961853027
2010-11-24,11.600000381469727
2010-11-26,11.59000015258789
2010-11-29,11.819999694824219
2010-11-30,11.760000228881836
2010-12-01,11.760000228881836
2010-12-02,13.279999732971191
2010-12-03,13.0600004196167
2010-12-06,13.010000228881836
2010-12-07,13.09000015258789
2010-12-08,12.65999984741211
2010-12-09,12.739999771118164
2010-12-10,13.0
2010-12-13,13.029999732971191
2010-12-14,13.020000457763672
2010-12-15,13.529999732971191
2010-12-16,13.5600004196167
2010-12-17,13.460000038146973
2010-12-20,13.449999809265137
2010-12-21,13.25
2010-12-22,13.020000457763672
2010-12-23,12.960000038146973
2010-12-27,12.960000038146973
2010-12-28,12.989999771118164
2010-12-29,12.800000190734863
2010-12-30,12.930000305175781
2010-12-31,12.829999923706055
2011-01-03,13.239999771118164
2011-01-04,13.319999694824219
2011-01-05,13.680000305175781
2011-01-06,13.960000038146973
2011-01-07,14.199999809265137
2011-01-10,14.199999809265137
2011-01-11,14.0600004196167
2011-01-12,14.260000228881836
2011-01-13,14.25
2011-01-14,14.239999771118164
2011-01-18,14.449999809265137
2011-01-19,14.180000305175781
2011-01-20,14.0600004196167
2011-01-21,13.9399995803833
2011-01-24,14.239999771118164
2011-01-25,14.270000457763672
2011-01-26,14.289999961853027
2011-01-27,14.229999542236328
2011-01-28,14.0600004196167
2011-01-31,14.140000343322754
2011-02-01,14.359999656677246
2011-02-02,14.380000114440918
2011-02-03,14.15999984741211
2011-02-04,13.979999542236328
2011-02-07,14.039999961853027
2011-02-08,13.899999618530273
2011-02-09,13.850000381469727
2011-02-10,13.829999923706055
2011-02-11,13.859999656677246
2011-02-14,13.819999694824219
2011-02-15,13.539999961853027
2011-02-16,13.489999771118164
2011-02-17,13.260000228881836
2011-02-18,13.220000267028809
2011-02-22,12.859999656677246
2011-02-23,12.4399995803833
2011-02-24,12.890000343322754
2011-02-25,13.350000381469727
2011-02-28,13.0600004196167
2011-03-01,13.0
2011-03-02,12.949999809265137
2011-03-03,13.039999961853027
2011-03-04,12.949999809265137
2011-03-07,12.680000305175781
2011-03-08,12.640000343322754
2011-03-09,12.710000038146973
2011-03-10,12.489999771118164
2011-03-11,12.59000015258789
2011-03-14,12.630000114440918
2011-03-15,12.84000015258789
2011-03-16,12.649999618530273
2011-03-17,12.9399995803833
2011-03-18,13.170000076293945
2011-03-21,12.949999809265137
2011-03-22,12.829999923706055
2011-03-23,12.649999618530273
2011-03-24,13.010000228881836
2011-03-25,12.970000267028809
2011-03-28,12.710000038146973
2011-03-29,12.869999885559082
2011-03-30,12.829999923706055
2011-03-31,12.6899995803833
2011-04-01,12.619999885559082
2011-04-04,12.329999923706055
2011-04-05,12.739999771118164
2011-04-06,12.649999618530273
2011-04-07,12.720000267028809
2011-04-08,12.779999732971191
2011-04-11,12.710000038146973
2011-04-12,12.6899995803833
2011-04-13,12.850000381469727
2011-04-14,12.789999961853027
2011-04-15,12.90999984741211
2011-04-18,12.829999923706055
2011-04-19,12.569999694824219
2011-04-20,12.979999542236328
2011-04-21,12.859999656677246
2011-04-25,13.460000038146973
2011-04-26,13.6899995803833
2011-04-27,13.619999885559082
2011-04-28,13.760000228881836
2011-04-29,14.180000305175781
2011-05-02,13.829999923706055
2011-05-03,13.600000381469727
2011-05-04,13.399999618530273
2011-05-05,13.5600004196167
2011-05-06,13.600000381469727
2011-05-09,13.630000114440918
2011-05-10,13.770000457763672
2011-05-11,13.9399995803833
2011-05-12,13.850000381469727
2011-05-13,13.65999984741211
2011-05-16,13.640000343322754
2011-05-17,13.779999732971191
2011-05-18,13.899999618530273
2011-05-19,13.850000381469727
2011-05-20,13.609999656677246
2011-05-23,13.75
2011-05-24,13.510000228881836
2011-05-25,13.489999771118164
