,BSMU
2020-10-12,24.665000915527344
2020-10-13,24.69499969482422
2020-10-14,24.69499969482422
2020-10-15,24.71500015258789
2020-10-16,24.7450008392334
2020-10-19,24.7450008392334
2020-10-20,24.71500015258789
2020-10-21,24.71500015258789
2020-10-22,24.71500015258789
2020-10-23,24.71500015258789
2020-10-26,24.729999542236328
2020-10-27,24.729999542236328
2020-10-28,24.729999542236328
2020-10-29,24.729999542236328
2020-10-30,24.729999542236328
2020-11-02,24.684999465942383
2020-11-03,24.684999465942383
2020-11-04,24.684999465942383
2020-11-05,24.684999465942383
2020-11-06,24.684999465942383
2020-11-09,24.684999465942383
2020-11-10,24.684999465942383
2020-11-11,24.684999465942383
2020-11-12,24.684999465942383
2020-11-13,24.684999465942383
2020-11-16,24.684999465942383
2020-11-17,24.684999465942383
2020-11-18,24.684999465942383
2020-11-19,25.364999771118164
2020-11-20,25.434999465942383
2020-11-23,25.434999465942383
2020-11-24,25.360000610351562
2020-11-25,25.360000610351562
2020-11-27,25.360000610351562
2020-11-30,25.360000610351562
2020-12-01,25.360000610351562
2020-12-02,25.360000610351562
2020-12-03,25.360000610351562
2020-12-04,25.360000610351562
2020-12-07,25.360000610351562
2020-12-08,25.360000610351562
2020-12-09,25.360000610351562
2020-12-10,25.360000610351562
2020-12-11,25.593000411987305
2020-12-14,25.594999313354492
2020-12-15,25.594999313354492
2020-12-16,25.594999313354492
2020-12-17,25.594999313354492
2020-12-18,25.594999313354492
2020-12-21,25.594999313354492
2020-12-22,25.604999542236328
2020-12-23,25.604999542236328
2020-12-24,25.604999542236328
2020-12-28,25.604999542236328
2020-12-29,25.604999542236328
2020-12-30,25.604999542236328
2020-12-31,25.604999542236328
2021-01-04,25.604999542236328
2021-01-05,25.68000030517578
2021-01-06,25.645000457763672
2021-01-07,25.6200008392334
2021-01-08,25.514999389648438
2021-01-11,25.514999389648438
2021-01-12,25.514999389648438
2021-01-13,25.575000762939453
2021-01-14,25.565000534057617
2021-01-15,25.584999084472656
2021-01-19,25.575000762939453
2021-01-20,25.565000534057617
2021-01-21,25.604999542236328
2021-01-22,25.6200008392334
2021-01-25,25.670000076293945
2021-01-26,25.704999923706055
2021-01-27,25.7549991607666
2021-01-28,25.764999389648438
2021-01-29,25.764999389648438
2021-02-01,25.78499984741211
2021-02-02,25.78499984741211
2021-02-03,25.78499984741211
2021-02-04,25.78499984741211
2021-02-05,25.80500030517578
2021-02-08,25.81999969482422
2021-02-09,25.81999969482422
2021-02-10,25.889999389648438
2021-02-11,25.915000915527344
2021-02-12,25.905000686645508
2021-02-16,25.905000686645508
2021-02-17,25.80500030517578
2021-02-18,25.80500030517578
2021-02-19,25.514999389648438
2021-02-22,25.264999389648438
2021-02-23,25.264999389648438
2021-02-24,25.264999389648438
2021-02-25,24.895000457763672
2021-02-26,24.950000762939453
2021-03-01,24.920000076293945
2021-03-02,24.924999237060547
2021-03-03,24.924999237060547
2021-03-04,24.934999465942383
2021-03-05,24.985000610351562
2021-03-08,25.0049991607666
2021-03-09,25.0049991607666
2021-03-10,25.19499969482422
2021-03-11,25.235000610351562
2021-03-12,25.145000457763672
2021-03-15,25.204999923706055
2021-03-16,25.19499969482422
2021-03-17,25.18000030517578
2021-03-18,25.020000457763672
2021-03-19,25.0049991607666
2021-03-22,25.0049991607666
2021-03-23,25.03499984741211
2021-03-24,25.05500030517578
2021-03-25,25.05500030517578
2021-03-26,25.05500030517578
2021-03-29,25.075000762939453
2021-03-30,25.079999923706055
2021-03-31,25.059999465942383
2021-04-01,25.059999465942383
2021-04-05,25.135000228881836
2021-04-06,25.155000686645508
2021-04-07,25.19499969482422
2021-04-08,25.28499984741211
2021-04-09,25.295000076293945
2021-04-12,25.325000762939453
2021-04-13,25.344999313354492
2021-04-14,25.395000457763672
2021-04-15,25.524999618530273
2021-04-16,25.5049991607666
2021-04-19,25.44499969482422
2021-04-20,25.44499969482422
2021-04-21,25.47100067138672
2021-04-22,25.545000076293945
2021-04-23,25.579999923706055
2021-04-26,25.559999465942383
2021-04-27,25.559999465942383
2021-04-28,25.514999389648438
2021-04-29,25.479999542236328
2021-04-30,25.434999465942383
2021-05-03,25.43000030517578
2021-05-04,25.479000091552734
2021-05-05,25.4950008392334
2021-05-06,25.4950008392334
2021-05-07,25.524999618530273
2021-05-10,25.5049991607666
2021-05-11,25.4950008392334
2021-05-12,25.46500015258789
2021-05-13,25.479999542236328
2021-05-14,25.485000610351562
