,CYCC
2004-03-16,122808.0
2004-03-17,116256.0
2004-03-18,114072.0
2004-03-19,119280.0
2004-03-22,117600.0
2004-03-23,121800.0
2004-03-24,127512.0
2004-03-25,123480.0
2004-03-26,121800.0
2004-03-29,117768.0
2004-03-30,117768.0
2004-03-31,125832.0
2004-04-01,120960.0
2004-04-02,113400.0
2004-04-05,109872.0
2004-04-06,105840.0
2004-04-07,106512.0
2004-04-08,106344.0
2004-04-12,100800.0
2004-04-13,103320.0
2004-04-14,103320.0
2004-04-15,103320.0
2004-04-16,106176.0
2004-04-19,109200.0
2004-04-20,105840.0
2004-04-21,109536.0
2004-04-22,107352.0
2004-04-23,102816.0
2004-04-26,107184.0
2004-04-27,109200.0
2004-04-28,107016.0
2004-04-29,105672.0
2004-04-30,103320.0
2004-05-03,106344.0
2004-05-04,106176.0
2004-05-05,102648.0
2004-05-06,103320.0
2004-05-07,107352.0
2004-05-10,101808.0
2004-05-11,100800.0
2004-05-12,100800.0
2004-05-13,100800.0
2004-05-14,100464.0
2004-05-17,99120.0
2004-05-18,99120.0
2004-05-19,99288.0
2004-05-20,96600.0
2004-05-21,95760.0
2004-05-24,94080.0
2004-05-25,94248.0
2004-05-26,97440.0
2004-05-27,94080.0
2004-05-28,88200.0
2004-06-01,88200.0
2004-06-02,95760.0
2004-06-03,89376.0
2004-06-04,90216.0
2004-06-07,87696.0
2004-06-08,85680.0
2004-06-09,78960.0
2004-06-10,70896.0
2004-06-14,68880.0
2004-06-15,71232.0
2004-06-16,70224.0
2004-06-17,68880.0
2004-06-18,68880.0
2004-06-21,69720.0
2004-06-22,71400.0
2004-06-23,69720.0
2004-06-24,71400.0
2004-06-25,72576.0
2004-06-28,69216.0
2004-06-29,78120.0
2004-06-30,73920.0
2004-07-01,75096.0
2004-07-02,73920.0
2004-07-06,72408.0
2004-07-07,71400.0
2004-07-08,70560.0
2004-07-09,70896.0
2004-07-12,81312.0
2004-07-13,83832.0
2004-07-14,77448.0
2004-07-15,83328.0
2004-07-16,77280.0
2004-07-19,77280.0
2004-07-20,80976.0
2004-07-21,78960.0
2004-07-22,79128.0
2004-07-23,77448.0
2004-07-26,70896.0
2004-07-27,76440.0
2004-07-28,75432.0
2004-07-29,76608.0
2004-07-30,76440.0
2004-08-02,75096.0
2004-08-03,75432.0
2004-08-04,75432.0
2004-08-05,76272.0
2004-08-06,73080.0
2004-08-09,73920.0
2004-08-10,75936.0
2004-08-11,74760.0
2004-08-12,71400.0
2004-08-13,71736.0
2004-08-16,75096.0
2004-08-17,75600.0
2004-08-18,76272.0
2004-08-19,75600.0
2004-08-20,76440.0
2004-08-23,76440.0
2004-08-24,76272.0
2004-08-25,70896.0
2004-08-26,76440.0
2004-08-27,76440.0
2004-08-30,76440.0
2004-08-31,72576.0
2004-09-01,76104.0
2004-09-02,76272.0
2004-09-03,76440.0
2004-09-07,75600.0
2004-09-08,73248.0
2004-09-09,76440.0
2004-09-10,74088.0
2004-09-13,63840.0
2004-09-14,61488.0
2004-09-15,63336.0
2004-09-16,63336.0
2004-09-17,62160.0
2004-09-20,60816.0
2004-09-21,59472.0
2004-09-22,57960.0
2004-09-23,57120.0
2004-09-24,53760.0
2004-09-27,56448.0
2004-09-28,55944.0
2004-09-29,58800.0
2004-09-30,53256.0
2004-10-01,58464.0
2004-10-04,56784.0
2004-10-05,56784.0
2004-10-06,57120.0
2004-10-07,50400.0
2004-10-08,53592.0
2004-10-11,55440.0
2004-10-12,49560.0
2004-10-13,50736.0
2004-10-14,49392.0
2004-10-15,47208.0
2004-10-18,49224.0
2004-10-19,49560.0
2004-10-20,46032.0
2004-10-21,44184.0
2004-10-22,45360.0
2004-10-25,44016.0
2004-10-26,40320.0
2004-10-27,37464.0
2004-10-28,33600.0
2004-10-29,38136.0
2004-11-01,35112.0
2004-11-02,35112.0
2004-11-03,38304.0
2004-11-04,40152.0
2004-11-05,41832.0
2004-11-08,42840.0
2004-11-09,43344.0
2004-11-10,46200.0
2004-11-11,48888.0
2004-11-12,50232.0
2004-11-15,51744.0
2004-11-16,52248.0
2004-11-17,49056.0
2004-11-18,47376.0
2004-11-19,43680.0
2004-11-22,42168.0
2004-11-23,43344.0
2004-11-24,47040.0
2004-11-26,43848.0
2004-11-29,41664.0
2004-11-30,40656.0
2004-12-01,40824.0
2004-12-02,40152.0
2004-12-03,37296.0
2004-12-06,36456.0
2004-12-07,36624.0
2004-12-08,35952.0
2004-12-09,35952.0
2004-12-10,40320.0
2004-12-13,40320.0
2004-12-14,39480.0
2004-12-15,42672.0
2004-12-16,44856.0
2004-12-17,47544.0
2004-12-20,47040.0
2004-12-21,46704.0
2004-12-22,46872.0
2004-12-23,44520.0
2004-12-27,44520.0
2004-12-28,45360.0
2004-12-29,44688.0
2004-12-30,44184.0
2004-12-31,46368.0
2005-01-03,47712.0
2005-01-04,45360.0
2005-01-05,42672.0
2005-01-06,42000.0
2005-01-07,42000.0
2005-01-10,39984.0
2005-01-11,42000.0
2005-01-12,40488.0
2005-01-13,40320.0
2005-01-14,40992.0
2005-01-18,42000.0
2005-01-19,41664.0
2005-01-20,40320.0
2005-01-21,39648.0
2005-01-24,39312.0
2005-01-25,39984.0
2005-01-26,40152.0
2005-01-27,38640.0
2005-01-28,38640.0
2005-01-31,37968.0
2005-02-01,39480.0
2005-02-02,38472.0
2005-02-03,31752.0
2005-02-04,30912.0
2005-02-07,31080.0
2005-02-08,30240.0
2005-02-09,30240.0
2005-02-10,30240.0
2005-02-11,30240.0
2005-02-14,30240.0
2005-02-15,30240.0
2005-02-16,30576.0
2005-02-17,30744.0
2005-02-18,30744.0
2005-02-22,29568.0
2005-02-23,29568.0
2005-02-24,29736.0
2005-02-25,29736.0
2005-02-28,30408.0
2005-03-01,28728.0
2005-03-02,27888.0
2005-03-03,28392.0
2005-03-04,28392.0
2005-03-07,27216.0
2005-03-08,26712.0
2005-03-09,26208.0
2005-03-10,26376.0
2005-03-11,24528.0
2005-03-14,24024.0
2005-03-15,26040.0
2005-03-16,24024.0
2005-03-17,24024.0
2005-03-18,25200.0
2005-03-21,23520.0
2005-03-22,23184.0
2005-03-23,26376.0
2005-03-24,24696.0
2005-03-28,23184.0
2005-03-29,22008.0
2005-03-30,22344.0
2005-03-31,20664.0
2005-04-01,18480.0
2005-04-04,18312.0
2005-04-05,17472.0
2005-04-06,17808.0
2005-04-07,17976.0
2005-04-08,18984.0
2005-04-11,17976.0
2005-04-12,17136.0
2005-04-13,16128.0
2005-04-14,15456.0
2005-04-15,15960.0
2005-04-18,15792.0
2005-04-19,16800.0
2005-04-20,16800.0
2005-04-21,16800.0
2005-04-22,16296.0
2005-04-25,15624.0
2005-04-26,16800.0
2005-04-27,15960.0
2005-04-28,15792.0
2005-04-29,15624.0
2005-05-02,15288.0
2005-05-03,14952.0
2005-05-04,14448.0
2005-05-05,14280.0
2005-05-06,14280.0
2005-05-09,14112.0
2005-05-10,13776.0
2005-05-11,13440.0
2005-05-12,14280.0
2005-05-13,14280.0
2005-05-16,11760.0
2005-05-17,10584.0
2005-05-18,11256.0
2005-05-19,11928.0
2005-05-20,11256.0
2005-05-23,10080.0
2005-05-24,9744.0
2005-05-25,10080.0
2005-05-26,10080.0
2005-05-27,10584.0
2005-05-31,11088.0
2005-06-01,10920.0
2005-06-02,10920.0
2005-06-03,10584.0
2005-06-06,10584.0
2005-06-07,10752.0
2005-06-08,10080.0
2005-06-09,10248.0
2005-06-10,10080.0
2005-06-13,10752.0
2005-06-14,11424.0
2005-06-15,10920.0
2005-06-16,10584.0
2005-06-17,11088.0
2005-06-20,10920.0
2005-06-21,12432.0
2005-06-22,12936.0
2005-06-23,11928.0
2005-06-24,12432.0
2005-06-27,11592.0
2005-06-28,11760.0
2005-06-29,11928.0
2005-06-30,12096.0
2005-07-01,11592.0
2005-07-05,11424.0
2005-07-06,11424.0
2005-07-07,11424.0
2005-07-08,11088.0
2005-07-11,11424.0
2005-07-12,11256.0
2005-07-13,10920.0
2005-07-14,10584.0
2005-07-15,10584.0
2005-07-18,9912.0
2005-07-19,9744.0
2005-07-20,9912.0
2005-07-21,10248.0
2005-07-22,10248.0
2005-07-25,10416.0
2005-07-26,11088.0
2005-07-27,11424.0
2005-07-28,11256.0
2005-07-29,11088.0
2005-08-01,10920.0
2005-08-02,11256.0
2005-08-03,11088.0
2005-08-04,11424.0
2005-08-05,11088.0
2005-08-08,11256.0
2005-08-09,11088.0
2005-08-10,13104.0
2005-08-11,11424.0
2005-08-12,12264.0
2005-08-15,10752.0
2005-08-16,10584.0
2005-08-17,10416.0
2005-08-18,10584.0
2005-08-19,10416.0
2005-08-22,10752.0
2005-08-23,11424.0
2005-08-24,11424.0
2005-08-25,12768.0
2005-08-26,11088.0
2005-08-29,10920.0
2005-08-30,10584.0
2005-08-31,10416.0
2005-09-01,10416.0
2005-09-02,10248.0
2005-09-06,10248.0
2005-09-07,10248.0
2005-09-08,10080.0
2005-09-09,10080.0
2005-09-12,10080.0
2005-09-13,10248.0
2005-09-14,10080.0
2005-09-15,9912.0
2005-09-16,9744.0
2005-09-19,9240.0
2005-09-20,9072.0
2005-09-21,8904.0
2005-09-22,8400.0
2005-09-23,8568.0
2005-09-26,8904.0
2005-09-27,8568.0
2005-09-28,8568.0
2005-09-29,8400.0
2005-09-30,8064.0
2005-10-03,8064.0
2005-10-04,7560.0
