,FCNCP
2020-03-06,25.225000381469727
2020-03-09,24.700000762939453
2020-03-10,24.700000762939453
2020-03-11,24.5
2020-03-12,23.299999237060547
2020-03-13,23.299999237060547
2020-03-16,23.299999237060547
2020-03-17,21.0
2020-03-18,17.0
2020-03-19,18.0
2020-03-20,17.8700008392334
2020-03-23,18.739999771118164
2020-03-24,18.469999313354492
2020-03-25,20.0
2020-03-26,21.8799991607666
2020-03-27,22.079999923706055
2020-03-30,23.950000762939453
2020-03-31,22.6299991607666
2020-04-01,21.0
2020-04-02,21.0
2020-04-03,20.75
2020-04-06,21.100000381469727
2020-04-07,22.110000610351562
2020-04-08,22.5
2020-04-09,23.100000381469727
2020-04-13,22.700000762939453
2020-04-14,23.09000015258789
2020-04-15,23.0
2020-04-16,23.739999771118164
2020-04-17,23.5
2020-04-20,22.799999237060547
2020-04-21,22.687000274658203
2020-04-22,23.100000381469727
2020-04-23,23.959999084472656
2020-04-24,24.149999618530273
2020-04-27,24.110000610351562
2020-04-28,24.030000686645508
2020-04-29,24.649999618530273
2020-04-30,25.190000534057617
2020-05-01,24.649999618530273
2020-05-04,24.979999542236328
2020-05-05,25.049999237060547
2020-05-06,24.969999313354492
2020-05-07,24.950000762939453
2020-05-08,25.0
2020-05-11,25.030000686645508
2020-05-12,25.0
2020-05-13,24.25
2020-05-14,23.700000762939453
2020-05-15,23.440000534057617
2020-05-18,23.700000762939453
2020-05-19,24.3799991607666
2020-05-20,25.0
2020-05-21,24.850000381469727
2020-05-22,25.020000457763672
2020-05-26,25.040000915527344
2020-05-27,25.100000381469727
2020-05-28,25.010000228881836
2020-05-29,25.0
2020-06-01,25.0
2020-06-02,25.030000686645508
2020-06-03,25.059999465942383
2020-06-04,25.014999389648438
2020-06-05,25.0
2020-06-08,24.9950008392334
2020-06-09,25.0
2020-06-10,25.030000686645508
2020-06-11,24.649999618530273
2020-06-12,24.719999313354492
2020-06-15,24.600000381469727
2020-06-16,24.75
2020-06-17,24.829999923706055
2020-06-18,24.600000381469727
2020-06-19,24.450000762939453
2020-06-22,24.5049991607666
2020-06-23,24.600000381469727
2020-06-24,24.559999465942383
2020-06-25,24.549999237060547
2020-06-26,24.309999465942383
2020-06-29,24.450000762939453
