,AAXJ
2008-08-15,50.130001068115234
2008-08-18,49.0
2008-08-19,48.34000015258789
2008-08-20,49.02000045776367
2008-08-21,49.02000045776367
2008-08-22,49.220001220703125
2008-08-25,48.29999923706055
2008-08-26,48.7599983215332
2008-08-27,49.650001525878906
2008-08-28,49.66999816894531
2008-08-29,49.33000183105469
2008-09-02,49.0
2008-09-03,47.16999816894531
2008-09-04,45.959999084472656
2008-09-05,46.0
2008-09-08,47.22999954223633
2008-09-09,45.880001068115234
2008-09-10,45.880001068115234
2008-09-11,44.45000076293945
2008-09-12,43.790000915527344
2008-09-15,42.43000030517578
2008-09-16,41.58000183105469
2008-09-17,40.25
2008-09-18,43.13999938964844
2008-09-19,46.189998626708984
2008-09-22,45.02000045776367
2008-09-23,43.43000030517578
2008-09-24,43.2400016784668
2008-09-25,44.849998474121094
2008-09-26,43.439998626708984
2008-09-29,39.599998474121094
2008-09-30,41.400001525878906
2008-10-01,42.34000015258789
2008-10-02,40.70000076293945
2008-10-03,40.16999816894531
2008-10-06,37.02000045776367
2008-10-07,35.70000076293945
2008-10-08,35.77000045776367
2008-10-09,32.58000183105469
2008-10-10,32.54999923706055
2008-10-13,38.0
2008-10-14,37.43000030517578
2008-10-15,33.11000061035156
2008-10-16,33.619998931884766
2008-10-17,33.13999938964844
2008-10-20,34.5
2008-10-21,32.66999816894531
2008-10-22,29.899999618530273
2008-10-23,30.200000762939453
2008-10-24,27.649999618530273
2008-10-27,26.40999984741211
2008-10-28,29.899999618530273
2008-10-29,29.25
2008-10-30,31.899999618530273
2008-10-31,32.88999938964844
2008-11-03,33.029998779296875
2008-11-04,34.9900016784668
2008-11-05,32.900001525878906
2008-11-06,29.229999542236328
2008-11-07,31.969999313354492
2008-11-10,32.56999969482422
2008-11-11,30.6200008392334
2008-11-12,29.5
2008-11-13,32.45000076293945
2008-11-14,30.450000762939453
2008-11-17,29.940000534057617
2008-11-18,29.290000915527344
2008-11-19,27.0
2008-11-20,25.3799991607666
2008-11-21,28.5
2008-11-24,29.459999084472656
2008-11-25,28.8799991607666
2008-11-26,30.600000381469727
2008-11-28,30.530000686645508
2008-12-01,28.190000534057617
2008-12-02,29.549999237060547
2008-12-03,30.0
2008-12-04,28.979999542236328
2008-12-05,30.450000762939453
2008-12-08,32.47999954223633
2008-12-09,31.899999618530273
2008-12-10,33.66999816894531
2008-12-11,33.029998779296875
2008-12-12,33.310001373291016
2008-12-15,32.900001525878906
2008-12-16,34.83000183105469
2008-12-17,34.849998474121094
2008-12-18,34.439998626708984
2008-12-19,34.560001373291016
2008-12-22,33.130001068115234
2008-12-23,32.060001373291016
2008-12-24,33.02000045776367
2008-12-26,32.81999969482422
2008-12-29,32.93000030517578
2008-12-30,33.20000076293945
2008-12-31,33.529998779296875
2009-01-02,35.150001525878906
2009-01-05,35.779998779296875
2009-01-06,36.09000015258789
2009-01-07,34.290000915527344
2009-01-08,34.029998779296875
2009-01-09,32.61000061035156
2009-01-12,31.489999771118164
2009-01-13,31.739999771118164
2009-01-14,30.969999313354492
2009-01-15,30.670000076293945
2009-01-16,31.309999465942383
2009-01-20,29.510000228881836
2009-01-21,30.25
2009-01-22,29.43000030517578
2009-01-23,30.15999984741211
2009-01-26,30.030000686645508
2009-01-27,30.940000534057617
2009-01-28,32.470001220703125
2009-01-29,31.25
2009-01-30,30.790000915527344
2009-02-02,30.3799991607666
2009-02-03,30.899999618530273
2009-02-04,31.270000457763672
2009-02-05,31.829999923706055
2009-02-06,33.290000915527344
2009-02-09,32.84000015258789
2009-02-10,31.079999923706055
2009-02-11,31.450000762939453
2009-02-12,31.219999313354492
2009-02-13,31.600000381469727
2009-02-17,29.239999771118164
2009-02-18,29.530000686645508
2009-02-19,29.40999984741211
2009-02-20,29.010000228881836
2009-02-23,28.6200008392334
2009-02-24,29.850000381469727
2009-02-25,29.190000534057617
2009-02-26,28.81999969482422
2009-02-27,28.510000228881836
2009-03-02,26.700000762939453
2009-03-03,27.18000030517578
2009-03-04,29.010000228881836
2009-03-05,27.8700008392334
2009-03-06,27.940000534057617
2009-03-09,27.639999389648438
2009-03-10,29.59000015258789
2009-03-11,29.43000030517578
2009-03-12,30.799999237060547
2009-03-13,30.899999618530273
2009-03-16,31.219999313354492
2009-03-17,31.670000076293945
2009-03-18,32.25
2009-03-19,31.850000381469727
2009-03-20,31.139999389648438
2009-03-23,34.20000076293945
2009-03-24,33.540000915527344
2009-03-25,33.66999816894531
2009-03-26,35.189998626708984
2009-03-27,34.279998779296875
2009-03-30,32.36000061035156
2009-03-31,33.099998474121094
2009-04-01,34.25
2009-04-02,36.18000030517578
2009-04-03,36.380001068115234
2009-04-06,36.279998779296875
2009-04-07,35.400001525878906
2009-04-08,35.63999938964844
2009-04-09,36.84000015258789
2009-04-13,37.08000183105469
2009-04-14,37.08000183105469
2009-04-15,37.58000183105469
2009-04-16,37.779998779296875
2009-04-17,37.61000061035156
2009-04-20,36.31999969482422
2009-04-21,37.220001220703125
2009-04-22,36.5099983215332
2009-04-23,37.13999938964844
2009-04-24,37.61000061035156
