,AROW
1980-09-18,1.1935410499572754
1980-09-19,1.1935410499572754
1980-09-22,1.1935410499572754
1980-09-23,1.1935410499572754
1980-09-24,1.0679049491882324
1980-09-25,1.0679049491882324
1980-09-26,1.0679049491882324
1980-09-29,1.0679049491882324
1980-09-30,1.0679049491882324
1980-10-01,1.0679049491882324
1980-10-02,1.0679049491882324
1980-10-03,1.0679049491882324
1980-10-06,1.0679049491882324
1980-10-07,1.0679049491882324
1980-10-08,1.0679049491882324
1980-10-09,1.0679049491882324
1980-10-10,1.0679049491882324
1980-10-13,1.0679049491882324
1980-10-14,1.0679049491882324
1980-10-15,1.0679049491882324
1980-10-16,1.0679049491882324
1980-10-17,1.0679049491882324
1980-10-20,1.0679049491882324
1980-10-21,1.0679049491882324
1980-10-22,1.0679049491882324
1980-10-23,1.0679049491882324
1980-10-24,1.0679049491882324
1980-10-27,1.0679049491882324
1980-10-28,1.0679049491882324
1980-10-29,1.0679049491882324
1980-10-30,1.0679049491882324
1980-10-31,1.0679049491882324
1980-11-03,1.0679049491882324
1980-11-05,1.0679049491882324
1980-11-06,1.0679049491882324
1980-11-07,1.0679049491882324
1980-11-10,1.0679049491882324
1980-11-11,1.0679049491882324
1980-11-12,1.0679049491882324
1980-11-13,1.0679049491882324
1980-11-14,1.0679049491882324
1980-11-17,1.0679049491882324
1980-11-18,1.0679049491882324
1980-11-19,1.0679049491882324
1980-11-20,1.0993139743804932
1980-11-21,1.0993139743804932
1980-11-24,1.0993139743804932
1980-11-25,1.0993139743804932
1980-11-26,1.0993139743804932
1980-11-28,1.130722999572754
1980-12-01,1.130722999572754
1980-12-02,1.130722999572754
1980-12-03,1.130722999572754
1980-12-04,1.0993139743804932
1980-12-05,1.0993139743804932
1980-12-08,1.0993139743804932
1980-12-09,1.0993139743804932
1980-12-10,1.130722999572754
1980-12-11,1.130722999572754
1980-12-12,1.130722999572754
1980-12-15,1.130722999572754
1980-12-16,1.130722999572754
1980-12-17,1.130722999572754
1980-12-18,1.130722999572754
1980-12-19,1.130722999572754
1980-12-22,1.130722999572754
1980-12-23,1.130722999572754
1980-12-24,1.130722999572754
1980-12-26,1.130722999572754
1980-12-29,1.130722999572754
1980-12-30,1.130722999572754
1980-12-31,1.130722999572754
1981-01-02,1.130722999572754
1981-01-05,1.130722999572754
1981-01-06,1.130722999572754
1981-01-07,1.130722999572754
1981-01-08,1.130722999572754
1981-01-09,1.1621320247650146
1981-01-12,1.1778370141983032
1981-01-13,1.1778370141983032
1981-01-14,1.1778370141983032
1981-01-15,1.1778370141983032
1981-01-16,1.1935410499572754
1981-01-19,1.1935410499572754
1981-01-20,1.1935410499572754
1981-01-21,1.1935410499572754
1981-01-22,1.1935410499572754
1981-01-23,1.1935410499572754
1981-01-26,1.1935410499572754
