,BOMN
2017-06-13,22.0
2017-06-14,22.0
2017-06-15,22.0
2017-06-16,13.199999809265137
2017-06-19,13.5600004196167
2017-06-20,13.210000038146973
2017-06-21,13.670000076293945
2017-06-22,13.40999984741211
2017-06-23,13.390000343322754
2017-06-26,13.5
2017-06-27,13.199999809265137
2017-06-28,13.100000381469727
2017-06-29,13.199999809265137
2017-06-30,13.1850004196167
2017-07-03,13.300000190734863
2017-07-05,13.130000114440918
2017-07-06,13.329999923706055
2017-07-07,13.1899995803833
2017-07-10,13.199999809265137
2017-07-11,13.1899995803833
2017-07-12,13.15999984741211
2017-07-13,13.180000305175781
2017-07-14,13.170000076293945
2017-07-17,13.1899995803833
2017-07-18,13.175000190734863
2017-07-19,13.15999984741211
2017-07-20,13.1899995803833
2017-07-21,13.149999618530273
2017-07-24,13.1899995803833
2017-07-25,13.180000305175781
2017-07-26,13.140000343322754
2017-07-27,13.149999618530273
2017-07-28,13.1899995803833
2017-07-31,13.149999618530273
2017-08-01,13.149999618530273
2017-08-02,13.149999618530273
2017-08-03,13.199999809265137
2017-08-04,13.449999809265137
2017-08-07,13.300000190734863
2017-08-08,13.300000190734863
2017-08-09,13.34000015258789
2017-08-10,13.399999618530273
2017-08-11,13.399999618530273
2017-08-14,14.449999809265137
2017-08-15,14.75
2017-08-16,13.760000228881836
2017-08-17,14.300000190734863
2017-08-18,13.739999771118164
2017-08-21,14.319999694824219
2017-08-22,15.0
2017-08-23,14.9399995803833
2017-08-24,15.0
2017-08-25,14.819999694824219
2017-08-28,14.789999961853027
2017-08-29,14.970000267028809
2017-08-30,14.880000114440918
2017-08-31,14.25
2017-09-01,14.479999542236328
2017-09-05,14.399999618530273
2017-09-06,15.039999961853027
2017-09-07,14.850000381469727
2017-09-08,14.729999542236328
2017-09-11,15.850000381469727
2017-09-12,16.100000381469727
2017-09-13,16.190000534057617
2017-09-14,17.229999542236328
2017-09-15,15.34000015258789
2017-09-18,15.5600004196167
2017-09-19,15.720000267028809
2017-09-20,16.010000228881836
2017-09-21,16.360000610351562
2017-09-22,16.209999084472656
2017-09-25,15.449999809265137
2017-09-26,15.550000190734863
2017-09-27,15.779999732971191
2017-09-28,15.520000457763672
2017-09-29,15.5
2017-10-02,16.200000762939453
2017-10-03,15.829999923706055
2017-10-04,16.059999465942383
2017-10-05,16.209999084472656
2017-10-06,16.3799991607666
2017-10-09,16.559999465942383
2017-10-10,17.139999389648438
2017-10-11,16.700000762939453
2017-10-12,16.350000381469727
2017-10-13,16.260000228881836
2017-10-16,16.520000457763672
2017-10-17,16.549999237060547
2017-10-18,16.5
2017-10-19,16.889999389648438
2017-10-20,16.649999618530273
2017-10-23,16.850000381469727
2017-10-24,16.969999313354492
2017-10-25,17.219999313354492
2017-10-26,17.09000015258789
2017-10-27,17.200000762939453
2017-10-30,17.450000762939453
2017-10-31,17.739999771118164
2017-11-01,18.25
2017-11-02,17.899999618530273
2017-11-03,18.399999618530273
2017-11-06,18.399999618530273
2017-11-07,18.309999465942383
2017-11-08,19.0
2017-11-09,18.5
2017-11-10,18.360000610351562
2017-11-13,18.700000762939453
2017-11-14,17.959999084472656
2017-11-15,18.149999618530273
2017-11-16,18.0
2017-11-17,18.09000015258789
2017-11-20,19.530000686645508
2017-11-21,18.90999984741211
2017-11-22,20.8799991607666
2017-11-24,21.200000762939453
2017-11-27,22.5
2017-11-28,22.270000457763672
2017-11-29,22.459999084472656
