,FLWS
1999-08-03,18.1875
1999-08-04,17.0
1999-08-05,16.0
1999-08-06,17.0
1999-08-09,16.0
1999-08-10,14.875
1999-08-11,14.3125
1999-08-12,14.3125
1999-08-13,14.75
1999-08-16,16.75
1999-08-17,17.0625
1999-08-18,16.25
1999-08-19,16.5
1999-08-20,16.0
1999-08-23,17.0
1999-08-24,18.6875
1999-08-25,19.0625
1999-08-26,20.0625
1999-08-27,20.75
1999-08-30,18.5625
1999-08-31,18.0
1999-09-01,17.6875
1999-09-02,17.0625
1999-09-03,17.375
1999-09-07,18.5
1999-09-08,19.625
1999-09-09,17.125
1999-09-10,16.875
1999-09-13,16.3125
1999-09-14,17.3125
1999-09-15,17.1875
1999-09-16,16.5625
1999-09-17,16.6875
1999-09-20,16.375
1999-09-21,16.5625
1999-09-22,15.9375
1999-09-23,15.8125
1999-09-24,14.625
1999-09-27,15.0
1999-09-28,14.4375
1999-09-29,14.9375
1999-09-30,14.4375
1999-10-01,13.46875
1999-10-04,12.625
1999-10-05,14.875
1999-10-06,14.1875
1999-10-07,15.0
1999-10-08,14.75
1999-10-11,14.6875
1999-10-12,15.1875
1999-10-13,14.1875
1999-10-14,14.1875
1999-10-15,13.3125
1999-10-18,12.75
1999-10-19,13.375
1999-10-20,13.5
1999-10-21,13.3125
1999-10-22,13.125
1999-10-25,12.375
1999-10-26,12.9375
1999-10-27,12.25
1999-10-28,12.5625
1999-10-29,12.875
1999-11-01,12.4375
1999-11-02,12.4375
1999-11-03,12.1875
1999-11-04,12.125
1999-11-05,12.25
1999-11-08,12.375
1999-11-09,12.4375
1999-11-10,12.6875
1999-11-11,13.75
1999-11-12,13.375
1999-11-15,13.125
1999-11-16,13.625
1999-11-17,14.375
1999-11-18,14.1875
1999-11-19,13.5625
1999-11-22,14.0625
1999-11-23,14.0625
1999-11-24,13.8125
1999-11-26,15.5
1999-11-29,16.5625
1999-11-30,15.75
1999-12-01,15.125
1999-12-02,14.75
1999-12-03,15.8125
1999-12-06,15.375
1999-12-07,15.5
1999-12-08,15.0625
1999-12-09,13.75
1999-12-10,13.375
1999-12-13,13.3125
1999-12-14,13.0
1999-12-15,12.6875
1999-12-16,12.625
1999-12-17,12.4375
1999-12-20,12.375
1999-12-21,12.25
1999-12-22,12.75
1999-12-23,12.375
1999-12-27,11.625
1999-12-28,10.875
1999-12-29,11.1875
1999-12-30,10.8125
1999-12-31,10.6875
2000-01-03,11.4375
2000-01-04,11.1875
2000-01-05,11.375
2000-01-06,12.125
2000-01-07,12.4375
2000-01-10,11.8125
2000-01-11,11.5
2000-01-12,11.0625
2000-01-13,10.65625
2000-01-14,10.75
2000-01-18,10.0
2000-01-19,10.0625
2000-01-20,10.5
2000-01-21,10.8125
2000-01-24,12.125
2000-01-25,11.75
2000-01-26,10.5625
2000-01-27,10.1875
2000-01-28,10.5
2000-01-31,9.75
2000-02-01,9.0625
2000-02-02,9.1875
2000-02-03,10.875
2000-02-04,11.6875
2000-02-07,11.6875
2000-02-08,11.75
2000-02-09,11.625
2000-02-10,11.6875
2000-02-11,11.6875
2000-02-14,11.0
2000-02-15,10.25
2000-02-16,10.6875
2000-02-17,10.75
2000-02-18,10.6875
2000-02-22,10.125
2000-02-23,9.8125
2000-02-24,9.8125
2000-02-25,9.1875
2000-02-28,8.75
2000-02-29,9.1875
2000-03-01,8.875
2000-03-02,8.8125
2000-03-03,8.1875
2000-03-06,7.90625
2000-03-07,7.8125
2000-03-08,7.4375
2000-03-09,7.125
2000-03-10,7.03125
2000-03-13,7.25
2000-03-14,7.0
2000-03-15,6.875
2000-03-16,6.875
2000-03-17,6.8125
2000-03-20,6.59375
2000-03-21,6.75
2000-03-22,7.25
2000-03-23,7.8125
2000-03-24,7.875
2000-03-27,7.75
2000-03-28,7.375
2000-03-29,7.1875
2000-03-30,7.125
2000-03-31,7.125
2000-04-03,7.0
2000-04-04,6.4375
2000-04-05,6.25
2000-04-06,6.0
2000-04-07,6.0
2000-04-10,6.0625
2000-04-11,5.875
2000-04-12,5.5
2000-04-13,5.0625
2000-04-14,4.75
2000-04-17,4.6875
2000-04-18,4.6875
2000-04-19,4.8125
2000-04-20,4.5
2000-04-24,5.0625
2000-04-25,5.5625
2000-04-26,6.125
2000-04-27,6.09375
2000-04-28,5.875
2000-05-01,6.3125
2000-05-02,7.0
2000-05-03,7.0
2000-05-04,7.375
2000-05-05,7.25
2000-05-08,7.0625
2000-05-09,6.9375
2000-05-10,7.125
2000-05-11,7.125
2000-05-12,7.0
2000-05-15,7.25
2000-05-16,7.25
2000-05-17,7.0625
2000-05-18,7.0
2000-05-19,6.9375
2000-05-22,7.125
2000-05-23,7.0
2000-05-24,7.25
2000-05-25,7.125
2000-05-26,6.4375
2000-05-30,6.125
2000-05-31,5.4375
2000-06-01,5.28125
2000-06-02,5.0625
2000-06-05,5.25
2000-06-06,5.6875
2000-06-07,5.75
2000-06-08,5.625
2000-06-09,5.5
2000-06-12,5.5
2000-06-13,5.4375
2000-06-14,5.5
2000-06-15,5.625
2000-06-16,5.5625
2000-06-19,5.625
2000-06-20,5.75
2000-06-21,5.5
2000-06-22,5.6875
2000-06-23,5.625
2000-06-26,5.5
2000-06-27,5.75
2000-06-28,5.8125
2000-06-29,5.90625
2000-06-30,5.125
2000-07-03,5.5
2000-07-05,5.5
2000-07-06,5.9375
2000-07-07,5.8125
2000-07-10,5.625
2000-07-11,5.5
2000-07-12,5.75
2000-07-13,5.71875
2000-07-14,5.625
2000-07-17,5.75
2000-07-18,5.625
2000-07-19,5.6875
2000-07-20,5.75
2000-07-21,5.75
2000-07-24,5.75
2000-07-25,5.75
2000-07-26,6.0
2000-07-27,5.9375
2000-07-28,5.9375
2000-07-31,5.96875
2000-08-01,5.75
2000-08-02,5.6875
2000-08-03,5.625
2000-08-04,5.625
2000-08-07,5.5625
2000-08-08,5.375
2000-08-09,5.3125
2000-08-10,5.3125
2000-08-11,5.25
2000-08-14,5.125
2000-08-15,5.25
2000-08-16,5.125
2000-08-17,5.09375
2000-08-18,4.6875
2000-08-21,4.5
2000-08-22,4.625
2000-08-23,5.0
2000-08-24,5.125
2000-08-25,5.0625
2000-08-28,5.0625
2000-08-29,5.1875
2000-08-30,5.25
2000-08-31,5.25
2000-09-01,5.6875
2000-09-05,5.84375
2000-09-06,5.59375
2000-09-07,5.5625
2000-09-08,5.625
2000-09-11,5.5625
2000-09-12,5.625
2000-09-13,5.75
2000-09-14,5.75
2000-09-15,5.75
