,BSJN
2015-10-14,25.34000015258789
2015-10-15,25.34000015258789
2015-10-16,25.34000015258789
2015-10-19,25.34000015258789
2015-10-20,25.34000015258789
2015-10-21,25.34000015258789
2015-10-22,25.34000015258789
2015-10-23,25.34000015258789
2015-10-26,25.34000015258789
2015-10-27,25.540000915527344
2015-10-28,25.670000076293945
2015-10-29,25.670000076293945
2015-10-30,25.670000076293945
2015-11-02,25.670000076293945
2015-11-03,25.670000076293945
2015-11-04,25.75
2015-11-05,25.690000534057617
2015-11-06,25.489999771118164
2015-11-09,25.399999618530273
2015-11-10,25.389999389648438
2015-11-11,25.389999389648438
2015-11-12,25.18000030517578
2015-11-13,25.09000015258789
2015-11-16,25.040000915527344
2015-11-17,25.040000915527344
2015-11-18,25.040000915527344
2015-11-19,25.0
2015-11-20,25.0
2015-11-23,25.010000228881836
2015-11-24,25.010000228881836
2015-11-25,25.010000228881836
2015-11-27,24.920000076293945
2015-11-30,25.1200008392334
2015-12-01,25.219999313354492
2015-12-02,25.09000015258789
2015-12-03,25.06999969482422
2015-12-04,25.059999465942383
2015-12-07,24.775999069213867
2015-12-08,24.760000228881836
2015-12-09,24.790000915527344
2015-12-10,24.729999542236328
2015-12-11,23.950000762939453
2015-12-14,24.1299991607666
2015-12-15,24.5
2015-12-16,24.420000076293945
2015-12-17,24.420000076293945
2015-12-18,24.34000015258789
2015-12-21,24.280000686645508
2015-12-22,24.55900001525879
2015-12-23,24.55900001525879
2015-12-24,24.55900001525879
2015-12-28,24.56999969482422
2015-12-29,24.56999969482422
2015-12-30,24.43000030517578
2015-12-31,24.149999618530273
2016-01-04,24.399999618530273
2016-01-05,24.399999618530273
2016-01-06,24.531999588012695
2016-01-07,24.489999771118164
2016-01-08,24.43000030517578
2016-01-11,24.48200035095215
2016-01-12,24.440000534057617
2016-01-13,24.145000457763672
2016-01-14,24.145000457763672
2016-01-15,23.799999237060547
2016-01-19,24.0
2016-01-20,24.0
2016-01-21,23.899999618530273
2016-01-22,24.339000701904297
2016-01-25,24.06999969482422
2016-01-26,24.299999237060547
2016-01-27,24.18000030517578
2016-01-28,24.450000762939453
2016-01-29,24.450000762939453
2016-02-01,24.253000259399414
2016-02-02,24.110000610351562
2016-02-03,24.350000381469727
2016-02-04,24.209999084472656
2016-02-05,24.209999084472656
2016-02-08,23.6200008392334
2016-02-09,23.850000381469727
2016-02-10,23.770000457763672
2016-02-11,23.663999557495117
2016-02-12,23.93000030517578
2016-02-16,23.860000610351562
2016-02-17,24.229999542236328
2016-02-18,24.270000457763672
2016-02-19,24.260000228881836
2016-02-22,24.260000228881836
2016-02-23,24.39900016784668
2016-02-24,24.209999084472656
