,CBMB
2018-09-28,12.800000190734863
2018-10-01,12.6899995803833
2018-10-02,12.630000114440918
2018-10-03,12.649999618530273
2018-10-04,12.579999923706055
2018-10-05,12.619999885559082
2018-10-08,12.609999656677246
2018-10-09,12.569999694824219
2018-10-10,12.609999656677246
2018-10-11,12.579999923706055
2018-10-12,12.579999923706055
2018-10-15,12.520000457763672
2018-10-16,12.5
2018-10-17,12.390000343322754
2018-10-18,12.430000305175781
2018-10-19,12.369999885559082
2018-10-22,12.390000343322754
2018-10-23,12.390000343322754
2018-10-24,12.300000190734863
2018-10-25,12.25
2018-10-26,12.119999885559082
2018-10-29,12.0600004196167
2018-10-30,12.199999809265137
2018-10-31,12.149999618530273
2018-11-01,12.25
2018-11-02,12.300000190734863
2018-11-05,12.350000381469727
2018-11-06,12.359999656677246
2018-11-07,12.449999809265137
2018-11-08,12.5
2018-11-09,12.649999618530273
2018-11-12,12.649999618530273
2018-11-13,12.600000381469727
2018-11-14,12.609999656677246
2018-11-15,12.649999618530273
2018-11-16,12.649999618530273
2018-11-19,12.649999618530273
2018-11-20,12.619999885559082
2018-11-21,12.84000015258789
2018-11-23,12.84000015258789
2018-11-26,12.84000015258789
2018-11-27,12.84000015258789
2018-11-28,12.850000381469727
2018-11-29,12.850000381469727
2018-11-30,12.729999542236328
2018-12-03,12.630000114440918
2018-12-04,12.630000114440918
2018-12-06,12.430000305175781
2018-12-07,12.510000228881836
2018-12-10,12.420000076293945
2018-12-11,12.510000228881836
2018-12-12,12.630000114440918
2018-12-13,12.529999732971191
2018-12-14,12.630000114440918
2018-12-17,12.729999542236328
2018-12-18,13.050000190734863
2018-12-19,12.380000114440918
2018-12-20,12.479999542236328
2018-12-21,12.220000267028809
2018-12-24,12.329999923706055
2018-12-26,12.350000381469727
2018-12-27,12.449999809265137
2018-12-28,12.550000190734863
2018-12-31,12.520000457763672
2019-01-02,12.75
2019-01-03,12.649999618530273
2019-01-04,12.649999618530273
2019-01-07,12.649999618530273
2019-01-08,12.5600004196167
2019-01-09,12.649999618530273
2019-01-10,12.649999618530273
2019-01-11,12.649999618530273
2019-01-14,12.649999618530273
2019-01-15,12.649999618530273
2019-01-16,12.630000114440918
2019-01-17,12.65999984741211
2019-01-18,12.75
2019-01-22,12.729999542236328
2019-01-23,12.84000015258789
2019-01-24,12.829999923706055
2019-01-25,12.829999923706055
2019-01-28,12.760000228881836
2019-01-29,12.760000228881836
2019-01-30,12.710000038146973
2019-01-31,12.699999809265137
2019-02-01,12.670000076293945
2019-02-04,12.699999809265137
2019-02-05,12.699999809265137
2019-02-06,12.710000038146973
2019-02-07,12.75
2019-02-08,12.760000228881836
2019-02-11,12.720000267028809
2019-02-12,12.729999542236328
2019-02-13,12.779999732971191
2019-02-14,12.720000267028809
2019-02-15,12.75
2019-02-19,13.0
2019-02-20,13.0
2019-02-21,12.880000114440918
2019-02-22,12.880000114440918
2019-02-25,13.0
2019-02-26,13.0
2019-02-27,13.0
2019-02-28,12.960000038146973
2019-03-01,12.949999809265137
2019-03-04,12.949999809265137
2019-03-05,13.020000457763672
2019-03-06,13.170000076293945
2019-03-07,13.130000114440918
2019-03-08,13.170000076293945
2019-03-11,13.220000267028809
2019-03-12,13.220000267028809
2019-03-13,13.180000305175781
2019-03-14,13.180000305175781
2019-03-15,13.100000381469727
2019-03-18,13.229999542236328
2019-03-19,13.199999809265137
2019-03-20,13.199999809265137
2019-03-21,13.069999694824219
2019-03-22,13.020000457763672
2019-03-25,12.989999771118164
2019-03-26,12.890000343322754
2019-03-27,12.890000343322754
2019-03-28,13.199999809265137
2019-03-29,12.949999809265137
2019-04-01,12.949999809265137
2019-04-02,13.100000381469727
2019-04-03,13.100000381469727
2019-04-04,13.100000381469727
2019-04-05,12.979999542236328
2019-04-08,13.109999656677246
2019-04-09,13.109999656677246
2019-04-10,13.0
2019-04-11,13.0
2019-04-12,13.050000190734863
2019-04-15,12.970000267028809
2019-04-16,12.970000267028809
2019-04-17,12.930000305175781
2019-04-18,12.930000305175781
2019-04-22,12.90999984741211
2019-04-23,12.979999542236328
2019-04-24,12.989999771118164
2019-04-25,12.989999771118164
2019-04-26,13.199999809265137
2019-04-29,13.119999885559082
2019-04-30,13.100000381469727
2019-05-01,13.100000381469727
2019-05-02,13.199999809265137
2019-05-03,13.239999771118164
2019-05-06,13.079999923706055
2019-05-07,13.199999809265137
2019-05-08,13.130000114440918
2019-05-09,13.130000114440918
2019-05-10,13.130000114440918
2019-05-13,13.130000114440918
