,DGNS
2020-11-16,10.0
2020-11-17,10.920000076293945
2020-11-18,10.859999656677246
2020-11-19,10.729999542236328
2020-11-20,10.829999923706055
2020-11-23,10.760000228881836
2020-11-24,10.850000381469727
2020-11-25,10.800000190734863
2020-11-27,10.920000076293945
2020-11-30,10.899999618530273
2020-12-01,11.350000381469727
2020-12-02,11.119999885559082
2020-12-03,11.1899995803833
2020-12-04,11.270000457763672
2020-12-07,11.399999618530273
2020-12-08,11.199999809265137
2020-12-09,11.329999923706055
2020-12-10,11.350000381469727
2020-12-11,11.4399995803833
2020-12-14,11.350000381469727
2020-12-15,11.130000114440918
2020-12-16,11.194999694824219
2020-12-17,11.199999809265137
2020-12-18,11.5600004196167
2020-12-21,11.6899995803833
2020-12-22,11.720000267028809
2020-12-23,11.489999771118164
2020-12-24,11.829999923706055
2020-12-28,12.5
2020-12-29,11.75
2020-12-30,12.0
2020-12-31,11.420000076293945
2021-01-04,11.5
2021-01-05,11.609999656677246
2021-01-06,11.75
2021-01-07,12.770000457763672
2021-01-08,12.609999656677246
2021-01-11,12.770000457763672
2021-01-12,13.220000267028809
2021-01-13,13.1899995803833
2021-01-14,13.289999961853027
2021-01-15,12.890000343322754
2021-01-19,12.729999542236328
2021-01-20,12.850000381469727
2021-01-21,12.779999732971191
2021-01-22,13.0
2021-01-25,12.75
2021-01-26,12.210000038146973
2021-01-27,11.949999809265137
2021-01-28,11.899999618530273
2021-01-29,12.350000381469727
2021-02-01,12.550000190734863
2021-02-02,12.59000015258789
2021-02-03,12.699999809265137
2021-02-04,12.899999618530273
2021-02-05,12.6899995803833
2021-02-08,13.0
2021-02-09,12.720000267028809
2021-02-10,12.550000190734863
2021-02-11,12.510000228881836
2021-02-12,12.5
2021-02-16,12.699999809265137
2021-02-17,12.649999618530273
2021-02-18,12.720000267028809
2021-02-19,12.869999885559082
2021-02-22,12.75
2021-02-23,11.979999542236328
2021-02-24,11.880000114440918
2021-02-25,11.770000457763672
2021-02-26,11.569999694824219
2021-03-01,11.710000038146973
2021-03-02,11.239999771118164
2021-03-03,10.789999961853027
2021-03-04,10.710000038146973
2021-03-05,10.979999542236328
2021-03-08,10.5
2021-03-09,10.9399995803833
2021-03-10,11.0
2021-03-11,11.319999694824219
2021-03-12,11.760000228881836
2021-03-15,11.710000038146973
2021-03-16,10.90999984741211
2021-03-17,10.850000381469727
2021-03-18,10.59000015258789
2021-03-19,10.539999961853027
2021-03-22,10.520000457763672
2021-03-23,10.369999885559082
2021-03-24,10.100000381469727
2021-03-25,10.100000381469727
2021-03-26,10.34000015258789
2021-03-29,10.260000228881836
2021-03-30,10.260000228881836
2021-03-31,10.279999732971191
2021-04-01,10.25
2021-04-05,10.270000457763672
2021-04-06,10.279999732971191
2021-04-07,10.420000076293945
2021-04-08,10.529999732971191
2021-04-09,10.449999809265137
2021-04-12,10.359999656677246
2021-04-13,10.369999885559082
2021-04-14,10.390000343322754
2021-04-15,10.289999961853027
2021-04-16,10.279999732971191
2021-04-19,10.25
2021-04-20,10.130000114440918
2021-04-21,10.15999984741211
2021-04-22,10.170000076293945
2021-04-23,10.170000076293945
2021-04-26,10.210000038146973
2021-04-27,10.3100004196167
2021-04-28,10.3100004196167
2021-04-29,10.369999885559082
2021-04-30,10.279999732971191
2021-05-03,10.149999618530273
2021-05-04,10.170000076293945
2021-05-05,10.149999618530273
2021-05-06,10.140000343322754
2021-05-07,10.130000114440918
2021-05-10,10.140000343322754
2021-05-11,10.119999885559082
2021-05-12,10.050000190734863
2021-05-13,10.0600004196167
2021-05-14,10.029999732971191
