,ESNT
2013-10-31,21.0
2013-11-01,22.530000686645508
2013-11-04,22.010000228881836
2013-11-05,22.729999542236328
2013-11-06,22.110000610351562
2013-11-07,21.309999465942383
2013-11-08,21.25
2013-11-11,20.56999969482422
2013-11-12,20.479999542236328
2013-11-13,20.8799991607666
2013-11-14,21.600000381469727
2013-11-15,21.190000534057617
2013-11-18,21.280000686645508
2013-11-19,21.09000015258789
2013-11-20,21.25
2013-11-21,21.809999465942383
2013-11-22,22.0
2013-11-25,21.399999618530273
2013-11-26,21.809999465942383
2013-11-27,21.809999465942383
2013-11-29,21.739999771118164
2013-12-02,21.829999923706055
2013-12-03,21.600000381469727
2013-12-04,22.139999389648438
2013-12-05,22.049999237060547
2013-12-06,22.34000015258789
2013-12-09,22.040000915527344
2013-12-10,21.799999237060547
2013-12-11,21.549999237060547
2013-12-12,21.530000686645508
2013-12-13,21.530000686645508
2013-12-16,21.469999313354492
2013-12-17,21.829999923706055
2013-12-18,22.329999923706055
2013-12-19,21.940000534057617
2013-12-20,23.09000015258789
2013-12-23,23.0
2013-12-24,23.100000381469727
2013-12-26,23.420000076293945
2013-12-27,23.610000610351562
2013-12-30,23.649999618530273
2013-12-31,24.059999465942383
2014-01-02,23.3700008392334
2014-01-03,24.010000228881836
2014-01-06,23.90999984741211
2014-01-07,23.770000457763672
2014-01-08,23.239999771118164
2014-01-09,23.100000381469727
2014-01-10,23.270000457763672
2014-01-13,23.260000228881836
2014-01-14,23.489999771118164
2014-01-15,24.6200008392334
2014-01-16,24.1299991607666
2014-01-17,24.84000015258789
2014-01-21,24.829999923706055
2014-01-22,25.18000030517578
2014-01-23,24.700000762939453
2014-01-24,24.190000534057617
2014-01-27,24.079999923706055
2014-01-28,24.75
2014-01-29,24.8700008392334
2014-01-30,24.899999618530273
2014-01-31,25.100000381469727
2014-02-03,24.770000457763672
2014-02-04,24.709999084472656
2014-02-05,24.399999618530273
2014-02-06,24.260000228881836
2014-02-07,24.350000381469727
2014-02-10,23.899999618530273
2014-02-11,23.989999771118164
2014-02-12,24.299999237060547
2014-02-13,24.56999969482422
2014-02-14,24.850000381469727
2014-02-18,25.8700008392334
2014-02-19,24.760000228881836
2014-02-20,25.25
2014-02-21,24.6299991607666
2014-02-24,24.510000228881836
2014-02-25,24.260000228881836
2014-02-26,23.770000457763672
2014-02-27,23.399999618530273
2014-02-28,23.200000762939453
2014-03-03,23.3700008392334
2014-03-04,23.790000915527344
2014-03-05,23.8700008392334
2014-03-06,23.790000915527344
2014-03-07,23.65999984741211
2014-03-10,23.479999542236328
2014-03-11,22.59000015258789
2014-03-12,23.219999313354492
2014-03-13,23.399999618530273
2014-03-14,23.3700008392334
2014-03-17,23.979999542236328
2014-03-18,24.0
2014-03-19,23.739999771118164
2014-03-20,24.010000228881836
2014-03-21,23.059999465942383
2014-03-24,23.079999923706055
2014-03-25,23.1299991607666
2014-03-26,22.920000076293945
2014-03-27,22.239999771118164
2014-03-28,22.18000030517578
2014-03-31,22.459999084472656
2014-04-01,22.290000915527344
2014-04-02,22.139999389648438
2014-04-03,21.68000030517578
2014-04-04,21.260000228881836
2014-04-07,21.149999618530273
2014-04-08,21.3700008392334
2014-04-09,21.84000015258789
2014-04-10,21.25
2014-04-11,20.920000076293945
2014-04-14,20.15999984741211
2014-04-15,20.34000015258789
2014-04-16,20.709999084472656
2014-04-17,20.770000457763672
2014-04-21,20.6299991607666
2014-04-22,20.68000030517578
2014-04-23,19.940000534057617
2014-04-24,19.90999984741211
2014-04-25,19.760000228881836
2014-04-28,19.5
2014-04-29,19.200000762939453
2014-04-30,18.850000381469727
2014-05-01,18.559999465942383
2014-05-02,19.1299991607666
2014-05-05,19.020000457763672
2014-05-06,19.0
2014-05-07,19.270000457763672
