,CMPI
2020-08-07,14.0
2020-08-10,13.0600004196167
2020-08-11,13.5
2020-08-12,13.75
2020-08-13,13.5
2020-08-14,13.890000343322754
2020-08-17,13.9399995803833
2020-08-18,15.050000190734863
2020-08-19,14.5
2020-08-20,14.949999809265137
2020-08-21,15.100000381469727
2020-08-24,15.5
2020-08-25,14.90999984741211
2020-08-26,15.5
2020-08-27,15.5
2020-08-28,15.279999732971191
2020-08-31,15.579999923706055
2020-09-01,15.0
2020-09-02,14.739999771118164
2020-09-03,14.800000190734863
2020-09-04,12.3100004196167
2020-09-08,10.710000038146973
2020-09-09,11.510000228881836
2020-09-10,11.6899995803833
2020-09-11,11.5
2020-09-14,11.529999732971191
2020-09-15,11.539999961853027
2020-09-16,11.5
2020-09-17,11.449999809265137
2020-09-18,10.670000076293945
2020-09-21,8.710000038146973
2020-09-22,9.84000015258789
2020-09-23,9.550000190734863
2020-09-24,10.119999885559082
2020-09-25,9.739999771118164
2020-09-28,10.569999694824219
2020-09-29,10.59000015258789
2020-09-30,11.510000228881836
2020-10-01,11.75
2020-10-02,11.789999961853027
2020-10-05,12.180000305175781
2020-10-06,12.359999656677246
2020-10-07,12.3100004196167
2020-10-08,11.569999694824219
2020-10-09,11.770000457763672
2020-10-12,12.359999656677246
2020-10-13,12.850000381469727
2020-10-14,12.130000114440918
2020-10-15,11.579999923706055
2020-10-16,11.9399995803833
2020-10-19,11.5
2020-10-20,11.920000076293945
2020-10-21,11.670000076293945
2020-10-22,11.670000076293945
2020-10-23,11.739999771118164
2020-10-26,11.850000381469727
2020-10-27,12.149999618530273
2020-10-28,12.100000381469727
2020-10-29,12.489999771118164
2020-10-30,11.489999771118164
2020-11-02,11.65999984741211
2020-11-03,12.380000114440918
2020-11-04,10.569999694824219
2020-11-05,10.890000343322754
2020-11-06,10.729999542236328
2020-11-09,12.479999542236328
2020-11-10,10.949999809265137
2020-11-11,11.359999656677246
2020-11-12,10.710000038146973
2020-11-13,10.699999809265137
2020-11-16,10.890000343322754
2020-11-17,11.029999732971191
2020-11-18,11.010000228881836
2020-11-19,11.260000228881836
2020-11-20,11.119999885559082
2020-11-23,10.960000038146973
2020-11-24,11.0
2020-11-25,11.75
2020-11-27,11.59000015258789
2020-11-30,12.130000114440918
2020-12-01,12.6899995803833
2020-12-02,12.65999984741211
2020-12-03,12.75
2020-12-04,13.0
2020-12-07,14.0600004196167
2020-12-08,15.899999618530273
2020-12-09,17.110000610351562
2020-12-10,17.6200008392334
2020-12-11,16.809999465942383
2020-12-14,15.350000381469727
2020-12-15,15.0
2020-12-16,14.619999885559082
2020-12-17,14.609999656677246
2020-12-18,16.5
2020-12-21,15.40999984741211
2020-12-22,14.989999771118164
2020-12-23,14.739999771118164
2020-12-24,14.609999656677246
2020-12-28,14.569999694824219
2020-12-29,14.319999694824219
2020-12-30,15.050000190734863
2020-12-31,14.59000015258789
2021-01-04,14.84000015258789
2021-01-05,15.869999885559082
2021-01-06,15.510000228881836
2021-01-07,15.199999809265137
2021-01-08,15.0600004196167
2021-01-11,14.510000228881836
2021-01-12,14.119999885559082
2021-01-13,13.640000343322754
2021-01-14,13.680000305175781
2021-01-15,13.239999771118164
2021-01-19,13.21500015258789
2021-01-20,14.300000190734863
2021-01-21,14.010000228881836
2021-01-22,14.899999618530273
2021-01-25,16.5
2021-01-26,16.270000457763672
2021-01-27,14.449999809265137
2021-01-28,14.239999771118164
2021-01-29,15.649999618530273
2021-02-01,16.100000381469727
2021-02-02,15.5
2021-02-03,14.329999923706055
2021-02-04,14.079999923706055
2021-02-05,14.180000305175781
2021-02-08,14.399999618530273
2021-02-09,14.770000457763672
2021-02-10,14.010000228881836
2021-02-11,14.130000114440918
2021-02-12,14.029999732971191
2021-02-16,14.8100004196167
2021-02-17,14.0
2021-02-18,13.84000015258789
2021-02-19,14.039999961853027
2021-02-22,14.8100004196167
2021-02-23,14.25
2021-02-24,14.199999809265137
2021-02-25,14.100000381469727
2021-02-26,13.300000190734863
2021-03-01,13.569999694824219
2021-03-02,14.649999618530273
2021-03-03,14.5600004196167
2021-03-04,13.5
2021-03-05,13.710000038146973
2021-03-08,14.300000190734863
2021-03-09,14.720000267028809
2021-03-10,14.670000076293945
2021-03-11,15.0
2021-03-12,15.0
2021-03-15,14.789999961853027
2021-03-16,14.800000190734863
2021-03-17,14.979999542236328
2021-03-18,14.890000343322754
2021-03-19,13.899999618530273
2021-03-22,13.970000267028809
2021-03-23,13.239999771118164
2021-03-24,12.850000381469727
2021-03-25,12.449999809265137
2021-03-26,12.25
2021-03-29,10.789999961853027
2021-03-30,10.380000114440918
2021-03-31,12.140000343322754
2021-04-01,11.600000381469727
2021-04-05,11.770000457763672
2021-04-06,11.75
2021-04-07,11.210000038146973
2021-04-08,10.479999542236328
2021-04-09,10.569999694824219
2021-04-12,8.300000190734863
2021-04-13,7.25
2021-04-14,7.400000095367432
2021-04-15,7.059999942779541
2021-04-16,6.670000076293945
2021-04-19,6.21999979019165
2021-04-20,6.119999885559082
2021-04-21,6.409999847412109
2021-04-22,6.739999771118164
2021-04-23,6.460000038146973
2021-04-26,6.289999961853027
2021-04-27,6.170000076293945
2021-04-28,6.440000057220459
2021-04-29,6.380000114440918
2021-04-30,7.239999771118164
2021-05-03,7.659999847412109
2021-05-04,7.340000152587891
2021-05-05,7.210000038146973
2021-05-06,7.230000019073486
2021-05-07,7.090000152587891
2021-05-10,6.480000019073486
2021-05-11,6.090000152587891
2021-05-12,6.070000171661377
2021-05-13,6.170000076293945
2021-05-14,6.739999771118164
