,SRE
1998-06-29,28.5625
1998-06-30,27.8125
1998-07-01,27.875
1998-07-02,27.6875
1998-07-06,27.1875
1998-07-07,27.0625
1998-07-08,27.25
1998-07-09,27.0
1998-07-10,27.0
1998-07-13,26.875
1998-07-14,27.0
1998-07-15,26.9375
1998-07-16,26.625
1998-07-17,26.5
1998-07-20,26.3125
1998-07-21,26.0
1998-07-22,26.0625
1998-07-23,26.3125
1998-07-24,26.125
1998-07-27,26.1875
1998-07-28,25.75
1998-07-29,25.5
1998-07-30,25.75
1998-07-31,25.1875
1998-08-03,24.875
1998-08-04,24.0625
1998-08-05,25.125
1998-08-06,24.75
1998-08-07,24.4375
1998-08-10,24.75
1998-08-11,24.1875
1998-08-12,25.125
1998-08-13,24.9375
1998-08-14,24.75
1998-08-17,25.25
1998-08-18,25.0
1998-08-19,24.875
1998-08-20,25.0625
1998-08-21,25.25
1998-08-24,25.375
1998-08-25,25.75
1998-08-26,25.625
1998-08-27,25.5625
1998-08-28,25.625
1998-08-31,25.4375
1998-09-01,25.3125
1998-09-02,25.0625
1998-09-03,25.0
1998-09-04,25.125
1998-09-08,25.3125
1998-09-09,25.25
1998-09-10,25.3125
1998-09-11,25.375
1998-09-14,25.75
1998-09-15,26.3125
1998-09-16,26.4375
1998-09-17,25.9375
1998-09-18,26.3125
1998-09-21,26.3125
1998-09-22,26.0625
1998-09-23,26.6875
1998-09-24,26.25
1998-09-25,26.375
1998-09-28,26.5
1998-09-29,26.75
1998-09-30,26.0625
1998-10-01,26.6875
1998-10-02,27.8125
1998-10-05,28.6875
1998-10-06,28.8125
1998-10-07,29.1875
1998-10-08,28.875
1998-10-09,28.0
1998-10-12,26.1875
1998-10-13,27.125
1998-10-14,27.6875
1998-10-15,27.125
1998-10-16,26.75
1998-10-19,26.5
1998-10-20,25.3125
1998-10-21,25.375
1998-10-22,26.0
1998-10-23,25.8125
1998-10-26,25.5625
1998-10-27,25.3125
1998-10-28,25.8125
1998-10-29,25.625
1998-10-30,26.0
1998-11-02,26.5625
1998-11-03,27.3125
1998-11-04,26.875
1998-11-05,26.625
1998-11-06,26.5625
1998-11-09,26.5625
1998-11-10,26.625
1998-11-11,26.3125
1998-11-12,26.5
1998-11-13,26.5
1998-11-16,26.3125
1998-11-17,26.4375
1998-11-18,26.0
1998-11-19,25.8125
1998-11-20,25.875
1998-11-23,26.0625
1998-11-24,26.125
1998-11-25,26.0
1998-11-27,25.625
1998-11-30,24.875
1998-12-01,25.25
1998-12-02,25.375
1998-12-03,25.25
1998-12-04,25.625
1998-12-07,25.8125
1998-12-08,25.8125
1998-12-09,25.875
1998-12-10,25.5625
1998-12-11,25.5
1998-12-14,25.25
1998-12-15,25.1875
1998-12-16,25.125
1998-12-17,24.625
1998-12-18,25.0
1998-12-21,25.4375
1998-12-22,25.25
1998-12-23,25.4375
1998-12-24,25.5
1998-12-28,25.1875
1998-12-29,25.4375
1998-12-30,25.3125
1998-12-31,25.375
1999-01-04,25.5625
1999-01-05,26.0
1999-01-06,25.6875
1999-01-07,25.6875
1999-01-08,25.3125
1999-01-11,24.75
1999-01-12,25.125
1999-01-13,25.125
1999-01-14,24.875
1999-01-15,24.75
1999-01-19,24.625
1999-01-20,24.125
1999-01-21,24.625
1999-01-22,24.4375
1999-01-25,24.5625
1999-01-26,24.375
1999-01-27,24.3125
1999-01-28,23.5
1999-01-29,23.0
1999-02-01,22.625
1999-02-02,22.25
1999-02-03,22.8125
1999-02-04,22.5625
1999-02-05,22.125
1999-02-08,22.625
1999-02-09,22.3125
1999-02-10,21.9375
1999-02-11,21.75
1999-02-12,21.625
1999-02-16,22.0625
1999-02-17,21.75
1999-02-18,22.125
1999-02-19,22.3125
1999-02-22,21.5625
1999-02-23,21.5625
1999-02-24,21.3125
1999-02-25,20.9375
1999-02-26,21.0
1999-03-01,21.125
1999-03-02,21.0625
1999-03-03,20.625
1999-03-04,21.1875
1999-03-05,21.5
1999-03-08,21.25
1999-03-09,20.75
1999-03-10,20.5
1999-03-11,20.5
1999-03-12,20.9375
1999-03-15,21.125
1999-03-16,21.4375
1999-03-17,20.875
1999-03-18,20.625
1999-03-19,20.375
1999-03-22,20.4375
1999-03-23,20.0
1999-03-24,20.4375
1999-03-25,19.9375
1999-03-26,20.0
1999-03-29,19.875
1999-03-30,19.25
1999-03-31,19.1875
1999-04-01,19.25
1999-04-05,19.25
1999-04-06,19.125
1999-04-07,18.5
1999-04-08,18.9375
1999-04-09,18.875
1999-04-12,19.0625
1999-04-13,19.0
1999-04-14,18.75
1999-04-15,19.0
1999-04-16,19.5
1999-04-19,19.6875
1999-04-20,20.25
1999-04-21,20.1875
1999-04-22,20.375
1999-04-23,20.375
1999-04-26,21.0
1999-04-27,21.25
1999-04-28,21.25
1999-04-29,21.125
1999-04-30,20.75
1999-05-03,20.875
1999-05-04,21.0
1999-05-05,20.8125
1999-05-06,20.625
1999-05-07,20.6875
1999-05-10,21.125
1999-05-11,21.4375
1999-05-12,21.5
1999-05-13,21.875
1999-05-14,21.625
1999-05-17,21.625
1999-05-18,21.4375
1999-05-19,21.5
1999-05-20,21.375
1999-05-21,21.625
1999-05-24,21.6875
1999-05-25,21.75
1999-05-26,22.0625
1999-05-27,21.875
1999-05-28,21.5
1999-06-01,21.875
1999-06-02,21.4375
1999-06-03,21.625
1999-06-04,22.0625
1999-06-07,22.25
1999-06-08,22.375
1999-06-09,22.25
1999-06-10,21.5625
1999-06-11,21.6875
1999-06-14,22.3125
1999-06-15,22.8125
1999-06-16,22.75
1999-06-17,22.375
1999-06-18,23.9375
1999-06-21,22.8125
1999-06-22,22.875
1999-06-23,22.5625
1999-06-24,22.4375
1999-06-25,22.5
1999-06-28,22.8125
1999-06-29,22.75
1999-06-30,22.625
1999-07-01,22.5625
1999-07-02,22.5625
1999-07-06,22.6875
1999-07-07,22.625
1999-07-08,22.5625
1999-07-09,23.0625
1999-07-12,23.0
1999-07-13,22.75
1999-07-14,22.6875
1999-07-15,23.0625
1999-07-16,23.125
1999-07-19,23.0625
1999-07-20,22.875
1999-07-21,23.125
1999-07-22,23.0625
1999-07-23,22.6875
1999-07-26,22.9375
1999-07-27,22.9375
1999-07-28,22.5
1999-07-29,22.125
1999-07-30,22.1875
1999-08-02,22.375
1999-08-03,22.4375
1999-08-04,22.25
1999-08-05,22.125
1999-08-06,22.25
1999-08-09,22.125
1999-08-10,21.75
1999-08-11,22.25
1999-08-12,22.1875
1999-08-13,21.875
1999-08-16,21.6875
1999-08-17,22.125
1999-08-18,21.9375
1999-08-19,22.0625
1999-08-20,22.25
1999-08-23,22.4375
1999-08-24,22.375
1999-08-25,22.875
1999-08-26,22.9375
1999-08-27,23.0
1999-08-30,22.5
1999-08-31,22.3125
1999-09-01,22.3125
1999-09-02,22.3125
1999-09-03,22.5625
1999-09-07,22.0625
1999-09-08,21.9375
1999-09-09,22.25
1999-09-10,22.375
1999-09-13,22.375
1999-09-14,22.125
1999-09-15,22.3125
1999-09-16,21.9375
1999-09-17,21.9375
1999-09-20,21.5
1999-09-21,21.0625
1999-09-22,21.0
1999-09-23,20.625
1999-09-24,20.5625
1999-09-27,20.5
1999-09-28,20.625
1999-09-29,20.4375
1999-09-30,20.8125
1999-10-01,21.1875
1999-10-04,21.375
1999-10-05,21.0625
1999-10-06,21.125
1999-10-07,20.6875
1999-10-08,20.875
1999-10-11,20.75
1999-10-12,20.4375
1999-10-13,20.5625
1999-10-14,20.8125
1999-10-15,20.625
1999-10-18,20.8125
1999-10-19,20.4375
1999-10-20,20.0625
1999-10-21,20.0625
1999-10-22,20.4375
1999-10-25,20.4375
1999-10-26,20.0625
1999-10-27,20.1875
1999-10-28,20.4375
1999-10-29,20.4375
1999-11-01,20.4375
1999-11-02,20.5
1999-11-03,20.125
1999-11-04,20.25
1999-11-05,20.125
1999-11-08,20.1875
1999-11-09,19.8125
1999-11-10,19.5
1999-11-11,19.6875
1999-11-12,19.6875
1999-11-15,19.6875
1999-11-16,19.9375
1999-11-17,19.5
1999-11-18,19.0625
1999-11-19,18.875
1999-11-22,18.375
1999-11-23,18.125
1999-11-24,18.0625
1999-11-26,17.875
1999-11-29,17.3125
1999-11-30,18.5
1999-12-01,18.1875
1999-12-02,18.25
1999-12-03,18.25
1999-12-06,18.5
1999-12-07,18.4375
1999-12-08,18.5625
1999-12-09,18.25
1999-12-10,18.0
1999-12-13,17.75
1999-12-14,17.875
1999-12-15,18.3125
1999-12-16,18.6875
1999-12-17,18.0
1999-12-20,17.625
1999-12-21,17.8125
1999-12-22,17.875
1999-12-23,18.125
1999-12-27,17.9375
1999-12-28,17.9375
1999-12-29,17.625
1999-12-30,17.4375
1999-12-31,17.375
2000-01-03,17.3125
2000-01-04,17.5
2000-01-05,17.875
2000-01-06,18.375
2000-01-07,18.0
2000-01-10,17.8125
2000-01-11,16.875
2000-01-12,17.625
2000-01-13,17.5
2000-01-14,17.4375
2000-01-18,17.3125
2000-01-19,17.25
2000-01-20,17.1875
2000-01-21,17.4375
2000-01-24,17.1875
2000-01-25,17.25
2000-01-26,18.625
2000-01-27,18.3125
2000-01-28,18.125
2000-01-31,18.5625
2000-02-01,18.6875
2000-02-02,18.75
2000-02-03,19.0
2000-02-04,19.0
2000-02-07,19.0625
2000-02-08,19.0625
2000-02-09,18.75
2000-02-10,18.75
2000-02-11,18.8125
2000-02-14,18.8125
2000-02-15,18.875
2000-02-16,18.9375
2000-02-17,18.75
2000-02-18,18.734375
2000-02-22,18.5625
2000-02-23,18.375
2000-02-24,18.25
2000-02-25,18.75
2000-02-28,18.125
2000-02-29,18.0
2000-03-01,18.0
2000-03-02,17.5625
2000-03-03,17.625
2000-03-06,17.375
2000-03-07,17.25
2000-03-08,17.0
2000-03-09,17.0625
2000-03-10,17.4375
2000-03-13,17.25
2000-03-14,17.0
2000-03-15,17.8125
2000-03-16,18.4375
2000-03-17,17.625
2000-03-20,17.375
2000-03-21,17.375
2000-03-22,17.0
2000-03-23,17.171875
2000-03-24,17.375
2000-03-27,17.4375
2000-03-28,17.125
2000-03-29,17.5
2000-03-30,17.3125
2000-03-31,16.75
2000-04-03,16.625
2000-04-04,16.625
2000-04-05,17.0
2000-04-06,17.0
2000-04-07,17.125
2000-04-10,17.3125
2000-04-11,17.6875
2000-04-12,18.3125
2000-04-13,18.6875
2000-04-14,18.4375
2000-04-17,18.875
2000-04-18,18.5625
2000-04-19,18.5625
2000-04-20,18.4375
2000-04-24,18.4375
2000-04-25,18.75
2000-04-26,18.875
2000-04-27,18.125
2000-04-28,18.5625
2000-05-01,18.125
2000-05-02,17.0
2000-05-03,18.125
2000-05-04,18.875
2000-05-05,18.9375
2000-05-08,18.5
2000-05-09,18.6875
2000-05-10,18.3125
2000-05-11,18.625
2000-05-12,18.1875
2000-05-15,18.9375
2000-05-16,18.3125
2000-05-17,18.4375
2000-05-18,18.375
2000-05-19,18.3125
2000-05-22,18.75
2000-05-23,18.8125
2000-05-24,19.0625
2000-05-25,18.5625
2000-05-26,18.8125
2000-05-30,18.8125
2000-05-31,18.9375
2000-06-01,19.125
2000-06-02,18.875
2000-06-05,18.375
2000-06-06,18.5625
2000-06-07,18.5625
2000-06-08,18.3125
2000-06-09,18.6875
2000-06-12,18.875
2000-06-13,19.0
2000-06-14,18.5625
2000-06-15,18.875
2000-06-16,18.96875
2000-06-19,18.8125
2000-06-20,18.5
2000-06-21,18.5
2000-06-22,18.1875
2000-06-23,18.3125
2000-06-26,18.1875
2000-06-27,17.5
2000-06-28,17.6875
2000-06-29,17.375
2000-06-30,17.0
2000-07-03,17.625
2000-07-05,17.375
2000-07-06,17.9375
2000-07-07,17.9375
2000-07-10,18.375
2000-07-11,18.5
2000-07-12,18.5625
2000-07-13,18.5
2000-07-14,18.8125
2000-07-17,18.75
2000-07-18,18.5
2000-07-19,18.1875
2000-07-20,18.3125
2000-07-21,18.125
2000-07-24,18.25
2000-07-25,18.4375
2000-07-26,17.828125
2000-07-27,18.25
2000-07-28,18.5625
2000-07-31,18.75
2000-08-01,19.0625
2000-08-02,18.6875
2000-08-03,19.265625
2000-08-04,19.3125
2000-08-07,19.328125
2000-08-08,19.375
2000-08-09,19.109375
2000-08-10,18.765625
2000-08-11,18.640625
2000-08-14,18.75
2000-08-15,19.25
2000-08-16,19.578125
2000-08-17,19.625
2000-08-18,19.5
2000-08-21,19.5
2000-08-22,19.375
2000-08-23,19.1875
2000-08-24,18.75
2000-08-25,18.6875
2000-08-28,18.9375
2000-08-29,18.5
2000-08-30,18.75
2000-08-31,19.515625
2000-09-01,19.578125
2000-09-05,19.5
2000-09-06,19.5625
2000-09-07,19.5
2000-09-08,19.71875
2000-09-11,20.265625
2000-09-12,20.0625
2000-09-13,20.0
2000-09-14,20.0
2000-09-15,20.140625
2000-09-18,20.046875
2000-09-19,19.5
2000-09-20,19.375
2000-09-21,18.9375
2000-09-22,18.875
2000-09-25,19.0
2000-09-26,19.75
2000-09-27,19.890625
2000-09-28,19.9375
2000-09-29,20.828125
2000-10-02,20.75
2000-10-03,20.4375
2000-10-04,20.1875
2000-10-05,19.8125
2000-10-06,20.25
2000-10-09,20.125
2000-10-10,19.875
2000-10-11,20.0
2000-10-12,20.0
2000-10-13,20.0625
2000-10-16,20.5625
2000-10-17,20.875
2000-10-18,20.1875
2000-10-19,20.375
2000-10-20,20.5
2000-10-23,20.125
2000-10-24,19.875
2000-10-25,19.5
2000-10-26,20.125
2000-10-27,20.1875
2000-10-30,20.5
2000-10-31,20.6875
2000-11-01,21.1875
2000-11-02,21.3125
2000-11-03,21.0
2000-11-06,21.5625
2000-11-07,21.4375
2000-11-08,21.5
2000-11-09,22.0
2000-11-10,22.125
2000-11-13,21.9375
2000-11-14,21.75
2000-11-15,22.0
2000-11-16,22.3125
2000-11-17,22.875
2000-11-20,23.4375
2000-11-21,24.125
2000-11-22,24.0
2000-11-24,23.8125
2000-11-27,24.3125
2000-11-28,24.4375
2000-11-29,24.5
2000-11-30,24.4375
2000-12-01,24.3125
2000-12-04,24.4375
2000-12-05,24.4375
2000-12-06,23.875
2000-12-07,24.1875
2000-12-08,22.9375
2000-12-11,20.9375
2000-12-12,22.25
2000-12-13,22.0625
2000-12-14,21.875
2000-12-15,22.125
2000-12-18,23.0625
2000-12-19,22.375
2000-12-20,22.625
2000-12-21,23.25
2000-12-22,22.6875
2000-12-26,23.0
2000-12-27,23.25
