,ALIM
2019-11-04,4.15500020980835
2019-11-05,4.380000114440918
2019-11-06,4.349999904632568
2019-11-07,4.125
2019-11-08,3.5999999046325684
2019-11-11,3.299999952316284
2019-11-12,3.450000047683716
2019-11-13,3.9000000953674316
2019-11-14,4.574999809265137
2019-11-15,4.75
2019-11-18,5.110000133514404
2019-11-19,5.139999866485596
2019-11-20,5.099999904632568
2019-11-21,4.760000228881836
2019-11-22,4.659999847412109
2019-11-25,4.869999885559082
2019-11-26,4.980000019073486
2019-11-27,5.579999923706055
2019-11-29,5.659999847412109
2019-12-02,6.829999923706055
2019-12-03,6.75
2019-12-04,7.170000076293945
2019-12-05,6.769999980926514
2019-12-06,7.519999980926514
2019-12-09,9.100000381469727
2019-12-10,9.350000381469727
2019-12-11,9.4399995803833
2019-12-12,8.40999984741211
2019-12-13,8.239999771118164
2019-12-16,7.400000095367432
2019-12-17,7.510000228881836
2019-12-18,7.300000190734863
2019-12-19,7.239999771118164
2019-12-20,7.289999961853027
2019-12-23,7.050000190734863
2019-12-24,7.03000020980835
2019-12-26,6.800000190734863
2019-12-27,6.75
2019-12-30,7.199999809265137
2019-12-31,7.579999923706055
2020-01-02,8.15999984741211
2020-01-03,7.590000152587891
2020-01-06,7.760000228881836
2020-01-07,6.677000045776367
2020-01-08,6.610000133514404
2020-01-09,6.559999942779541
2020-01-10,6.75
2020-01-13,6.690000057220459
2020-01-14,6.690000057220459
2020-01-15,7.079999923706055
2020-01-16,6.949999809265137
2020-01-17,7.050000190734863
2020-01-21,7.059999942779541
2020-01-22,7.360000133514404
2020-01-23,7.400000095367432
2020-01-24,7.539999961853027
2020-01-27,6.849999904632568
2020-01-28,7.130000114440918
2020-01-29,6.960000038146973
2020-01-30,6.804999828338623
2020-01-31,6.590000152587891
2020-02-03,6.650000095367432
2020-02-04,6.510000228881836
2020-02-05,6.949999809265137
2020-02-06,6.929999828338623
2020-02-07,6.929999828338623
2020-02-10,6.400000095367432
2020-02-11,6.630000114440918
