,BSMP
2019-09-26,25.040000915527344
2019-09-27,25.010000228881836
2019-09-30,25.010000228881836
2019-10-01,25.020000457763672
2019-10-02,25.05900001525879
2019-10-03,25.05900001525879
2019-10-04,25.05900001525879
2019-10-07,25.05900001525879
2019-10-08,25.05900001525879
2019-10-09,25.05900001525879
2019-10-10,25.05900001525879
2019-10-11,25.05900001525879
2019-10-14,25.05900001525879
2019-10-15,25.07200050354004
2019-10-16,25.07200050354004
2019-10-17,25.07200050354004
2019-10-18,25.07200050354004
2019-10-21,24.969999313354492
2019-10-22,24.969999313354492
2019-10-23,24.975000381469727
2019-10-24,24.959999084472656
2019-10-25,24.959999084472656
2019-10-28,24.950000762939453
2019-10-29,24.950000762939453
2019-10-30,24.959999084472656
2019-10-31,24.959999084472656
2019-11-01,25.040000915527344
2019-11-04,25.020000457763672
2019-11-05,24.969999313354492
2019-11-06,24.969999313354492
2019-11-07,24.940000534057617
2019-11-08,24.902000427246094
2019-11-11,24.902000427246094
2019-11-12,24.902000427246094
2019-11-13,24.944000244140625
2019-11-14,24.976999282836914
2019-11-15,24.979999542236328
2019-11-18,24.94499969482422
2019-11-19,24.950000762939453
2019-11-20,25.0
2019-11-21,24.975000381469727
2019-11-22,24.975000381469727
2019-11-25,24.975000381469727
2019-11-26,25.014999389648438
2019-11-27,25.024999618530273
2019-11-29,25.024999618530273
2019-12-02,25.024999618530273
2019-12-03,25.065000534057617
2019-12-04,25.040000915527344
2019-12-05,25.040000915527344
2019-12-06,25.03499984741211
2019-12-09,25.05500030517578
2019-12-10,25.05500030517578
2019-12-11,25.05500030517578
2019-12-12,25.09000015258789
2019-12-13,25.09000015258789
2019-12-16,25.070999145507812
2019-12-17,25.094999313354492
2019-12-18,25.079999923706055
2019-12-19,25.079999923706055
2019-12-20,25.070999145507812
2019-12-23,25.05500030517578
2019-12-24,25.069000244140625
2019-12-26,25.05500030517578
2019-12-27,25.06999969482422
2019-12-30,25.094999313354492
2019-12-31,25.094999313354492
2020-01-02,25.100000381469727
2020-01-03,25.184999465942383
2020-01-06,25.19499969482422
2020-01-07,25.225000381469727
2020-01-08,25.235000610351562
2020-01-09,25.2450008392334
2020-01-10,25.2450008392334
2020-01-13,25.2549991607666
2020-01-14,25.2549991607666
2020-01-15,25.325000762939453
2020-01-16,25.34000015258789
2020-01-17,25.334999084472656
2020-01-21,25.354999542236328
2020-01-22,25.350000381469727
2020-01-23,25.399999618530273
2020-01-24,25.420000076293945
2020-01-27,25.440000534057617
2020-01-28,25.440000534057617
2020-01-29,25.469999313354492
2020-01-30,25.475000381469727
2020-01-31,25.489999771118164
2020-02-03,25.469999313354492
2020-02-04,25.43000030517578
2020-02-05,25.420000076293945
2020-02-06,25.395000457763672
2020-02-07,25.459999084472656
2020-02-10,25.44499969482422
2020-02-11,25.450000762939453
2020-02-12,25.434999465942383
2020-02-13,25.43000030517578
2020-02-14,25.454999923706055
2020-02-18,25.469999313354492
2020-02-19,25.475000381469727
2020-02-20,25.510000228881836
2020-02-21,25.510000228881836
2020-02-24,25.6299991607666
2020-02-25,25.6299991607666
2020-02-26,25.625
2020-02-27,25.639999389648438
2020-02-28,25.615999221801758
2020-03-02,25.6200008392334
2020-03-03,25.663999557495117
2020-03-04,25.649999618530273
2020-03-05,25.65999984741211
2020-03-06,25.65999984741211
2020-03-09,25.867000579833984
2020-03-10,25.610000610351562
2020-03-11,25.469999313354492
2020-03-12,24.64299964904785
2020-03-13,24.64299964904785
2020-03-16,24.6299991607666
2020-03-17,24.535999298095703
2020-03-18,24.108999252319336
2020-03-19,23.625
2020-03-20,23.325000762939453
