,BSMS
2019-09-26,25.049999237060547
2019-09-27,25.049999237060547
2019-09-30,25.049999237060547
2019-10-01,25.049999237060547
2019-10-02,25.049999237060547
2019-10-03,25.049999237060547
2019-10-04,25.049999237060547
2019-10-07,25.049999237060547
2019-10-08,25.049999237060547
2019-10-09,25.049999237060547
2019-10-10,25.049999237060547
2019-10-11,25.049999237060547
2019-10-14,25.049999237060547
2019-10-15,25.049999237060547
2019-10-16,25.049999237060547
2019-10-17,25.049999237060547
2019-10-18,25.049999237060547
2019-10-21,25.049999237060547
2019-10-22,25.049999237060547
2019-10-23,25.049999237060547
2019-10-24,25.049999237060547
2019-10-25,25.049999237060547
2019-10-28,24.850000381469727
2019-10-29,24.850000381469727
2019-10-30,24.889999389648438
2019-10-31,24.989999771118164
2019-11-01,24.989999771118164
2019-11-04,24.989999771118164
2019-11-05,24.8799991607666
2019-11-06,24.889999389648438
2019-11-07,24.889999389648438
2019-11-08,24.739999771118164
2019-11-11,24.739999771118164
2019-11-12,24.75
2019-11-13,24.780000686645508
2019-11-14,24.780000686645508
2019-11-15,24.780000686645508
2019-11-18,24.80500030517578
2019-11-19,24.81999969482422
2019-11-20,24.895000457763672
2019-11-21,24.875
2019-11-22,24.875
2019-11-25,24.905000686645508
2019-11-26,24.934999465942383
2019-11-27,24.934999465942383
2019-11-29,24.934999465942383
2019-12-02,24.934999465942383
2019-12-03,25.0049991607666
2019-12-04,25.0049991607666
2019-12-05,25.0049991607666
2019-12-06,24.950000762939453
2019-12-09,24.985000610351562
2019-12-10,24.979999542236328
2019-12-11,24.979999542236328
2019-12-12,24.985000610351562
2019-12-13,24.985000610351562
2019-12-16,24.985000610351562
2019-12-17,25.020000457763672
2019-12-18,25.020000457763672
2019-12-19,25.020000457763672
2019-12-20,24.985000610351562
2019-12-23,24.94499969482422
2019-12-24,24.96500015258789
2019-12-26,24.96500015258789
2019-12-27,24.96500015258789
2019-12-30,24.989999771118164
2019-12-31,24.989999771118164
2020-01-02,25.0049991607666
2020-01-03,25.1299991607666
2020-01-06,25.149999618530273
2020-01-07,25.149999618530273
2020-01-08,25.198999404907227
2020-01-09,25.198999404907227
2020-01-10,25.21500015258789
2020-01-13,25.200000762939453
2020-01-14,25.2450008392334
2020-01-15,25.2450008392334
2020-01-16,25.329999923706055
2020-01-17,25.329999923706055
2020-01-21,25.329999923706055
2020-01-22,25.329999923706055
2020-01-23,25.329999923706055
2020-01-24,25.329999923706055
2020-01-27,25.329999923706055
2020-01-28,25.329999923706055
2020-01-29,25.329999923706055
2020-01-30,25.329999923706055
2020-01-31,25.559999465942383
2020-02-03,25.559999465942383
2020-02-04,25.5
2020-02-05,25.469999313354492
2020-02-06,25.450000762939453
2020-02-07,25.510000228881836
2020-02-10,25.510000228881836
2020-02-11,25.524999618530273
2020-02-12,25.514999389648438
2020-02-13,25.514999389648438
2020-02-14,25.514999389648438
2020-02-18,25.579999923706055
2020-02-19,25.610000610351562
2020-02-20,25.649999618530273
2020-02-21,25.783000946044922
2020-02-24,25.783000946044922
2020-02-25,25.783000946044922
2020-02-26,25.96500015258789
2020-02-27,25.96500015258789
2020-02-28,25.959999084472656
2020-03-02,25.959999084472656
2020-03-03,25.981000900268555
2020-03-04,25.981000900268555
2020-03-05,25.981000900268555
2020-03-06,25.981000900268555
2020-03-09,25.981000900268555
2020-03-10,25.981000900268555
2020-03-11,25.469999313354492
2020-03-12,24.191999435424805
2020-03-13,24.191999435424805
2020-03-16,24.23200035095215
2020-03-17,24.077999114990234
2020-03-18,23.850000381469727
2020-03-19,23.075000762939453
2020-03-20,23.075000762939453
2020-03-23,22.309999465942383
2020-03-24,22.649999618530273
2020-03-25,23.834999084472656
2020-03-26,23.834999084472656
2020-03-27,23.834999084472656
2020-03-30,24.958999633789062
2020-03-31,24.958999633789062
2020-04-01,23.96500015258789
2020-04-02,23.84000015258789
2020-04-03,23.84000015258789
2020-04-06,24.0
2020-04-07,24.0
2020-04-08,24.0
2020-04-09,24.635000228881836
2020-04-13,24.635000228881836
2020-04-14,24.635000228881836
2020-04-15,24.923999786376953
2020-04-16,24.899999618530273
2020-04-17,24.899999618530273
2020-04-20,24.959999084472656
2020-04-21,24.959999084472656
