,IHG
2003-04-10,12.118489265441895
2003-04-11,12.118489265441895
2003-04-14,12.118489265441895
2003-04-15,12.348322868347168
2003-04-16,11.491670608520508
2003-04-17,11.700610160827637
2003-04-21,11.387201309204102
2003-04-22,10.990216255187988
2003-04-23,11.742398262023926
2003-04-24,11.491670608520508
2003-04-25,11.909549713134766
2003-04-28,12.619943618774414
2003-04-29,12.118489265441895
2003-04-30,13.372125625610352
2003-05-01,13.267656326293945
2003-05-02,13.58106517791748
2003-05-05,12.912459373474121
2003-05-06,14.103413581848145
2003-05-07,14.625762939453125
2003-05-08,14.040732383728027
2003-05-09,14.563080787658691
2003-05-12,14.416823387145996
2003-05-13,14.124307632446289
2003-05-14,14.521292686462402
2003-05-15,15.252580642700195
2003-05-16,15.774930000305176
2003-05-19,15.043642044067383
2003-05-20,15.357050895690918
2003-05-21,15.043642044067383
2003-05-22,14.93917179107666
2003-05-23,14.792914390563965
2003-05-27,15.127218246459961
2003-05-28,15.377944946289062
2003-05-29,15.46152114868164
2003-05-30,15.148112297058105
2003-06-02,15.148112297058105
2003-06-03,14.792914390563965
2003-06-04,15.127218246459961
2003-06-05,14.77202033996582
2003-06-06,15.398838996887207
2003-06-09,15.921188354492188
2003-06-10,15.774930000305176
2003-06-11,16.297279357910156
2003-06-12,15.670459747314453
2003-06-13,15.858506202697754
2003-06-16,15.628671646118164
2003-06-17,15.921188354492188
2003-06-18,16.297279357910156
2003-06-19,16.151020050048828
2003-06-20,15.565990447998047
2003-06-23,15.628671646118164
2003-06-24,15.148112297058105
2003-06-25,15.419733047485352
2003-06-26,14.855595588684082
2003-06-27,15.210792541503906
2003-06-30,15.252580642700195
2003-07-01,15.440627098083496
2003-07-02,16.130126953125
2003-07-03,16.192808151245117
2003-07-07,16.297279357910156
2003-07-08,16.276384353637695
2003-07-09,16.46442985534668
2003-07-10,16.401748657226562
2003-07-11,16.192808151245117
2003-07-14,16.50621795654297
2003-07-15,16.297279357910156
2003-07-16,16.025657653808594
2003-07-17,15.670459747314453
2003-07-18,16.08833885192871
2003-07-21,16.067445755004883
2003-07-22,15.628671646118164
2003-07-23,15.879400253295898
2003-07-24,16.631582260131836
2003-07-25,16.548006057739258
2003-07-28,16.297279357910156
2003-07-29,16.401748657226562
2003-07-30,15.440627098083496
2003-07-31,15.357050895690918
2003-08-01,15.545096397399902
2003-08-04,14.897383689880371
2003-08-05,15.712247848510742
2003-08-06,16.339065551757812
2003-08-07,16.50621795654297
2003-08-08,16.48532485961914
2003-08-11,16.924097061157227
2003-08-12,17.13303565979004
2003-08-13,17.13303565979004
2003-08-14,17.321081161499023
2003-08-15,17.279293060302734
2003-08-18,17.028566360473633
2003-08-19,17.362869262695312
2003-08-20,17.341976165771484
2003-08-21,17.279293060302734
2003-08-22,17.237506866455078
2003-08-25,17.007673263549805
2003-08-26,16.715158462524414
2003-08-27,16.86141586303711
2003-08-28,16.50621795654297
2003-08-29,16.44353675842285
2003-09-02,16.44353675842285
2003-09-03,16.025657653808594
2003-09-04,16.297279357910156
2003-09-05,16.46442985534668
2003-09-08,16.297279357910156
2003-09-09,16.08833885192871
2003-09-10,15.962974548339844
2003-09-11,16.548006057739258
2003-09-12,16.610687255859375
2003-09-15,16.401748657226562
2003-09-16,16.50621795654297
2003-09-17,16.81962776184082
2003-09-18,17.321081161499023
2003-09-19,17.655384063720703
2003-09-22,17.425552368164062
2003-09-23,17.341976165771484
2003-09-24,17.634490966796875
2003-09-25,17.613597869873047
2003-09-26,17.1539306640625
2003-09-29,17.80164337158203
2003-09-30,17.028566360473633
2003-10-01,17.50912857055664
2003-10-02,17.44644546508789
2003-10-03,18.031475067138672
2003-10-06,18.094158172607422
2003-10-07,17.19571876525879
2003-10-08,17.550914764404297
2003-10-09,17.655384063720703
2003-10-10,17.174823760986328
2003-10-13,17.927005767822266
2003-10-14,17.237506866455078
2003-10-15,18.303096771240234
2003-10-16,18.07326316833496
2003-10-17,18.386672973632812
2003-10-20,18.282203674316406
2003-10-21,18.679189682006836
2003-10-22,18.49114227294922
2003-10-23,18.365779876708984
2003-10-24,18.052370071411133
2003-10-27,17.947900772094727
2003-10-28,18.4284610748291
2003-10-29,18.80455207824707
2003-10-30,18.971704483032227
2003-10-31,19.264219284057617
2003-11-03,19.410476684570312
2003-11-04,19.953718185424805
2003-11-05,19.577627182006836
2003-11-06,19.306007385253906
2003-11-07,19.201536178588867
2003-11-10,19.243324279785156
2003-11-11,19.034385681152344
2003-11-12,18.88812828063965
2003-11-13,19.222431182861328
2003-11-14,19.347795486450195
2003-11-17,19.117961883544922
2003-11-18,19.264219284057617
2003-11-19,19.51494598388672
2003-11-20,18.867233276367188
2003-11-21,18.78365707397461
2003-11-24,19.326900482177734
2003-11-25,19.84925079345703
2003-11-26,19.619415283203125
2003-11-28,19.577627182006836
2003-12-01,19.431371688842773
2003-12-02,19.807462692260742
2003-12-03,19.78656768798828
2003-12-04,19.556734085083008
2003-12-05,20.267127990722656
2003-12-08,20.45517349243164
2003-12-09,20.41338539123535
2003-12-10,20.20444679260254
2003-12-11,20.058189392089844
2003-12-12,20.51785659790039
2003-12-15,20.267127990722656
2003-12-16,20.371597290039062
2003-12-17,19.84925079345703
2003-12-18,20.16265869140625
2003-12-19,19.974613189697266
2003-12-22,19.932825088500977
2003-12-23,20.058189392089844
2003-12-24,20.288021087646484
2003-12-26,20.41338539123535
2003-12-29,20.267127990722656
2003-12-30,20.41338539123535
2003-12-31,19.995506286621094
2004-01-02,20.350704193115234
2004-01-05,20.45517349243164
2004-01-06,20.83126449584961
2004-01-07,21.019311904907227
2004-01-08,21.687917709350586
2004-01-09,21.625234603881836
2004-01-12,22.356523513793945
2004-01-13,22.126689910888672
2004-01-14,22.565462112426758
2004-01-15,22.231159210205078
2004-01-16,21.875961303710938
2004-01-20,21.750598907470703
2004-01-21,21.625234603881836
2004-01-22,21.311826705932617
2004-01-23,21.416296005249023
2004-01-26,21.102886199951172
2004-01-27,21.040205001831055
2004-01-28,20.41338539123535
2004-01-29,20.622325897216797
2004-01-30,21.061098098754883
2004-02-02,20.308916091918945
2004-02-03,20.85215950012207
2004-02-04,20.85215950012207
2004-02-05,21.102886199951172
2004-02-06,21.52076530456543
2004-02-09,21.16556739807129
2004-02-10,21.45808219909668
2004-02-11,21.667022705078125
2004-02-12,21.667022705078125
2004-02-13,21.792387008666992
2004-02-17,21.729705810546875
2004-02-18,21.47897720336914
2004-02-19,21.687917709350586
2004-02-20,21.625234603881836
2004-02-23,21.22825050354004
2004-02-24,21.625234603881836
