,CIZ
2014-10-01,34.65999984741211
2014-10-02,34.65999984741211
2014-10-03,34.65999984741211
2014-10-06,34.65999984741211
2014-10-07,34.400001525878906
2014-10-08,34.459999084472656
2014-10-09,34.060001373291016
2014-10-10,33.59000015258789
2014-10-13,34.31999969482422
2014-10-14,33.38999938964844
2014-10-15,33.051998138427734
2014-10-16,32.939998626708984
2014-10-17,32.939998626708984
2014-10-20,33.61000061035156
2014-10-21,33.61000061035156
2014-10-22,33.7599983215332
2014-10-23,34.099998474121094
2014-10-24,34.34000015258789
2014-10-27,34.13199996948242
2014-10-28,34.47999954223633
2014-10-29,34.45199966430664
2014-10-30,34.619998931884766
2014-10-31,35.130001068115234
2014-11-03,34.88999938964844
2014-11-04,34.650001525878906
2014-11-05,34.7599983215332
2014-11-06,34.59400177001953
2014-11-07,34.59400177001953
2014-11-10,34.84400177001953
2014-11-11,34.959999084472656
2014-11-12,34.82099914550781
2014-11-13,34.900001525878906
2014-11-14,35.06999969482422
2014-11-17,34.90999984741211
2014-11-18,35.16999816894531
2014-11-19,35.08000183105469
2014-11-20,35.0099983215332
2014-11-21,35.13399887084961
2014-11-24,35.29999923706055
2014-11-25,35.48899841308594
2014-11-26,35.56999969482422
2014-11-28,35.56999969482422
2014-12-01,35.15999984741211
2014-12-02,35.209999084472656
2014-12-03,35.189998626708984
2014-12-04,35.099998474121094
2014-12-05,35.130001068115234
2014-12-08,34.90999984741211
2014-12-09,34.650001525878906
2014-12-10,34.198001861572266
2014-12-11,34.22999954223633
2014-12-12,33.70000076293945
2014-12-15,34.02000045776367
2014-12-16,33.709999084472656
2014-12-17,33.849998474121094
2014-12-18,34.349998474121094
2014-12-19,34.349998474121094
2014-12-22,34.689998626708984
2014-12-23,34.810001373291016
2014-12-24,34.630001068115234
2014-12-26,34.70000076293945
2014-12-29,34.38999938964844
2014-12-30,34.40999984741211
2014-12-31,34.25
2015-01-02,34.619998931884766
2015-01-05,33.47999954223633
2015-01-06,33.08000183105469
2015-01-07,33.34000015258789
2015-01-08,33.48099899291992
2015-01-09,33.529998779296875
2015-01-12,33.191001892089844
2015-01-13,33.779998779296875
2015-01-14,33.45399856567383
2015-01-15,33.590999603271484
2015-01-16,33.880001068115234
2015-01-20,34.09000015258789
2015-01-21,34.209999084472656
2015-01-22,34.32899856567383
2015-01-23,34.13800048828125
2015-01-26,34.5
2015-01-27,34.5
2015-01-28,34.470001220703125
2015-01-29,34.58000183105469
2015-01-30,34.33000183105469
2015-02-02,34.599998474121094
2015-02-03,34.79999923706055
2015-02-04,34.790000915527344
2015-02-05,35.11000061035156
2015-02-06,34.617000579833984
2015-02-09,34.52000045776367
2015-02-10,34.779998779296875
2015-02-11,34.62200164794922
2015-02-12,35.16999816894531
2015-02-13,35.29999923706055
2015-02-17,35.290000915527344
2015-02-18,35.599998474121094
2015-02-19,35.59000015258789
2015-02-20,35.88999938964844
2015-02-23,35.73899841308594
2015-02-24,35.874000549316406
2015-02-25,36.18000030517578
2015-02-26,35.736000061035156
2015-02-27,35.900001525878906
2015-03-02,36.029998779296875
2015-03-03,35.79999923706055
2015-03-04,35.599998474121094
2015-03-05,35.65999984741211
2015-03-06,35.13999938964844
2015-03-09,35.189998626708984
2015-03-10,34.53799819946289
2015-03-11,34.667999267578125
2015-03-12,34.95800018310547
2015-03-13,34.81999969482422
2015-03-16,35.099998474121094
2015-03-17,34.83000183105469
2015-03-18,35.63800048828125
2015-03-19,35.20000076293945
2015-03-20,35.90999984741211
2015-03-23,36.13999938964844
2015-03-24,36.099998474121094
2015-03-25,35.810001373291016
2015-03-26,35.680999755859375
2015-03-27,35.7599983215332
2015-03-30,35.77000045776367
2015-03-31,35.34000015258789
2015-04-01,35.40999984741211
2015-04-02,35.869998931884766
2015-04-06,36.31999969482422
2015-04-07,36.27000045776367
2015-04-08,36.32500076293945
2015-04-09,36.560001373291016
2015-04-10,36.560001373291016
2015-04-13,36.36399841308594
2015-04-14,36.52000045776367
2015-04-15,36.7599983215332
2015-04-16,36.86000061035156
2015-04-17,36.529998779296875
2015-04-20,36.59700012207031
2015-04-21,36.970001220703125
2015-04-22,37.04999923706055
2015-04-23,37.20000076293945
