,ADI
1980-03-17,0.7279999852180481
1980-03-18,0.7200000286102295
1980-03-19,0.7200000286102295
1980-03-20,0.7200000286102295
1980-03-21,0.6880000233650208
1980-03-24,0.6399999856948853
1980-03-25,0.6159999966621399
1980-03-26,0.6399999856948853
1980-03-27,0.6039999723434448
1980-03-28,0.6399999856948853
1980-03-31,0.6399999856948853
1980-04-01,0.6399999856948853
1980-04-02,0.656000018119812
1980-04-03,0.6480000019073486
1980-04-07,0.6200000047683716
1980-04-08,0.6320000290870667
1980-04-09,0.6399999856948853
1980-04-10,0.656000018119812
1980-04-11,0.6520000100135803
1980-04-14,0.6320000290870667
1980-04-15,0.6240000128746033
1980-04-16,0.6299999952316284
1980-04-17,0.6200000047683716
1980-04-18,0.6050000190734863
1980-04-21,0.6050000190734863
1980-04-22,0.6449999809265137
1980-04-23,0.6549999713897705
1980-04-24,0.6449999809265137
1980-04-25,0.6499999761581421
1980-04-28,0.6600000262260437
1980-04-29,0.6549999713897705
1980-04-30,0.6600000262260437
1980-05-01,0.6499999761581421
1980-05-02,0.6449999809265137
1980-05-05,0.6499999761581421
1980-05-06,0.6399999856948853
1980-05-07,0.6399999856948853
1980-05-08,0.6349999904632568
1980-05-09,0.625
1980-05-12,0.6499999761581421
1980-05-13,0.6600000262260437
1980-05-14,0.6800000071525574
1980-05-15,0.6800000071525574
1980-05-16,0.6899999976158142
1980-05-19,0.7149999737739563
1980-05-20,0.7799999713897705
1980-05-21,0.7649999856948853
1980-05-22,0.75
1980-05-23,0.7599999904632568
1980-05-27,0.7699999809265137
1980-05-28,0.7799999713897705
1980-05-29,0.7799999713897705
1980-05-30,0.7799999713897705
1980-06-02,0.7699999809265137
1980-06-03,0.7749999761581421
1980-06-04,0.7699999809265137
1980-06-05,0.8050000071525574
1980-06-06,0.8299999833106995
1980-06-09,0.8349999785423279
1980-06-10,0.824999988079071
1980-06-11,0.8399999737739563
1980-06-12,0.8299999833106995
1980-06-13,0.8550000190734863
1980-06-16,0.8500000238418579
1980-06-17,0.8399999737739563
1980-06-18,0.8450000286102295
1980-06-19,0.8299999833106995
1980-06-20,0.8100000023841858
1980-06-23,0.8450000286102295
1980-06-24,0.8500000238418579
1980-06-25,0.8500000238418579
1980-06-26,0.8700000047683716
1980-06-27,0.875
1980-06-30,0.8799999952316284
1980-07-01,0.8500000238418579
1980-07-02,0.8600000143051147
1980-07-03,0.8799999952316284
1980-07-07,0.8899999856948853
1980-07-08,0.8999999761581421
1980-07-09,0.8799999952316284
1980-07-10,0.8600000143051147
