,CSGS
1996-02-28,11.5
1996-02-29,11.0
1996-03-01,10.8125
1996-03-04,10.375
1996-03-05,10.9375
1996-03-06,11.0625
1996-03-07,11.25
1996-03-08,10.625
1996-03-11,10.75
1996-03-12,11.625
1996-03-13,11.625
1996-03-14,11.625
1996-03-15,12.375
1996-03-18,12.625
1996-03-19,12.1875
1996-03-20,12.375
1996-03-21,12.25
1996-03-22,12.125
1996-03-25,12.15625
1996-03-26,11.375
1996-03-27,11.25
1996-03-28,11.5625
1996-03-29,11.5
1996-04-01,11.625
1996-04-02,11.75
1996-04-03,11.75
1996-04-04,11.75
1996-04-08,11.625
1996-04-09,11.875
1996-04-10,12.5625
1996-04-11,12.625
1996-04-12,12.625
1996-04-15,13.0
1996-04-16,13.375
1996-04-17,13.875
1996-04-18,14.125
1996-04-19,14.25
1996-04-22,14.0
1996-04-23,14.375
1996-04-24,14.5
1996-04-25,14.75
1996-04-26,14.5
1996-04-29,14.9375
1996-04-30,16.0
1996-05-01,16.125
1996-05-02,16.375
1996-05-03,16.5
1996-05-06,16.25
1996-05-07,15.75
1996-05-08,16.25
1996-05-09,16.25
1996-05-10,17.125
1996-05-13,17.125
1996-05-14,18.25
1996-05-15,18.03125
1996-05-16,17.25
1996-05-17,17.0
1996-05-20,17.0
1996-05-21,18.5
1996-05-22,18.125
1996-05-23,18.0
1996-05-24,18.03125
1996-05-28,17.25
1996-05-29,16.25
1996-05-30,15.625
1996-05-31,15.875
1996-06-03,14.9375
1996-06-04,14.25
1996-06-05,14.25
1996-06-06,14.875
1996-06-07,14.5
1996-06-10,15.125
1996-06-11,15.5
1996-06-12,14.25
1996-06-13,12.5
1996-06-14,13.0625
1996-06-17,13.25
1996-06-18,12.1875
1996-06-19,12.125
1996-06-20,11.6875
1996-06-21,11.625
1996-06-24,11.625
1996-06-25,12.375
1996-06-26,12.125
1996-06-27,12.3125
1996-06-28,13.0
1996-07-01,13.0
1996-07-02,12.625
1996-07-03,12.625
1996-07-05,13.0
1996-07-08,12.75
1996-07-09,12.5
1996-07-10,12.375
1996-07-11,12.625
1996-07-12,12.25
1996-07-15,11.25
1996-07-16,11.0625
1996-07-17,11.0625
1996-07-18,11.1875
1996-07-19,11.25
1996-07-22,11.0
1996-07-23,10.625
1996-07-24,9.875
1996-07-25,10.125
1996-07-26,10.25
1996-07-29,10.625
1996-07-30,10.375
1996-07-31,10.375
1996-08-01,12.0
1996-08-02,12.4375
1996-08-05,12.375
1996-08-06,12.5625
1996-08-07,12.25
1996-08-08,12.25
1996-08-09,12.25
1996-08-12,11.875
1996-08-13,11.875
1996-08-14,12.125
1996-08-15,11.875
1996-08-16,12.0
1996-08-19,11.125
1996-08-20,10.90625
1996-08-21,10.75
1996-08-22,11.25
1996-08-23,11.25
1996-08-26,11.0625
1996-08-27,11.25
1996-08-28,11.25
1996-08-29,10.75
1996-08-30,10.75
1996-09-03,10.75
1996-09-04,11.1875
1996-09-05,11.1875
1996-09-06,11.0
1996-09-09,11.0625
1996-09-10,11.1875
1996-09-11,11.3125
1996-09-12,10.9375
1996-09-13,11.0625
1996-09-16,11.0
1996-09-17,11.4375
1996-09-18,10.75
1996-09-19,10.875
1996-09-20,10.875
1996-09-23,10.75
1996-09-24,10.75
1996-09-25,10.375
1996-09-26,10.375
1996-09-27,10.25
1996-09-30,10.125
1996-10-01,10.125
1996-10-02,9.625
1996-10-03,9.5
1996-10-04,9.625
1996-10-07,9.125
1996-10-08,9.125
1996-10-09,9.5
1996-10-10,9.75
1996-10-11,9.625
1996-10-14,9.9375
1996-10-15,10.6875
1996-10-16,10.25
1996-10-17,9.8125
1996-10-18,9.625
1996-10-21,9.625
1996-10-22,9.1875
1996-10-23,9.1875
1996-10-24,9.25
1996-10-25,9.25
1996-10-28,9.25
1996-10-29,8.875
1996-10-30,8.625
1996-10-31,8.375
1996-11-01,8.375
1996-11-04,8.5
1996-11-05,8.375
1996-11-06,8.625
1996-11-07,8.375
1996-11-08,9.25
1996-11-11,9.625
1996-11-12,9.125
1996-11-13,9.5
1996-11-14,9.1875
1996-11-15,8.625
1996-11-18,8.5
1996-11-19,8.5
1996-11-20,8.4375
1996-11-21,8.4375
1996-11-22,8.375
1996-11-25,8.5625
1996-11-26,8.75
1996-11-27,8.5
1996-11-29,8.875
1996-12-02,8.625
1996-12-03,8.625
1996-12-04,8.5
1996-12-05,8.5625
1996-12-06,8.1875
1996-12-09,8.0
1996-12-10,8.25
1996-12-11,8.0625
1996-12-12,7.875
1996-12-13,8.125
1996-12-16,7.8125
1996-12-17,7.75
1996-12-18,7.625
1996-12-19,7.5
1996-12-20,7.625
1996-12-23,7.5
1996-12-24,7.5
1996-12-26,7.25
1996-12-27,7.5625
1996-12-30,7.75
1996-12-31,7.6875
1997-01-02,8.0
1997-01-03,8.375
1997-01-06,8.125
1997-01-07,8.25
1997-01-08,8.125
1997-01-09,8.625
1997-01-10,8.75
1997-01-13,8.875
