,CLPS
2018-05-25,5.400000095367432
2018-05-29,5.039999961853027
2018-05-30,5.0
2018-05-31,5.139999866485596
2018-06-01,5.25
2018-06-04,5.099999904632568
2018-06-05,4.949999809265137
2018-06-06,5.099999904632568
2018-06-07,4.920000076293945
2018-06-08,5.199999809265137
2018-06-11,5.150000095367432
2018-06-12,5.039999961853027
2018-06-13,5.0879998207092285
2018-06-14,6.099999904632568
2018-06-15,8.899999618530273
2018-06-18,10.800000190734863
2018-06-19,10.760000228881836
2018-06-20,16.799999237060547
2018-06-21,13.109999656677246
2018-06-22,13.319999694824219
2018-06-25,11.670000076293945
2018-06-26,13.520000457763672
2018-06-27,13.149999618530273
2018-06-28,13.430000305175781
2018-06-29,12.949999809265137
2018-07-02,13.020000457763672
2018-07-03,12.680000305175781
2018-07-05,11.020000457763672
2018-07-06,10.859999656677246
2018-07-09,11.050000190734863
2018-07-10,13.244999885559082
2018-07-11,12.510000228881836
2018-07-12,12.220000267028809
2018-07-13,14.289999961853027
2018-07-16,13.75
2018-07-17,14.489999771118164
2018-07-18,14.210000038146973
2018-07-19,14.630000114440918
2018-07-20,14.319999694824219
2018-07-23,14.5
2018-07-24,14.234999656677246
2018-07-25,14.920000076293945
2018-07-26,15.039999961853027
2018-07-27,14.949999809265137
2018-07-30,15.199999809265137
2018-07-31,15.430000305175781
2018-08-01,15.039999961853027
2018-08-02,14.079999923706055
2018-08-03,12.390000343322754
2018-08-06,12.760000228881836
2018-08-07,14.199999809265137
2018-08-08,14.09000015258789
2018-08-09,14.050000190734863
2018-08-10,14.170000076293945
2018-08-13,14.204999923706055
2018-08-14,13.920000076293945
2018-08-15,13.199999809265137
2018-08-16,13.40999984741211
2018-08-17,12.8100004196167
2018-08-20,13.649999618530273
2018-08-21,13.4350004196167
2018-08-22,13.930000305175781
2018-08-23,13.84000015258789
2018-08-24,13.819999694824219
2018-08-27,14.0600004196167
2018-08-28,13.90999984741211
2018-08-29,14.0
2018-08-30,14.039999961853027
2018-08-31,13.84000015258789
2018-09-04,14.369999885559082
2018-09-05,14.550000190734863
2018-09-06,14.199999809265137
2018-09-07,14.010000228881836
2018-09-10,14.020000457763672
2018-09-11,13.399999618530273
2018-09-12,13.600000381469727
2018-09-13,13.359999656677246
2018-09-14,13.449999809265137
2018-09-17,13.6899995803833
2018-09-18,13.199999809265137
2018-09-19,13.699999809265137
2018-09-20,13.180000305175781
2018-09-21,13.229999542236328
2018-09-24,13.130000114440918
2018-09-25,12.9399995803833
2018-09-26,12.64900016784668
2018-09-27,12.3100004196167
2018-09-28,10.850000381469727
