,FFBW
2017-10-11,9.837883949279785
2017-10-12,9.94027328491211
2017-10-13,9.897610664367676
2017-10-16,9.854948997497559
2017-10-17,9.650171279907227
2017-10-18,9.513651847839355
2017-10-19,9.470990180969238
2017-10-20,9.39846420288086
2017-10-23,9.598976135253906
2017-10-24,9.552047729492188
2017-10-25,9.412116050720215
2017-10-26,9.436860084533691
2017-10-27,9.513651847839355
2017-10-30,9.569966316223145
2017-10-31,9.67576789855957
2017-11-01,9.697098731994629
2017-11-02,9.641637802124023
2017-11-03,9.573378562927246
2017-11-06,9.539249420166016
2017-11-07,9.547781944274902
2017-11-08,9.556314468383789
2017-11-09,9.598976135253906
2017-11-10,9.512799263000488
2017-11-13,9.436860084533691
2017-11-14,9.504265785217285
2017-11-15,9.470990180969238
2017-11-16,9.424060821533203
2017-11-17,9.462456703186035
2017-11-20,9.45819091796875
2017-11-21,9.513651847839355
2017-11-22,9.513651847839355
2017-11-24,9.513651847839355
2017-11-27,9.547781944274902
2017-11-28,9.556314468383789
2017-11-29,9.513651847839355
2017-11-30,9.641637802124023
2017-12-01,9.641637802124023
2017-12-04,9.641637802124023
2017-12-05,9.547781944274902
2017-12-06,9.556314468383789
2017-12-07,9.598976135253906
2017-12-08,9.598976135253906
2017-12-11,9.569112777709961
2017-12-12,9.56484603881836
2017-12-13,9.462456703186035
2017-12-14,9.436860084533691
2017-12-15,9.385665893554688
2017-12-18,9.385665893554688
2017-12-19,9.385665893554688
2017-12-20,9.402729988098145
2017-12-21,9.436860084533691
2017-12-22,9.436860084533691
2017-12-26,9.436860084533691
2017-12-27,9.436860084533691
2017-12-28,9.394198417663574
2017-12-29,9.402729988098145
2018-01-02,9.394198417663574
2018-01-03,9.428327560424805
2018-01-04,9.394198417663574
2018-01-05,9.419795036315918
2018-01-08,9.419795036315918
2018-01-09,9.419795036315918
2018-01-10,9.402729988098145
2018-01-11,9.385665893554688
2018-01-12,9.391637802124023
2018-01-16,9.402729988098145
2018-01-17,9.402729988098145
2018-01-18,9.428327560424805
2018-01-19,9.428327560424805
2018-01-22,9.419795036315918
2018-01-23,9.428327560424805
2018-01-24,9.428327560424805
2018-01-25,9.415529251098633
2018-01-26,9.411263465881348
2018-01-29,9.411263465881348
2018-01-30,9.411263465881348
2018-01-31,9.387372016906738
2018-02-01,9.436860084533691
2018-02-02,9.513651847839355
2018-02-05,9.400171279907227
2018-02-06,9.385665893554688
2018-02-07,9.30034065246582
2018-02-08,9.308874130249023
2018-02-09,9.317405700683594
2018-02-12,9.308874130249023
2018-02-13,9.360068321228027
2018-02-14,9.30034065246582
2018-02-15,9.2064847946167
2018-02-16,9.308874130249023
2018-02-20,9.172354698181152
2018-02-21,9.172354698181152
2018-02-22,9.172354698181152
2018-02-23,9.172354698181152
2018-02-26,9.172354698181152
2018-02-27,9.172354698181152
