,BOTJ
2000-08-10,4.197822093963623
2000-08-11,4.197822093963623
2000-08-14,4.197822093963623
2000-08-15,4.197822093963623
2000-08-16,4.579442977905273
2000-08-17,4.579442977905273
2000-08-18,4.579442977905273
2000-08-21,4.579442977905273
2000-08-22,4.579442977905273
2000-08-23,4.579442977905273
2000-08-24,4.579442977905273
2000-08-25,4.579442977905273
2000-08-28,4.579442977905273
2000-08-29,4.579442977905273
2000-08-30,4.579442977905273
2000-08-31,4.579442977905273
2000-09-01,4.579442977905273
2000-09-05,4.579442977905273
2000-09-06,4.579442977905273
2000-09-07,4.579442977905273
2000-09-08,4.388631820678711
2000-09-11,4.388631820678711
2000-09-12,4.388631820678711
2000-09-13,4.388631820678711
2000-09-14,4.388631820678711
2000-09-15,4.388631820678711
2000-09-18,4.388631820678711
2000-09-19,4.388631820678711
2000-09-20,4.388631820678711
2000-09-21,4.388631820678711
2000-09-22,4.388631820678711
2000-09-25,4.388631820678711
2000-09-26,4.388631820678711
2000-09-27,4.388631820678711
2000-09-28,4.388631820678711
2000-09-29,4.388631820678711
2000-10-02,4.388631820678711
2000-10-03,4.388631820678711
2000-10-04,4.388631820678711
2000-10-05,4.388631820678711
2000-10-06,4.388631820678711
2000-10-09,4.388631820678711
2000-10-10,4.388631820678711
2000-10-11,4.388631820678711
2000-10-12,4.388631820678711
2000-10-13,4.388631820678711
2000-10-16,4.388631820678711
2000-10-17,3.625391960144043
2000-10-18,3.625391960144043
2000-10-19,3.625391960144043
2000-10-20,3.625391960144043
2000-10-23,3.625391960144043
2000-10-24,3.625391960144043
2000-10-25,4.197822093963623
2000-10-26,4.197822093963623
2000-10-27,4.197822093963623
2000-10-30,4.197822093963623
2000-10-31,4.197822093963623
2000-11-01,4.197822093963623
2000-11-02,4.197822093963623
2000-11-03,4.197822093963623
2000-11-06,4.197822093963623
2000-11-07,4.197822093963623
2000-11-08,4.197822093963623
2000-11-09,4.197822093963623
2000-11-10,4.197822093963623
2000-11-13,4.197822093963623
2000-11-14,4.197822093963623
2000-11-15,4.197822093963623
2000-11-16,4.197822093963623
2000-11-17,4.197822093963623
2000-11-20,4.197822093963623
2000-11-21,4.197822093963623
2000-11-22,4.197822093963623
2000-11-24,4.197822093963623
2000-11-27,4.197822093963623
2000-11-28,4.197822093963623
2000-11-29,4.197822093963623
2000-11-30,4.197822093963623
2000-12-01,4.197822093963623
2000-12-04,4.197822093963623
2000-12-05,4.197822093963623
2000-12-06,4.197822093963623
2000-12-07,4.197822093963623
2000-12-08,4.197822093963623
2000-12-11,4.197822093963623
2000-12-12,4.197822093963623
2000-12-13,4.197822093963623
2000-12-14,4.197822093963623
2000-12-15,4.197822093963623
2000-12-18,4.197822093963623
2000-12-19,4.197822093963623
2000-12-20,4.197822093963623
2000-12-21,4.197822093963623
2000-12-22,4.007011890411377
2000-12-26,4.007011890411377
