,FCAP
1999-01-04,9.090909004211426
1999-01-05,9.090909004211426
1999-01-06,9.090909004211426
1999-01-07,9.090909004211426
1999-01-08,9.318181991577148
1999-01-11,9.659090995788574
1999-01-12,9.375
1999-01-13,9.375
1999-01-14,9.375
1999-01-15,9.375
1999-01-19,9.545454978942871
1999-01-20,9.545454978942871
1999-01-21,9.431818008422852
1999-01-22,9.431818008422852
1999-01-25,9.659090995788574
1999-01-26,9.659090995788574
1999-01-27,9.659090995788574
1999-01-28,9.659090995788574
1999-01-29,9.545454978942871
1999-02-01,9.431818008422852
1999-02-02,9.545454978942871
1999-02-03,9.431818008422852
1999-02-04,9.431818008422852
1999-02-05,9.431818008422852
1999-02-08,9.431818008422852
1999-02-09,9.431818008422852
1999-02-10,9.431818008422852
1999-02-11,9.431818008422852
1999-02-12,9.431818008422852
1999-02-16,9.431818008422852
1999-02-17,9.204545021057129
1999-02-18,8.977272987365723
1999-02-19,8.977272987365723
1999-02-22,9.090909004211426
1999-02-23,9.090909004211426
1999-02-24,9.090909004211426
1999-02-25,8.863636016845703
1999-02-26,9.090909004211426
1999-03-01,9.090909004211426
1999-03-02,9.090909004211426
1999-03-03,9.090909004211426
1999-03-04,9.090909004211426
1999-03-05,9.090909004211426
1999-03-08,9.090909004211426
1999-03-09,9.090909004211426
1999-03-10,9.090909004211426
1999-03-11,9.090909004211426
1999-03-12,9.090909004211426
1999-03-15,8.75
1999-03-16,8.75
1999-03-17,8.75
1999-03-18,8.75
1999-03-19,8.75
1999-03-22,8.75
1999-03-23,8.75
1999-03-24,8.75
1999-03-25,8.75
1999-03-26,7.954545021057129
1999-03-29,7.954545021057129
1999-03-30,8.068181991577148
1999-03-31,8.068181991577148
1999-04-01,8.068181991577148
1999-04-05,8.068181991577148
1999-04-06,8.068181991577148
1999-04-07,8.068181991577148
1999-04-08,8.068181991577148
1999-04-09,8.068181991577148
1999-04-12,8.068181991577148
1999-04-13,8.068181991577148
1999-04-14,8.181818008422852
1999-04-15,8.181818008422852
1999-04-16,8.181818008422852
1999-04-19,8.522727012634277
1999-04-20,8.352272987365723
