,CORE
2005-04-13,6.5625
2005-04-14,6.75
2005-04-15,6.75
2005-04-18,6.75
2005-04-19,7.8125
2005-04-20,7.8125
2005-04-21,7.8125
2005-04-22,7.8125
2005-04-25,7.8125
2005-04-26,7.8125
2005-04-27,7.8125
2005-04-28,7.8125
2005-04-29,8.5
2005-05-02,7.612500190734863
2005-05-03,7.612500190734863
2005-05-04,7.612500190734863
2005-05-05,7.612500190734863
2005-05-06,7.612500190734863
2005-05-09,7.25
2005-05-10,7.25
2005-05-11,6.75
2005-05-12,7.0
2005-05-13,7.212500095367432
2005-05-16,7.262499809265137
2005-05-17,7.262499809265137
2005-05-18,7.150000095367432
2005-05-19,6.987500190734863
2005-05-20,7.0
2005-05-23,7.0
2005-05-24,6.375
2005-05-25,6.375
2005-05-26,6.375
2005-05-27,6.375
2005-05-31,7.0
2005-06-01,7.0
2005-06-02,7.0
2005-06-03,7.0
2005-06-06,7.0
2005-06-07,7.0
2005-06-08,7.0
2005-06-09,7.5625
2005-06-10,7.5625
2005-06-13,7.5625
2005-06-14,7.5625
2005-06-15,7.5625
2005-06-16,7.5625
2005-06-17,7.5625
2005-06-20,7.5625
2005-06-21,7.5625
2005-06-22,7.5625
2005-06-23,7.5625
2005-06-24,7.25
2005-06-27,6.5
2005-06-28,6.5
2005-06-29,6.875
2005-06-30,6.775000095367432
2005-07-01,6.775000095367432
2005-07-05,6.75
2005-07-06,6.75
2005-07-07,6.75
2005-07-08,6.75
2005-07-11,6.75
2005-07-12,6.8125
2005-07-13,6.8125
2005-07-14,6.8125
2005-07-15,6.8125
2005-07-18,6.8125
2005-07-19,6.75
2005-07-20,6.6875
2005-07-21,6.699999809265137
2005-07-22,6.762499809265137
2005-07-25,6.760000228881836
2005-07-26,6.760000228881836
2005-07-27,6.760000228881836
2005-07-28,6.760000228881836
2005-07-29,6.760000228881836
2005-08-01,6.760000228881836
2005-08-02,6.760000228881836
2005-08-03,6.775000095367432
2005-08-04,6.775000095367432
2005-08-05,6.75
2005-08-08,6.75
2005-08-09,6.75
2005-08-10,6.75
2005-08-11,6.75
2005-08-12,6.75
2005-08-15,6.75
2005-08-16,6.75
2005-08-17,6.75
2005-08-18,6.762499809265137
2005-08-19,6.762499809265137
2005-08-22,6.8125
2005-08-23,6.8125
2005-08-24,6.8125
2005-08-25,6.625
2005-08-26,6.625
2005-08-29,6.375
2005-08-30,8.25
2005-08-31,8.25
2005-09-01,8.25
2005-09-02,8.25
2005-09-06,6.8125
2005-09-07,6.75
2005-09-08,6.755000114440918
2005-09-09,6.755000114440918
2005-09-12,7.5
2005-09-13,7.75
2005-09-14,8.5
2005-09-15,8.5
2005-09-16,8.5
2005-09-19,8.0
2005-09-20,8.4375
2005-09-21,8.25
2005-09-22,8.5
2005-09-23,8.5
2005-09-26,8.5
2005-09-27,8.25
2005-09-28,8.25
2005-09-29,8.25
2005-09-30,8.475000381469727
2005-10-03,8.475000381469727
2005-10-04,8.475000381469727
2005-10-05,8.5
2005-10-06,8.5
2005-10-07,8.462499618530273
2005-10-10,7.5
2005-10-11,7.5
2005-10-12,7.5
2005-10-13,7.5
2005-10-14,7.5
2005-10-17,7.5
2005-10-18,7.5
2005-10-19,7.5
2005-10-20,8.0
2005-10-21,7.5
2005-10-24,7.5
2005-10-25,7.0
2005-10-26,7.5
2005-10-27,7.5
2005-10-28,7.5
2005-10-31,7.512499809265137
2005-11-01,7.25
2005-11-02,7.512499809265137
2005-11-03,7.75
