,CIBR
2015-07-07,20.020000457763672
2015-07-08,19.799999237060547
2015-07-09,20.040000915527344
2015-07-10,20.309999465942383
2015-07-13,20.360000610351562
2015-07-14,20.6200008392334
2015-07-15,20.3799991607666
2015-07-16,20.520000457763672
2015-07-17,20.489999771118164
2015-07-20,20.34000015258789
2015-07-21,20.170000076293945
2015-07-22,20.100000381469727
2015-07-23,20.489999771118164
2015-07-24,20.350000381469727
2015-07-27,19.850000381469727
2015-07-28,20.049999237060547
2015-07-29,19.947999954223633
2015-07-30,20.010000228881836
2015-07-31,19.959999084472656
2015-08-03,19.799999237060547
2015-08-04,19.790000915527344
2015-08-05,20.059999465942383
2015-08-06,19.56999969482422
2015-08-07,19.645999908447266
2015-08-10,20.049999237060547
2015-08-11,19.610000610351562
2015-08-12,19.459999084472656
2015-08-13,19.549999237060547
2015-08-14,19.639999389648438
2015-08-17,19.770000457763672
2015-08-18,19.57900047302246
2015-08-19,19.459999084472656
2015-08-20,18.540000915527344
2015-08-21,18.049999237060547
2015-08-24,17.360000610351562
2015-08-25,17.43000030517578
2015-08-26,17.84000015258789
2015-08-27,18.020000457763672
2015-08-28,18.040000915527344
2015-08-31,17.847999572753906
2015-09-01,17.299999237060547
2015-09-02,17.549999237060547
2015-09-03,17.559999465942383
2015-09-04,17.260000228881836
2015-09-08,17.690000534057617
2015-09-09,17.459999084472656
2015-09-10,17.549999237060547
2015-09-11,17.6299991607666
2015-09-14,17.59000015258789
2015-09-15,17.742000579833984
2015-09-16,17.886999130249023
2015-09-17,17.899999618530273
2015-09-18,17.829999923706055
2015-09-21,17.809999465942383
2015-09-22,17.530000686645508
2015-09-23,17.55500030517578
2015-09-24,17.540000915527344
2015-09-25,17.420000076293945
2015-09-28,16.950000762939453
2015-09-29,16.767000198364258
2015-09-30,17.209999084472656
2015-10-01,17.209999084472656
2015-10-02,17.510000228881836
2015-10-05,17.799999237060547
2015-10-06,17.760000228881836
2015-10-07,17.93000030517578
2015-10-08,17.93000030517578
2015-10-09,17.989999771118164
2015-10-12,17.90999984741211
2015-10-13,17.59000015258789
2015-10-14,17.520000457763672
2015-10-15,17.8799991607666
2015-10-16,17.951000213623047
2015-10-19,18.020000457763672
2015-10-20,17.899999618530273
2015-10-21,17.450000762939453
2015-10-22,17.90999984741211
2015-10-23,17.770000457763672
2015-10-26,17.770000457763672
2015-10-27,17.709999084472656
2015-10-28,18.100000381469727
2015-10-29,17.75
2015-10-30,17.989999771118164
2015-11-02,18.209999084472656
2015-11-03,18.270000457763672
2015-11-04,18.350000381469727
2015-11-05,17.90999984741211
2015-11-06,18.15999984741211
2015-11-09,17.940000534057617
