,CTAS
1983-08-19,0.9513890147209167
1983-08-22,0.9583330154418945
1983-08-23,0.9583330154418945
1983-08-24,0.9652780294418335
1983-08-25,0.9791669845581055
1983-08-26,0.9930559992790222
1983-08-29,1.013888955116272
1983-08-30,1.0625
1983-08-31,1.0625
1983-09-01,1.055556058883667
1983-09-02,1.055556058883667
1983-09-06,1.055556058883667
1983-09-07,1.048611044883728
1983-09-08,1.048611044883728
1983-09-09,1.055556058883667
1983-09-12,1.055556058883667
1983-09-13,1.055556058883667
1983-09-14,1.055556058883667
1983-09-15,1.0416669845581055
1983-09-16,1.0416669845581055
1983-09-19,1.0416669845581055
1983-09-20,1.0416669845581055
1983-09-21,1.055556058883667
1983-09-22,1.055556058883667
1983-09-23,1.055556058883667
1983-09-26,1.055556058883667
1983-09-27,1.055556058883667
1983-09-28,1.055556058883667
1983-09-29,1.0833330154418945
1983-09-30,1.0972219705581665
1983-10-03,1.111111044883728
1983-10-04,1.111111044883728
1983-10-05,1.118056058883667
1983-10-06,1.118056058883667
1983-10-07,1.118056058883667
1983-10-10,1.118056058883667
1983-10-11,1.118056058883667
1983-10-12,1.111111044883728
1983-10-13,1.111111044883728
1983-10-14,1.1041669845581055
1983-10-17,1.131943941116333
1983-10-18,1.2152780294418335
1983-10-19,1.263888955116272
1983-10-20,1.263888955116272
1983-10-21,1.25
1983-10-24,1.2222219705581665
1983-10-25,1.236111044883728
1983-10-26,1.2083330154418945
1983-10-27,1.138888955116272
1983-10-28,1.131943941116333
1983-10-31,1.131943941116333
1983-11-01,1.131943941116333
1983-11-02,1.125
1983-11-03,1.125
1983-11-04,1.125
1983-11-07,1.125
1983-11-08,1.125
1983-11-09,1.131943941116333
1983-11-10,1.1666669845581055
1983-11-11,1.1666669845581055
1983-11-14,1.1666669845581055
1983-11-15,1.1666669845581055
1983-11-16,1.1875
1983-11-17,1.201388955116272
1983-11-18,1.201388955116272
1983-11-21,1.2152780294418335
1983-11-22,1.2152780294418335
1983-11-23,1.2152780294418335
1983-11-25,1.2222219705581665
1983-11-28,1.2222219705581665
1983-11-29,1.2847219705581665
1983-11-30,1.2916669845581055
1983-12-01,1.298611044883728
1983-12-02,1.2916669845581055
1983-12-05,1.2847219705581665
1983-12-06,1.2777780294418335
1983-12-07,1.2777780294418335
1983-12-08,1.25
1983-12-09,1.25
1983-12-12,1.256943941116333
1983-12-13,1.25
1983-12-14,1.243056058883667
1983-12-15,1.243056058883667
1983-12-16,1.243056058883667
1983-12-19,1.236111044883728
1983-12-20,1.236111044883728
1983-12-21,1.236111044883728
1983-12-22,1.236111044883728
1983-12-23,1.236111044883728
1983-12-27,1.2291669845581055
1983-12-28,1.2083330154418945
1983-12-29,1.1875
1983-12-30,1.1875
1984-01-03,1.1875
1984-01-04,1.1875
1984-01-05,1.194443941116333
1984-01-06,1.194443941116333
1984-01-09,1.194443941116333
1984-01-10,1.2083330154418945
1984-01-11,1.25
1984-01-12,1.25
1984-01-13,1.25
1984-01-16,1.2708330154418945
1984-01-17,1.2708330154418945
1984-01-18,1.2777780294418335
1984-01-19,1.2777780294418335
1984-01-20,1.2777780294418335
1984-01-23,1.2777780294418335
1984-01-24,1.2777780294418335
1984-01-25,1.2847219705581665
1984-01-26,1.2777780294418335
1984-01-27,1.2777780294418335
1984-01-30,1.2777780294418335
1984-01-31,1.2777780294418335
1984-02-01,1.2777780294418335
1984-02-02,1.2777780294418335
1984-02-03,1.25
1984-02-06,1.236111044883728
1984-02-07,1.2291669845581055
1984-02-08,1.194443941116333
1984-02-09,1.138888955116272
1984-02-10,1.1527780294418335
1984-02-13,1.1527780294418335
1984-02-14,1.1666669845581055
1984-02-15,1.1666669845581055
1984-02-16,1.1666669845581055
1984-02-17,1.1666669845581055
1984-02-21,1.1666669845581055
1984-02-22,1.1666669845581055
1984-02-23,1.125
1984-02-24,1.118056058883667
1984-02-27,1.138888955116272
1984-02-28,1.1041669845581055
1984-02-29,1.1041669845581055
1984-03-01,1.1041669845581055
1984-03-02,1.1041669845581055
1984-03-05,1.118056058883667
1984-03-06,1.118056058883667
1984-03-07,1.0972219705581665
1984-03-08,1.0972219705581665
1984-03-09,1.0972219705581665
1984-03-12,1.118056058883667
1984-03-13,1.0972219705581665
1984-03-14,1.118056058883667
1984-03-15,1.111111044883728
1984-03-16,1.1527780294418335
1984-03-19,1.1527780294418335
1984-03-20,1.194443941116333
1984-03-21,1.201388955116272
1984-03-22,1.180556058883667
1984-03-23,1.180556058883667
1984-03-26,1.1458330154418945
1984-03-27,1.138888955116272
1984-03-28,1.138888955116272
1984-03-29,1.138888955116272
1984-03-30,1.131943941116333
1984-04-02,1.131943941116333
1984-04-03,1.1458330154418945
1984-04-04,1.173611044883728
1984-04-05,1.1597219705581665
1984-04-06,1.1527780294418335
1984-04-09,1.138888955116272
1984-04-10,1.138888955116272
1984-04-11,1.138888955116272
1984-04-12,1.1527780294418335
1984-04-13,1.1527780294418335
1984-04-16,1.138888955116272
1984-04-17,1.125
1984-04-18,1.138888955116272
1984-04-19,1.138888955116272
1984-04-23,1.125
1984-04-24,1.138888955116272
1984-04-25,1.1597219705581665
1984-04-26,1.1527780294418335
1984-04-27,1.1527780294418335
1984-04-30,1.1666669845581055
1984-05-01,1.201388955116272
1984-05-02,1.2777780294418335
1984-05-03,1.236111044883728
1984-05-04,1.236111044883728
1984-05-07,1.243056058883667
1984-05-08,1.236111044883728
