,DGE
2004-06-15,414.8999938964844
2004-06-16,416.9100036621094
2004-06-17,416.2799987792969
2004-06-18,417.0400085449219
2004-06-21,414.42999267578125
2004-06-22,412.70001220703125
2004-06-23,415.7200012207031
2004-06-24,412.8900146484375
2004-06-25,407.8999938964844
2004-06-28,407.9100036621094
2004-06-29,408.69000244140625
2004-06-30,407.6199951171875
2004-07-01,404.760009765625
2004-07-02,406.4200134277344
2004-07-06,400.6199951171875
2004-07-07,398.92999267578125
2004-07-08,398.6199951171875
2004-07-09,398.25
2004-07-12,397.4599914550781
2004-07-13,398.0299987792969
2004-07-14,398.20001220703125
2004-07-15,394.8999938964844
2004-07-16,394.2200012207031
2004-07-19,393.3900146484375
2004-07-20,394.3699951171875
2004-07-21,391.5899963378906
2004-07-22,395.4100036621094
2004-07-23,390.6000061035156
2004-07-26,393.5799865722656
2004-07-27,394.67999267578125
2004-07-28,395.5899963378906
2004-07-29,397.79998779296875
2004-07-30,398.4599914550781
2004-08-02,397.4800109863281
2004-08-03,396.9200134277344
2004-08-04,396.05999755859375
2004-08-05,390.5799865722656
2004-08-06,387.8500061035156
2004-08-09,386.3800048828125
2004-08-10,390.1600036621094
2004-08-11,394.55999755859375
2004-08-12,393.05999755859375
2004-08-13,391.8500061035156
2004-08-16,397.2699890136719
2004-08-17,394.95001220703125
2004-08-18,400.32000732421875
2004-08-19,399.95001220703125
2004-08-20,403.0400085449219
2004-08-23,403.510009765625
2004-08-24,403.8999938964844
2004-08-25,407.9700012207031
2004-08-26,407.30999755859375
2004-08-27,410.80999755859375
2004-08-30,405.760009765625
2004-08-31,406.8299865722656
2004-09-01,405.1199951171875
2004-09-02,409.4700012207031
2004-09-03,410.260009765625
2004-09-07,410.6700134277344
2004-09-08,409.8699951171875
2004-09-09,407.8999938964844
2004-09-10,407.44000244140625
2004-09-13,408.1700134277344
2004-09-14,412.1000061035156
2004-09-15,410.1700134277344
2004-09-16,410.3999938964844
2004-09-17,411.1099853515625
2004-09-20,407.04998779296875
2004-09-21,410.05999755859375
2004-09-22,404.3699951171875
2004-09-23,402.7799987792969
2004-09-24,403.6400146484375
2004-09-27,399.6499938964844
2004-09-28,401.9700012207031
2004-09-29,402.8999938964844
2004-09-30,394.0199890136719
2004-10-01,398.6000061035156
2004-10-04,399.9700012207031
2004-10-05,400.260009765625
2004-10-06,396.2699890136719
2004-10-07,386.2699890136719
2004-10-08,382.5799865722656
2004-10-11,385.92999267578125
2004-10-12,384.70001220703125
2004-10-13,380.69000244140625
2004-10-14,376.8699951171875
2004-10-15,380.2300109863281
2004-10-18,382.7900085449219
2004-10-19,381.9200134277344
2004-10-20,381.3299865722656
2004-10-21,379.0799865722656
2004-10-22,376.05999755859375
2004-10-25,373.6400146484375
2004-10-26,378.8699951171875
2004-10-27,390.7799987792969
2004-10-28,385.6199951171875
2004-10-29,385.7900085449219
2004-11-01,376.6099853515625
2004-11-02,372.3999938964844
2004-11-03,382.0199890136719
2004-11-04,382.1600036621094
2004-11-05,386.95001220703125
2004-11-08,385.8599853515625
2004-11-09,386.80999755859375
2004-11-10,385.82000732421875
2004-11-11,387.95001220703125
2004-11-12,389.7799987792969
2004-11-15,390.82000732421875
2004-11-16,388.42999267578125
2004-11-17,387.1199951171875
2004-11-18,382.5
2004-11-19,377.95001220703125
2004-11-22,377.5
2004-11-23,376.55999755859375
2004-11-24,377.260009765625
2004-11-26,379.07000732421875
2004-11-29,378.9599914550781
2004-11-30,380.489990234375
2004-12-01,385.79998779296875
2004-12-02,390.9100036621094
2004-12-03,390.489990234375
2004-12-06,389.9100036621094
2004-12-07,387.4800109863281
2004-12-08,390.6300048828125
2004-12-09,393.20001220703125
2004-12-10,391.3900146484375
2004-12-13,394.7300109863281
2004-12-14,398.4700012207031
2004-12-15,399.5
2004-12-16,406.95001220703125
2004-12-17,399.69000244140625
2004-12-20,396.6300048828125
2004-12-21,398.55999755859375
2004-12-22,400.57000732421875
2004-12-23,403.6199951171875
2004-12-27,403.010009765625
2004-12-28,405.75
2004-12-29,406.3699951171875
2004-12-30,406.7099914550781
2004-12-31,405.20001220703125
2005-01-03,402.2699890136719
2005-01-04,397.5899963378906
2005-01-05,394.1400146484375
2005-01-06,397.1000061035156
2005-01-07,396.8699951171875
2005-01-10,399.2200012207031
2005-01-11,396.4700012207031
2005-01-12,396.0
2005-01-13,389.0799865722656
2005-01-14,389.5
2005-01-18,391.70001220703125
2005-01-19,389.42999267578125
2005-01-20,387.5199890136719
2005-01-21,383.6600036621094
2005-01-24,381.3999938964844
2005-01-25,385.1199951171875
2005-01-26,387.82000732421875
2005-01-27,386.6000061035156
2005-01-28,381.760009765625
2005-01-31,379.19000244140625
2005-02-01,380.5
2005-02-02,385.1099853515625
2005-02-03,382.75
2005-02-04,385.44000244140625
2005-02-07,387.0899963378906
2005-02-08,387.6499938964844
2005-02-09,384.25
2005-02-10,385.8299865722656
2005-02-11,389.45001220703125
2005-02-14,390.29998779296875
2005-02-15,390.1499938964844
2005-02-16,388.2099914550781
2005-02-17,386.8800048828125
2005-02-18,394.8800048828125
2005-02-22,394.5799865722656
2005-02-23,395.95001220703125
2005-02-24,396.6300048828125
2005-02-25,398.7699890136719
2005-02-28,394.69000244140625
2005-03-01,399.0400085449219
2005-03-02,397.92999267578125
2005-03-03,399.6000061035156
2005-03-04,400.30999755859375
2005-03-07,402.1400146484375
2005-03-08,398.7799987792969
2005-03-09,395.4800109863281
2005-03-10,397.6000061035156
2005-03-11,394.3299865722656
2005-03-14,395.2699890136719
2005-03-15,395.4700012207031
2005-03-16,393.5799865722656
2005-03-17,391.6700134277344
2005-03-18,391.010009765625
2005-03-21,388.1400146484375
2005-03-22,389.82000732421875
2005-03-23,394.2300109863281
2005-03-24,393.3599853515625
2005-03-28,392.32000732421875
