,CLVR
2020-12-18,13.0
2020-12-21,11.40999984741211
2020-12-22,10.899999618530273
2020-12-23,11.199999809265137
2020-12-24,11.489999771118164
2020-12-28,10.949999809265137
2020-12-29,10.40999984741211
2020-12-30,9.859999656677246
2020-12-31,8.899999618530273
2021-01-04,8.890000343322754
2021-01-05,8.970000267028809
2021-01-06,9.600000381469727
2021-01-07,9.800000190734863
2021-01-08,8.829999923706055
2021-01-11,8.739999771118164
2021-01-12,9.239999771118164
2021-01-13,10.720000267028809
2021-01-14,10.3100004196167
2021-01-15,10.039999961853027
2021-01-19,10.199999809265137
2021-01-20,9.979999542236328
2021-01-21,10.210000038146973
2021-01-22,9.819999694824219
2021-01-25,9.329999923706055
2021-01-26,9.289999961853027
2021-01-27,8.800000190734863
2021-01-28,9.109999656677246
2021-01-29,8.899999618530273
2021-02-01,9.029999732971191
2021-02-02,10.479999542236328
2021-02-03,11.039999961853027
2021-02-04,10.550000190734863
2021-02-05,11.010000228881836
2021-02-08,11.75
2021-02-09,12.930000305175781
2021-02-10,18.170000076293945
2021-02-11,15.819999694824219
2021-02-12,17.959999084472656
2021-02-16,19.200000762939453
2021-02-17,17.219999313354492
2021-02-18,16.149999618530273
2021-02-19,16.059999465942383
2021-02-22,14.75
2021-02-23,14.300000190734863
2021-02-24,14.199999809265137
2021-02-25,13.829999923706055
2021-02-26,13.199999809265137
2021-03-01,13.819999694824219
2021-03-02,14.399999618530273
2021-03-03,13.270000457763672
2021-03-04,12.0
2021-03-05,12.15999984741211
2021-03-08,11.65999984741211
2021-03-09,12.449999809265137
2021-03-10,12.359999656677246
2021-03-11,13.329999923706055
2021-03-12,12.630000114440918
2021-03-15,13.470000267028809
2021-03-16,12.920000076293945
2021-03-17,13.979999542236328
2021-03-18,13.420000076293945
2021-03-19,13.800000190734863
2021-03-22,13.869999885559082
2021-03-23,12.720000267028809
2021-03-24,12.3100004196167
2021-03-25,12.300000190734863
2021-03-26,12.329999923706055
2021-03-29,12.270000457763672
2021-03-30,11.770000457763672
2021-03-31,10.289999961853027
2021-04-01,10.819999694824219
2021-04-05,10.899999618530273
2021-04-06,10.350000381469727
2021-04-07,9.989999771118164
2021-04-08,10.270000457763672
2021-04-09,12.149999618530273
2021-04-12,10.970000267028809
2021-04-13,11.890000343322754
2021-04-14,11.680000305175781
2021-04-15,11.420000076293945
2021-04-16,10.5600004196167
2021-04-19,10.630000114440918
2021-04-20,10.100000381469727
2021-04-21,10.350000381469727
2021-04-22,9.970000267028809
2021-04-23,10.84000015258789
2021-04-26,10.449999809265137
2021-04-27,10.100000381469727
2021-04-28,10.880000114440918
2021-04-29,10.59000015258789
2021-04-30,10.020000457763672
2021-05-03,9.670000076293945
2021-05-04,9.649999618530273
2021-05-05,9.4399995803833
2021-05-06,9.079999923706055
2021-05-07,9.489999771118164
2021-05-10,8.800000190734863
2021-05-11,8.6899995803833
2021-05-12,8.890000343322754
2021-05-13,8.449999809265137
2021-05-14,8.630000114440918
