,AGR
2015-12-17,36.119998931884766
2015-12-18,33.2599983215332
2015-12-21,33.810001373291016
2015-12-22,35.08000183105469
2015-12-23,36.959999084472656
2015-12-24,37.45000076293945
2015-12-28,36.599998474121094
2015-12-29,37.66999816894531
2015-12-30,38.220001220703125
2015-12-31,38.400001525878906
2016-01-04,37.849998474121094
2016-01-05,38.130001068115234
2016-01-06,38.04999923706055
2016-01-07,37.79999923706055
2016-01-08,37.7599983215332
2016-01-11,37.38999938964844
2016-01-12,37.27000045776367
2016-01-13,36.720001220703125
2016-01-14,37.20000076293945
2016-01-15,37.61000061035156
2016-01-19,38.720001220703125
2016-01-20,37.470001220703125
2016-01-21,37.09000015258789
2016-01-22,37.9900016784668
2016-01-25,37.04999923706055
2016-01-26,37.40999984741211
2016-01-27,37.79999923706055
2016-01-28,37.79999923706055
2016-01-29,38.45000076293945
2016-02-01,38.9900016784668
2016-02-02,39.599998474121094
2016-02-03,40.560001373291016
2016-02-04,41.119998931884766
2016-02-05,42.0099983215332
2016-02-08,41.470001220703125
2016-02-09,41.2400016784668
2016-02-10,41.58000183105469
2016-02-11,40.93000030517578
2016-02-12,40.59000015258789
2016-02-16,40.650001525878906
2016-02-17,41.310001373291016
2016-02-18,41.5
2016-02-19,41.560001373291016
2016-02-22,38.75
2016-02-23,38.060001373291016
2016-02-24,39.2599983215332
2016-02-25,39.029998779296875
2016-02-26,38.93000030517578
2016-02-29,38.790000915527344
2016-03-01,38.58000183105469
2016-03-02,38.779998779296875
2016-03-03,38.58000183105469
2016-03-04,38.529998779296875
2016-03-07,39.20000076293945
2016-03-08,38.59000015258789
2016-03-09,38.689998626708984
2016-03-10,38.150001525878906
2016-03-11,38.31999969482422
2016-03-14,38.84000015258789
2016-03-15,38.599998474121094
2016-03-16,39.150001525878906
2016-03-17,39.68000030517578
2016-03-18,40.459999084472656
2016-03-21,40.16999816894531
2016-03-22,40.310001373291016
2016-03-23,40.279998779296875
2016-03-24,40.5099983215332
2016-03-28,40.150001525878906
2016-03-29,40.599998474121094
2016-03-30,40.279998779296875
2016-03-31,40.11000061035156
2016-04-01,39.630001068115234
2016-04-04,40.0099983215332
2016-04-05,39.459999084472656
2016-04-06,39.2400016784668
2016-04-07,39.08000183105469
2016-04-08,38.91999816894531
2016-04-11,38.88999938964844
2016-04-12,38.459999084472656
2016-04-13,38.540000915527344
2016-04-14,38.310001373291016
2016-04-15,38.45000076293945
2016-04-18,38.45000076293945
2016-04-19,38.619998931884766
2016-04-20,37.9900016784668
2016-04-21,37.36000061035156
2016-04-22,37.54999923706055
2016-04-25,38.20000076293945
2016-04-26,39.040000915527344
2016-04-27,40.459999084472656
2016-04-28,40.36000061035156
2016-04-29,40.099998474121094
2016-05-02,40.68000030517578
2016-05-03,40.310001373291016
2016-05-04,40.849998474121094
2016-05-05,40.38999938964844
2016-05-06,40.31999969482422
2016-05-09,40.25
2016-05-10,40.209999084472656
2016-05-11,40.380001068115234
2016-05-12,40.59000015258789
2016-05-13,41.119998931884766
2016-05-16,41.34000015258789
2016-05-17,40.59000015258789
2016-05-18,40.060001373291016
2016-05-19,40.619998931884766
2016-05-20,40.66999816894531
2016-05-23,40.63999938964844
