,ACIW
1995-02-24,2.9791669845581055
1995-02-27,3.0416669845581055
1995-02-28,2.9791669845581055
1995-03-01,3.0416669845581055
1995-03-02,3.0416669845581055
1995-03-03,3.3541669845581055
1995-03-06,3.4375
1995-03-07,3.375
1995-03-08,3.375
1995-03-09,3.375
1995-03-10,3.3125
1995-03-13,3.4375
1995-03-14,3.3541669845581055
1995-03-15,3.3958330154418945
1995-03-16,3.375
1995-03-17,3.375
1995-03-20,3.3541669845581055
1995-03-21,3.375
1995-03-22,3.2708330154418945
1995-03-23,3.2916669845581055
1995-03-24,3.3125
1995-03-27,3.3125
1995-03-28,3.5
1995-03-29,3.5
1995-03-30,3.5625
1995-03-31,3.4791669845581055
1995-04-03,3.5208330154418945
1995-04-04,3.46875
1995-04-05,3.3958330154418945
1995-04-06,3.3958330154418945
1995-04-07,3.3958330154418945
1995-04-10,3.4583330154418945
1995-04-11,3.4583330154418945
1995-04-12,3.3333330154418945
1995-04-13,3.3333330154418945
1995-04-17,3.3333330154418945
1995-04-18,3.25
1995-04-19,3.1666669845581055
1995-04-20,3.1458330154418945
1995-04-21,3.28125
1995-04-24,3.2916669845581055
1995-04-25,3.2916669845581055
1995-04-26,3.3125
1995-04-27,3.3333330154418945
1995-04-28,3.4375
1995-05-01,3.6041669845581055
1995-05-02,3.5416669845581055
1995-05-03,3.5416669845581055
1995-05-04,3.4791669845581055
1995-05-05,3.4791669845581055
1995-05-08,3.3125
1995-05-09,3.25
1995-05-10,3.25
1995-05-11,3.3333330154418945
1995-05-12,3.3333330154418945
1995-05-15,3.3958330154418945
1995-05-16,3.625
1995-05-17,3.5208330154418945
1995-05-18,3.5208330154418945
1995-05-19,3.4166669845581055
1995-05-22,3.375
1995-05-23,3.5
1995-05-24,3.4166669845581055
1995-05-25,3.5
1995-05-26,3.5
1995-05-30,3.4166669845581055
1995-05-31,3.5833330154418945
1995-06-01,3.5833330154418945
1995-06-02,3.5208330154418945
1995-06-05,3.7708330154418945
1995-06-06,3.75
1995-06-07,3.5833330154418945
1995-06-08,3.7083330154418945
