,CEY
2017-10-30,25.020000457763672
2017-10-31,25.100000381469727
2017-11-01,25.06999969482422
2017-11-02,25.1299991607666
2017-11-03,25.0
2017-11-06,25.139999389648438
2017-11-07,24.959999084472656
2017-11-08,25.079999923706055
2017-11-09,24.889999389648438
2017-11-10,24.815000534057617
2017-11-13,24.75
2017-11-14,24.700000762939453
2017-11-15,24.5
2017-11-16,24.732999801635742
2017-11-17,24.829999923706055
2017-11-20,24.610000610351562
2017-11-21,24.900999069213867
2017-11-22,24.96500015258789
2017-11-24,24.979999542236328
2017-11-27,24.93000030517578
2017-11-28,24.850000381469727
2017-11-29,24.739999771118164
2017-11-30,24.719999313354492
2017-12-01,24.625999450683594
2017-12-04,24.829999923706055
2017-12-05,24.81999969482422
2017-12-06,24.634000778198242
2017-12-07,24.600000381469727
2017-12-08,24.59000015258789
2017-12-11,24.78700065612793
2017-12-12,24.790000915527344
2017-12-13,25.082000732421875
2017-12-14,25.194000244140625
2017-12-15,25.263999938964844
2017-12-18,25.610000610351562
2017-12-19,25.48900032043457
2017-12-20,25.488000869750977
2017-12-21,25.639999389648438
2017-12-22,25.540000915527344
2017-12-26,25.628999710083008
2017-12-27,25.75
2017-12-28,25.979000091552734
2017-12-29,26.1200008392334
2018-01-02,26.40999984741211
2018-01-03,26.520000457763672
2018-01-04,26.6299991607666
2018-01-05,26.760000228881836
2018-01-08,26.899999618530273
2018-01-09,26.8700008392334
2018-01-10,26.780000686645508
2018-01-11,26.917999267578125
2018-01-12,27.18000030517578
2018-01-16,27.110000610351562
2018-01-17,27.3799991607666
2018-01-18,27.530000686645508
2018-01-19,27.68000030517578
2018-01-22,27.739999771118164
2018-01-23,27.850000381469727
2018-01-24,28.06999969482422
2018-01-25,28.020000457763672
2018-01-26,28.350000381469727
2018-01-29,28.040000915527344
2018-01-30,27.7549991607666
2018-01-31,27.783000946044922
2018-02-01,27.809999465942383
2018-02-02,27.469999313354492
2018-02-05,26.798999786376953
2018-02-06,27.200000762939453
2018-02-07,26.639999389648438
2018-02-08,26.18000030517578
2018-02-09,26.280000686645508
2018-02-12,26.530000686645508
2018-02-13,26.700000762939453
2018-02-14,27.09000015258789
2018-02-15,27.459999084472656
2018-02-16,27.3700008392334
2018-02-20,27.1299991607666
2018-02-21,27.270000457763672
2018-02-22,27.232999801635742
