,DSGN
2021-03-29,34.0099983215332
2021-03-30,29.520000457763672
2021-03-31,29.899999618530273
2021-04-01,29.75
2021-04-05,29.420000076293945
2021-04-06,29.780000686645508
2021-04-07,29.549999237060547
2021-04-08,29.360000610351562
2021-04-09,26.600000381469727
2021-04-12,25.270000457763672
2021-04-13,23.100000381469727
2021-04-14,23.18000030517578
2021-04-15,23.700000762939453
2021-04-16,23.5
2021-04-19,23.0
2021-04-20,21.350000381469727
2021-04-21,19.549999237060547
2021-04-22,19.020000457763672
2021-04-23,19.270000457763672
2021-04-26,20.3799991607666
2021-04-27,21.3700008392334
2021-04-28,22.690000534057617
2021-04-29,24.799999237060547
2021-04-30,26.229999542236328
2021-05-03,27.469999313354492
2021-05-04,27.040000915527344
2021-05-05,27.690000534057617
2021-05-06,26.579999923706055
2021-05-07,28.049999237060547
2021-05-10,28.309999465942383
2021-05-11,26.3799991607666
2021-05-12,24.229999542236328
2021-05-13,22.290000915527344
2021-05-14,22.989999771118164
