,EMCB
2012-03-08,75.06999969482422
2012-03-09,75.18000030517578
2012-03-12,75.22000122070312
2012-03-13,75.33999633789062
2012-03-14,75.29000091552734
2012-03-15,75.12000274658203
2012-03-16,75.22000122070312
2012-03-19,75.23999786376953
2012-03-20,75.1500015258789
2012-03-21,75.18000030517578
2012-03-22,75.12000274658203
2012-03-23,75.05000305175781
2012-03-26,75.05000305175781
2012-03-27,75.08000183105469
2012-03-28,75.25
2012-03-29,75.02999877929688
2012-03-30,74.94999694824219
2012-04-02,74.97000122070312
2012-04-03,74.97000122070312
2012-04-04,74.81999969482422
2012-04-05,74.77999877929688
2012-04-09,74.8499984741211
2012-04-10,74.5999984741211
2012-04-11,74.5999984741211
2012-04-12,74.70999908447266
2012-04-13,74.75
2012-04-16,74.81999969482422
2012-04-17,74.9000015258789
2012-04-18,75.0
2012-04-19,74.9800033569336
2012-04-20,75.02999877929688
2012-04-23,74.8499984741211
2012-04-24,74.81999969482422
2012-04-25,74.91000366210938
2012-04-26,74.94999694824219
2012-04-27,74.94000244140625
2012-04-30,75.19999694824219
2012-05-01,75.2300033569336
2012-05-02,75.20999908447266
2012-05-03,75.44999694824219
2012-05-04,75.48999786376953
2012-05-07,75.41000366210938
2012-05-08,75.41000366210938
2012-05-09,75.0999984741211
2012-05-10,75.0
2012-05-11,74.98999786376953
2012-05-14,74.7300033569336
2012-05-15,74.38999938964844
2012-05-16,74.08000183105469
2012-05-17,73.76000213623047
2012-05-18,72.95999908447266
2012-05-21,72.88999938964844
2012-05-22,73.16999816894531
2012-05-23,72.91000366210938
2012-05-24,72.94999694824219
2012-05-25,72.8499984741211
2012-05-29,73.08000183105469
2012-05-30,72.97000122070312
2012-05-31,72.94000244140625
2012-06-01,72.5
2012-06-04,72.4800033569336
2012-06-05,72.55000305175781
2012-06-06,72.87999725341797
2012-06-07,73.55999755859375
2012-06-08,73.94999694824219
2012-06-11,73.97000122070312
2012-06-12,73.9000015258789
2012-06-13,73.94000244140625
2012-06-14,74.06999969482422
2012-06-15,74.44000244140625
2012-06-18,74.75
2012-06-19,74.91999816894531
2012-06-20,75.1500015258789
2012-06-21,75.06999969482422
2012-06-22,74.87999725341797
2012-06-25,74.58000183105469
2012-06-26,74.54000091552734
2012-06-27,74.80999755859375
2012-06-28,74.81999969482422
2012-06-29,74.9800033569336
2012-07-02,75.30000305175781
2012-07-03,75.5
2012-07-05,75.87999725341797
2012-07-06,76.05000305175781
2012-07-09,76.08999633789062
2012-07-10,75.95999908447266
2012-07-11,76.13999938964844
2012-07-12,76.37999725341797
2012-07-13,76.55000305175781
2012-07-16,76.81999969482422
2012-07-17,76.9000015258789
2012-07-18,77.11000061035156
2012-07-19,77.19999694824219
2012-07-20,77.25
2012-07-23,76.48999786376953
2012-07-24,76.5
2012-07-25,76.3499984741211
2012-07-26,76.4000015258789
2012-07-27,76.56999969482422
2012-07-30,76.93000030517578
2012-07-31,77.12000274658203
2012-08-01,77.1500015258789
2012-08-02,77.19999694824219
2012-08-03,77.5
2012-08-06,77.86000061035156
2012-08-07,77.83000183105469
2012-08-08,77.9800033569336
2012-08-09,77.83999633789062
2012-08-10,77.76000213623047
2012-08-13,77.73999786376953
2012-08-14,77.73999786376953
2012-08-15,78.44000244140625
2012-08-16,77.4000015258789
2012-08-17,77.47000122070312
2012-08-20,77.62000274658203
2012-08-21,77.77999877929688
2012-08-22,77.94999694824219
2012-08-23,78.25
2012-08-24,78.05000305175781
2012-08-27,77.87000274658203
2012-08-28,77.91999816894531
2012-08-29,77.91999816894531
2012-08-30,77.66999816894531
2012-08-31,77.97000122070312
2012-09-04,77.9800033569336
2012-09-05,78.19999694824219
2012-09-06,78.30999755859375
2012-09-07,78.77999877929688
2012-09-10,78.62999725341797
2012-09-11,78.69000244140625
2012-09-12,78.95999908447266
2012-09-13,78.87999725341797
2012-09-14,79.11000061035156
2012-09-17,79.1500015258789
2012-09-18,79.08000183105469
2012-09-19,79.12000274658203
2012-09-20,79.04000091552734
2012-09-21,79.08000183105469
2012-09-24,78.8499984741211
2012-09-25,78.75
2012-09-26,78.68000030517578
2012-09-27,78.7300033569336
2012-09-28,78.87000274658203
2012-10-01,79.06999969482422
2012-10-02,79.20999908447266
2012-10-03,79.3499984741211
2012-10-04,79.47000122070312
2012-10-05,79.62999725341797
2012-10-08,79.5199966430664
2012-10-09,79.62000274658203
2012-10-10,79.91000366210938
