,ESEA
2006-05-05,1514.4000244140625
2006-05-08,780.0
2006-05-09,780.0
2006-05-10,780.0
2006-05-11,780.0
2006-05-12,780.0
2006-05-15,780.0
2006-05-16,780.0
2006-05-17,792.0
2006-05-18,792.0
2006-05-19,792.0
2006-05-22,792.0
2006-05-23,792.0
2006-05-24,792.0
2006-05-25,828.0
2006-05-26,828.0
2006-05-30,840.0
2006-05-31,816.0
2006-06-01,816.0
2006-06-02,828.0
2006-06-05,828.0
2006-06-06,828.0
2006-06-07,828.0
2006-06-08,828.0
2006-06-09,768.0
2006-06-12,768.0
2006-06-13,768.0
2006-06-14,722.4000244140625
2006-06-15,720.0
2006-06-16,720.0
2006-06-19,744.0
2006-06-20,720.0
2006-06-21,720.0
2006-06-22,720.0
2006-06-23,744.0
2006-06-26,744.0
2006-06-27,756.0
2006-06-28,756.0
2006-06-29,744.0
2006-06-30,744.0
2006-07-03,744.0
2006-07-05,744.0
2006-07-06,744.0
2006-07-07,744.0
2006-07-10,744.0
2006-07-11,744.0
2006-07-12,744.0
2006-07-13,744.0
2006-07-14,744.0
2006-07-17,744.0
2006-07-18,744.0
2006-07-19,744.0
2006-07-20,744.0
2006-07-21,744.0
2006-07-24,744.0
2006-07-25,732.0
2006-07-26,732.0
2006-07-27,732.0
2006-07-28,732.0
2006-07-31,732.0
2006-08-01,732.0
2006-08-02,732.0
2006-08-03,732.0
2006-08-04,732.0
2006-08-07,732.0
2006-08-08,732.0
2006-08-09,732.0
2006-08-10,732.0
2006-08-11,732.0
2006-08-14,732.0
2006-08-15,732.0
2006-08-16,732.0
2006-08-17,732.0
2006-08-18,732.0
2006-08-21,732.0
2006-08-22,732.0
2006-08-23,720.0
2006-08-24,720.0
2006-08-25,720.0
2006-08-28,720.0
2006-08-29,720.0
2006-08-30,720.0
2006-08-31,720.0
2006-09-01,720.0
2006-09-05,732.0
2006-09-06,720.0
2006-09-07,720.0
2006-09-08,720.0
2006-09-11,720.0
2006-09-12,720.0
2006-09-13,732.0
2006-09-14,720.0
2006-09-15,708.0
2006-09-18,708.0
2006-09-19,684.0
2006-09-20,684.0
2006-09-21,684.0
2006-09-22,684.0
2006-09-25,696.0
2006-09-26,696.0
2006-09-27,696.0
2006-09-28,732.0
2006-09-29,732.0
2006-10-02,684.0
2006-10-03,684.0
2006-10-04,676.7999877929688
2006-10-05,669.5999755859375
2006-10-06,713.5999755859375
2006-10-09,713.5999755859375
2006-10-10,713.5999755859375
2006-10-11,713.5999755859375
2006-10-12,713.5999755859375
2006-10-13,714.4000244140625
2006-10-16,714.4000244140625
2006-10-17,714.4000244140625
2006-10-18,714.4000244140625
2006-10-19,714.4000244140625
2006-10-20,714.4000244140625
2006-10-23,714.4000244140625
2006-10-24,720.0
2006-10-25,720.0
2006-10-26,720.0
2006-10-27,716.7999877929688
2006-10-30,700.0
2006-10-31,680.0
2006-11-01,664.0
2006-11-02,664.0
2006-11-03,720.0
2006-11-06,660.0
2006-11-07,664.0
2006-11-08,664.0
2006-11-09,664.0
2006-11-10,664.0
2006-11-13,664.0
2006-11-14,664.0
2006-11-15,668.0
2006-11-16,672.0
2006-11-17,480.0
2006-11-20,600.0
2006-11-21,632.0
2006-11-22,632.0
2006-11-24,632.0
2006-11-27,628.0
2006-11-28,608.0
2006-11-29,584.0
2006-11-30,592.0
2006-12-01,592.0
2006-12-04,600.0
2006-12-05,584.0
2006-12-06,584.0
2006-12-07,588.0
2006-12-08,588.0
2006-12-11,564.0
2006-12-12,588.0
2006-12-13,588.0
2006-12-14,560.0
2006-12-15,552.0
2006-12-18,552.0
2006-12-19,540.0
2006-12-20,536.0
2006-12-21,580.0
2006-12-22,564.0
2006-12-26,564.0
2006-12-27,564.0
2006-12-28,560.0
2006-12-29,560.0
2007-01-03,564.0
2007-01-04,560.0
2007-01-05,561.5999755859375
2007-01-08,560.0
2007-01-09,560.0
2007-01-10,560.0
2007-01-11,592.0
2007-01-12,640.0
2007-01-16,660.0
2007-01-17,660.0
2007-01-18,668.0
2007-01-19,668.0
2007-01-22,668.0
2007-01-23,662.4000244140625
2007-01-24,668.0
2007-01-25,680.0
2007-01-26,680.0
2007-01-29,720.0
2007-01-30,716.0
2007-01-31,696.0
2007-02-01,704.0
2007-02-02,744.0
2007-02-05,736.0
2007-02-06,720.0
2007-02-07,720.0
2007-02-08,707.2000122070312
2007-02-09,718.4000244140625
2007-02-12,716.0
2007-02-13,700.7999877929688
2007-02-14,736.0
2007-02-15,736.7999877929688
2007-02-16,740.0
2007-02-20,758.4000244140625
2007-02-21,780.0
2007-02-22,780.0
2007-02-23,796.0
2007-02-26,792.0
2007-02-27,740.0
2007-02-28,776.0
2007-03-01,778.4000244140625
2007-03-02,783.2000122070312
2007-03-05,772.7999877929688
2007-03-06,780.0
2007-03-07,776.0
2007-03-08,774.4000244140625
2007-03-09,779.2000122070312
2007-03-12,764.7999877929688
2007-03-13,741.5999755859375
2007-03-14,728.7999877929688
2007-03-15,743.2000122070312
2007-03-16,740.0
2007-03-19,759.2000122070312
2007-03-20,759.2000122070312
2007-03-21,762.4000244140625
2007-03-22,765.5999755859375
2007-03-23,763.2000122070312
2007-03-26,783.2000122070312
2007-03-27,793.5999755859375
2007-03-28,800.0
2007-03-29,791.2000122070312
2007-03-30,799.2000122070312
2007-04-02,848.0
2007-04-03,828.0
2007-04-04,838.4000244140625
2007-04-05,838.4000244140625
2007-04-09,852.0
2007-04-10,846.4000244140625
2007-04-11,845.5999755859375
2007-04-12,867.2000122070312
2007-04-13,864.0
2007-04-16,880.0
2007-04-17,884.0
2007-04-18,883.2000122070312
2007-04-19,877.5999755859375
2007-04-20,892.0
2007-04-23,911.2000122070312
2007-04-24,916.0
2007-04-25,920.0
2007-04-26,900.7999877929688
2007-04-27,911.2000122070312
2007-04-30,912.0
2007-05-01,866.4000244140625
2007-05-02,889.5999755859375
2007-05-03,908.7999877929688
2007-05-04,910.4000244140625
2007-05-07,879.2000122070312
2007-05-08,908.0
2007-05-09,920.0
2007-05-10,919.2000122070312
2007-05-11,919.2000122070312
2007-05-14,908.7999877929688
2007-05-15,924.0
2007-05-16,924.0
2007-05-17,932.0
2007-05-18,936.7999877929688
2007-05-21,944.0
