,CMLFU
2020-09-02,10.25
2020-09-03,10.369999885559082
2020-09-04,10.319999694824219
2020-09-08,10.350000381469727
2020-09-09,10.279999732971191
2020-09-10,10.329999923706055
2020-09-11,10.390000343322754
2020-09-14,10.38599967956543
2020-09-15,10.720000267028809
2020-09-16,10.670000076293945
2020-09-17,10.600000381469727
2020-09-18,10.600000381469727
2020-09-21,10.979999542236328
2020-09-22,10.800000190734863
2020-09-23,10.739999771118164
2020-09-24,10.6899995803833
2020-09-25,10.569999694824219
2020-09-28,10.4399995803833
2020-09-29,10.479999542236328
2020-09-30,10.470000267028809
2020-10-01,10.467000007629395
2020-10-02,10.300000190734863
2020-10-05,10.3100004196167
2020-10-06,10.25
2020-10-07,10.225000381469727
2020-10-08,10.289999961853027
2020-10-09,10.404999732971191
2020-10-12,10.59000015258789
2020-10-13,10.470000267028809
2020-10-14,10.5
2020-10-15,10.449999809265137
2020-10-16,10.5
2020-10-19,10.5600004196167
2020-10-20,10.520000457763672
2020-10-21,10.470000267028809
2020-10-22,10.515000343322754
2020-10-23,10.539999961853027
2020-10-26,10.369999885559082
2020-10-27,10.411999702453613
2020-10-28,10.369999885559082
2020-10-29,10.260000228881836
2020-10-30,10.25
2020-11-02,10.300000190734863
2020-11-03,10.289999961853027
2020-11-04,10.350000381469727
2020-11-05,10.399999618530273
2020-11-06,10.460000038146973
2020-11-09,10.460000038146973
2020-11-10,10.489999771118164
2020-11-11,10.548999786376953
2020-11-12,10.579999923706055
2020-11-13,10.539999961853027
2020-11-16,10.524999618530273
2020-11-17,10.517999649047852
2020-11-18,10.5649995803833
2020-11-19,10.600000381469727
2020-11-20,10.5600004196167
2020-11-23,10.739999771118164
2020-11-24,10.680000305175781
2020-11-25,10.760000228881836
2020-11-27,10.930000305175781
2020-11-30,10.739999771118164
2020-12-01,10.739999771118164
2020-12-02,10.699999809265137
2020-12-03,10.649999618530273
2020-12-04,10.699999809265137
2020-12-07,10.739999771118164
2020-12-08,10.649999618530273
2020-12-09,11.100000381469727
2020-12-10,11.140000343322754
2020-12-11,10.989999771118164
2020-12-14,11.350000381469727
2020-12-15,11.100000381469727
2020-12-16,11.1899995803833
2020-12-17,11.229999542236328
2020-12-18,11.350000381469727
2020-12-21,11.890000343322754
2020-12-22,12.0
2020-12-23,12.399999618530273
2020-12-24,12.569999694824219
2020-12-28,11.800000190734863
2020-12-29,11.75
2020-12-30,11.869999885559082
2020-12-31,11.600000381469727
2021-01-04,11.420000076293945
2021-01-05,11.699999809265137
2021-01-06,11.770000457763672
2021-01-07,12.130000114440918
2021-01-08,12.380000114440918
2021-01-11,12.460000038146973
2021-01-12,12.789999961853027
2021-01-13,13.510000228881836
2021-01-14,13.109999656677246
2021-01-15,12.739999771118164
2021-01-19,12.550000190734863
2021-01-20,12.899999618530273
2021-01-21,13.0
2021-01-22,13.149999618530273
2021-01-25,13.59000015258789
2021-01-26,14.0
2021-01-27,13.350000381469727
2021-01-28,13.470000267028809
2021-01-29,13.4399995803833
2021-02-01,13.699999809265137
2021-02-02,14.420000076293945
2021-02-03,14.949999809265137
2021-02-04,14.9399995803833
2021-02-05,15.0
2021-02-08,15.470000267028809
2021-02-09,16.959999084472656
2021-02-10,24.770000457763672
2021-02-11,24.850000381469727
2021-02-12,29.649999618530273
2021-02-16,27.979999542236328
2021-02-17,26.790000915527344
2021-02-18,27.420000076293945
2021-02-19,26.5
2021-02-22,24.579999923706055
2021-02-23,22.040000915527344
2021-02-24,22.719999313354492
2021-02-25,21.420000076293945
2021-02-26,22.200000762939453
2021-03-01,23.655000686645508
2021-03-02,22.100000381469727
2021-03-03,20.389999389648438
2021-03-04,17.649999618530273
2021-03-05,18.360000610351562
2021-03-08,17.239999771118164
2021-03-09,18.229999542236328
2021-03-10,18.8799991607666
2021-03-11,19.149999618530273
2021-03-12,19.549999237060547
2021-03-15,20.079999923706055
2021-03-16,19.030000686645508
2021-03-17,18.790000915527344
2021-03-18,17.610000610351562
2021-03-19,18.0
2021-03-22,18.649999618530273
2021-03-23,17.299999237060547
2021-03-24,15.5
2021-03-25,16.43000030517578
2021-03-26,15.859999656677246
2021-03-29,15.359999656677246
2021-03-30,15.569999694824219
2021-03-31,16.450000762939453
2021-04-01,18.40999984741211
2021-04-05,17.200000762939453
2021-04-06,17.260000228881836
2021-04-07,16.829999923706055
2021-04-08,17.450000762939453
2021-04-09,16.579999923706055
2021-04-12,16.06999969482422
2021-04-13,15.920000076293945
2021-04-14,15.600000381469727
2021-04-15,15.1899995803833
2021-04-16,15.489999771118164
2021-04-19,15.279999732971191
2021-04-20,15.069999694824219
2021-04-21,15.8100004196167
2021-04-22,15.420000076293945
2021-04-23,15.420000076293945
2021-04-26,15.9399995803833
2021-04-27,15.09000015258789
2021-04-28,15.149999618530273
2021-04-29,15.149999618530273
2021-04-30,14.84000015258789
2021-05-03,14.885000228881836
2021-05-04,14.25
2021-05-05,13.649999618530273
2021-05-06,12.800000190734863
2021-05-07,13.289999961853027
2021-05-10,12.199999809265137
2021-05-11,11.850000381469727
2021-05-12,12.010000228881836
2021-05-13,12.199999809265137
2021-05-14,12.300000190734863
