,EVAX
2021-02-05,9.890000343322754
2021-02-08,9.949999809265137
2021-02-09,9.350000381469727
2021-02-10,9.399999618530273
2021-02-11,9.119999885559082
2021-02-12,9.180000305175781
2021-02-16,8.75
2021-02-17,8.239999771118164
2021-02-18,8.6899995803833
2021-02-19,8.399999618530273
2021-02-22,8.170000076293945
2021-02-23,7.28000020980835
2021-02-24,7.5
2021-02-25,7.409999847412109
2021-02-26,6.980000019073486
2021-03-01,7.079999923706055
2021-03-02,7.75
2021-03-03,7.059999942779541
2021-03-04,7.099999904632568
2021-03-05,7.03000020980835
2021-03-08,7.539999961853027
2021-03-09,7.539999961853027
2021-03-10,7.619999885559082
2021-03-11,7.510000228881836
2021-03-12,7.260000228881836
2021-03-15,7.800000190734863
2021-03-16,7.590000152587891
2021-03-17,7.760000228881836
2021-03-18,7.5
2021-03-19,7.630000114440918
2021-03-22,7.769999980926514
2021-03-23,7.199999809265137
2021-03-24,6.619999885559082
2021-03-25,6.519999980926514
2021-03-26,6.03000020980835
2021-03-29,5.400000095367432
2021-03-30,5.300000190734863
2021-03-31,5.900000095367432
2021-04-01,5.309999942779541
2021-04-05,5.199999809265137
2021-04-06,5.289999961853027
2021-04-07,5.440000057220459
2021-04-08,5.53000020980835
2021-04-09,6.090000152587891
2021-04-12,6.400000095367432
2021-04-13,6.510000228881836
2021-04-14,7.329999923706055
2021-04-15,7.71999979019165
2021-04-16,6.519999980926514
2021-04-19,6.849999904632568
2021-04-20,7.159999847412109
2021-04-21,7.0
2021-04-22,6.960000038146973
2021-04-23,6.929999828338623
2021-04-26,7.409999847412109
2021-04-27,7.829999923706055
2021-04-28,7.699999809265137
2021-04-29,7.340000152587891
2021-04-30,7.130000114440918
2021-05-03,7.0
2021-05-04,6.96999979019165
2021-05-05,6.75
2021-05-06,6.579999923706055
2021-05-07,6.630000114440918
2021-05-10,6.289999961853027
2021-05-11,5.949999809265137
2021-05-12,5.599999904632568
2021-05-13,5.300000190734863
2021-05-14,5.599999904632568
