,STAN
2010-06-11,103.44999694824219
2010-06-14,101.55000305175781
2010-06-15,102.94999694824219
2010-06-16,104.25
2010-06-17,105.3499984741211
2010-06-18,106.19999694824219
2010-06-21,108.94999694824219
2010-06-22,107.05000305175781
2010-06-23,108.69999694824219
2010-06-24,109.0999984741211
2010-06-25,109.69999694824219
2010-06-28,108.80000305175781
2010-06-29,106.44999694824219
2010-06-30,107.55000305175781
2010-07-01,103.80000305175781
2010-07-02,105.8499984741211
2010-07-06,107.19999694824219
2010-07-07,106.55000305175781
2010-07-08,110.94999694824219
2010-07-09,109.30000305175781
2010-07-12,108.44999694824219
2010-07-13,112.19999694824219
2010-07-14,111.9000015258789
2010-07-15,112.0
2010-07-16,111.69999694824219
2010-07-19,111.9000015258789
2010-07-20,111.9000015258789
2010-07-21,110.9000015258789
2010-07-22,113.9000015258789
2010-07-23,116.30000305175781
2010-07-26,116.05000305175781
2010-07-27,118.5
2010-07-28,120.0
2010-07-29,120.80000305175781
2010-07-30,120.1500015258789
2010-08-02,123.5
2010-08-03,123.30000305175781
2010-08-04,117.9000015258789
2010-08-05,119.5
2010-08-06,119.69999694824219
2010-08-09,120.0
2010-08-10,118.5999984741211
2010-08-11,115.4000015258789
2010-08-12,113.94999694824219
2010-08-13,114.30000305175781
2010-08-16,113.30000305175781
2010-08-17,114.8499984741211
2010-08-18,115.30000305175781
2010-08-19,116.1500015258789
2010-08-20,113.55000305175781
2010-08-23,113.05000305175781
2010-08-24,112.0999984741211
2010-08-25,111.30000305175781
2010-08-26,112.69999694824219
2010-08-27,113.69999694824219
2010-08-30,114.5
2010-08-31,113.44999694824219
2010-09-01,114.94999694824219
2010-09-02,120.1500015258789
2010-09-03,119.0999984741211
2010-09-07,117.1500015258789
2010-09-08,115.75
2010-09-09,118.6500015258789
2010-09-10,
2010-09-13,121.0
2010-09-14,120.5
2010-09-15,121.6500015258789
2010-09-16,120.8499984741211
2010-09-17,120.44999694824219
2010-09-20,117.9000015258789
2010-09-21,119.1500015258789
2010-09-22,119.30000305175781
2010-09-23,118.1500015258789
2010-09-24,119.1500015258789
2010-09-27,121.3499984741211
2010-09-28,119.0999984741211
2010-09-29,119.94999694824219
