,DCT
2020-08-14,40.0
2020-08-17,38.84000015258789
2020-08-18,39.59000015258789
2020-08-19,41.25
2020-08-20,41.93000030517578
2020-08-21,41.0
2020-08-24,40.18000030517578
2020-08-25,40.16999816894531
2020-08-26,41.36000061035156
2020-08-27,40.27000045776367
2020-08-28,41.220001220703125
2020-08-31,38.9900016784668
2020-09-01,37.810001373291016
2020-09-02,37.5
2020-09-03,37.209999084472656
2020-09-04,36.619998931884766
2020-09-08,37.310001373291016
2020-09-09,38.36000061035156
2020-09-10,38.7400016784668
2020-09-11,39.34000015258789
2020-09-14,40.91999816894531
2020-09-15,42.06999969482422
2020-09-16,40.689998626708984
2020-09-17,40.77000045776367
2020-09-18,40.40999984741211
2020-09-21,40.95000076293945
2020-09-22,41.0099983215332
2020-09-23,41.70000076293945
2020-09-24,40.880001068115234
2020-09-25,42.220001220703125
2020-09-28,44.099998474121094
2020-09-29,43.52000045776367
2020-09-30,45.43000030517578
2020-10-01,44.65999984741211
2020-10-02,42.90999984741211
2020-10-05,42.130001068115234
2020-10-06,40.11000061035156
2020-10-07,40.0
2020-10-08,40.099998474121094
2020-10-09,40.290000915527344
2020-10-12,42.209999084472656
2020-10-13,43.400001525878906
2020-10-14,42.83000183105469
2020-10-15,43.099998474121094
2020-10-16,45.689998626708984
2020-10-19,44.119998931884766
2020-10-20,43.779998779296875
2020-10-21,45.0099983215332
2020-10-22,45.22999954223633
2020-10-23,46.33000183105469
2020-10-26,45.31999969482422
2020-10-27,44.95000076293945
2020-10-28,44.08000183105469
2020-10-29,43.689998626708984
2020-10-30,43.369998931884766
2020-11-02,43.41999816894531
2020-11-03,43.56999969482422
2020-11-04,45.11000061035156
2020-11-05,46.75
2020-11-06,47.18000030517578
2020-11-09,44.88999938964844
2020-11-10,42.599998474121094
2020-11-11,40.0
2020-11-12,39.959999084472656
2020-11-13,39.5
2020-11-16,40.86000061035156
2020-11-17,40.439998626708984
2020-11-18,39.599998474121094
2020-11-19,39.349998474121094
2020-11-20,41.380001068115234
2020-11-23,42.560001373291016
2020-11-24,41.40999984741211
2020-11-25,39.7599983215332
2020-11-27,40.470001220703125
2020-11-30,39.7599983215332
2020-12-01,39.75
2020-12-02,39.54999923706055
2020-12-03,40.310001373291016
2020-12-04,41.619998931884766
2020-12-07,38.900001525878906
2020-12-08,39.58000183105469
2020-12-09,39.36000061035156
2020-12-10,39.189998626708984
2020-12-11,39.36000061035156
2020-12-14,40.810001373291016
2020-12-15,40.59000015258789
2020-12-16,41.779998779296875
2020-12-17,42.849998474121094
2020-12-18,45.29999923706055
2020-12-21,44.43000030517578
2020-12-22,45.720001220703125
2020-12-23,43.130001068115234
2020-12-24,43.77000045776367
2020-12-28,43.95000076293945
2020-12-29,42.38999938964844
2020-12-30,42.720001220703125
2020-12-31,43.29999923706055
2021-01-04,41.47999954223633
2021-01-05,42.150001525878906
2021-01-06,40.650001525878906
2021-01-07,42.099998474121094
2021-01-08,43.58000183105469
2021-01-11,44.720001220703125
2021-01-12,44.90999984741211
2021-01-13,47.38999938964844
2021-01-14,46.93000030517578
2021-01-15,45.75
2021-01-19,48.08000183105469
2021-01-20,49.41999816894531
2021-01-21,50.209999084472656
2021-01-22,49.959999084472656
2021-01-25,51.91999816894531
2021-01-26,52.849998474121094
2021-01-27,49.06999969482422
2021-01-28,46.95000076293945
2021-01-29,48.34000015258789
2021-02-01,52.130001068115234
2021-02-02,50.15999984741211
2021-02-03,52.22999954223633
2021-02-04,54.56999969482422
2021-02-05,54.349998474121094
2021-02-08,54.349998474121094
2021-02-09,56.439998626708984
2021-02-10,59.36000061035156
2021-02-11,58.04999923706055
2021-02-12,58.040000915527344
2021-02-16,58.29999923706055
2021-02-17,57.83000183105469
2021-02-18,56.95000076293945
2021-02-19,53.849998474121094
2021-02-22,52.279998779296875
2021-02-23,49.619998931884766
2021-02-24,49.66999816894531
2021-02-25,47.5
2021-02-26,47.29999923706055
2021-03-01,49.459999084472656
2021-03-02,49.52000045776367
2021-03-03,46.7400016784668
2021-03-04,44.4900016784668
2021-03-05,43.47999954223633
2021-03-08,42.25
2021-03-09,45.27000045776367
2021-03-10,45.52000045776367
2021-03-11,47.0
2021-03-12,46.31999969482422
2021-03-15,46.779998779296875
2021-03-16,44.90999984741211
2021-03-17,46.63999938964844
2021-03-18,42.81999969482422
2021-03-19,43.86000061035156
2021-03-22,44.11000061035156
2021-03-23,42.650001525878906
2021-03-24,42.779998779296875
2021-03-25,42.81999969482422
2021-03-26,43.5
2021-03-29,42.13999938964844
2021-03-30,42.689998626708984
2021-03-31,45.13999938964844
2021-04-01,44.959999084472656
2021-04-05,44.599998474121094
2021-04-06,43.58000183105469
2021-04-07,41.65999984741211
2021-04-08,42.9900016784668
2021-04-09,42.150001525878906
2021-04-12,42.209999084472656
2021-04-13,43.599998474121094
2021-04-14,43.150001525878906
2021-04-15,43.7400016784668
2021-04-16,44.849998474121094
2021-04-19,42.900001525878906
2021-04-20,42.439998626708984
2021-04-21,42.119998931884766
2021-04-22,42.459999084472656
2021-04-23,43.02000045776367
2021-04-26,43.97999954223633
2021-04-27,43.029998779296875
2021-04-28,43.459999084472656
2021-04-29,42.709999084472656
2021-04-30,41.58000183105469
2021-05-03,40.08000183105469
2021-05-04,40.41999816894531
2021-05-05,40.77000045776367
2021-05-06,37.849998474121094
2021-05-07,38.56999969482422
2021-05-10,37.52000045776367
2021-05-11,37.029998779296875
2021-05-12,36.65999984741211
2021-05-13,35.220001220703125
2021-05-14,36.540000915527344
