,ACHL
2021-03-31,16.549999237060547
2021-04-01,16.0
2021-04-05,14.920000076293945
2021-04-06,17.860000610351562
2021-04-07,15.609999656677246
2021-04-08,14.510000228881836
2021-04-09,13.779999732971191
2021-04-12,13.050000190734863
2021-04-13,12.970000267028809
2021-04-14,13.729999542236328
2021-04-15,14.600000381469727
2021-04-16,15.149999618530273
2021-04-19,15.510000228881836
2021-04-20,15.760000228881836
2021-04-21,16.0
2021-04-22,16.06999969482422
2021-04-23,16.600000381469727
2021-04-26,16.75
2021-04-27,16.959999084472656
2021-04-28,16.31999969482422
2021-04-29,16.020000457763672
2021-04-30,15.550000190734863
2021-05-03,15.529999732971191
2021-05-04,15.399999618530273
2021-05-05,15.890000343322754
2021-05-06,14.289999961853027
2021-05-07,14.170000076293945
2021-05-10,13.399999618530273
2021-05-11,13.699999809265137
2021-05-12,13.010000228881836
2021-05-13,12.609999656677246
2021-05-14,13.029999732971191
