,CLMT
2006-01-26,21.75
2006-01-27,22.200000762939453
2006-01-30,23.0
2006-01-31,23.700000762939453
2006-02-01,23.899999618530273
2006-02-02,24.0
2006-02-03,23.989999771118164
2006-02-06,24.5
2006-02-07,24.399999618530273
2006-02-08,24.450000762939453
2006-02-09,24.149999618530273
2006-02-10,23.510000228881836
2006-02-13,23.5
2006-02-14,22.889999389648438
2006-02-15,22.600000381469727
2006-02-16,23.5
2006-02-17,23.049999237060547
2006-02-21,23.770000457763672
2006-02-22,23.299999237060547
2006-02-23,24.43000030517578
2006-02-24,24.950000762939453
2006-02-27,23.700000762939453
2006-02-28,23.700000762939453
2006-03-01,23.719999313354492
2006-03-02,24.0
2006-03-03,24.040000915527344
2006-03-06,24.239999771118164
2006-03-07,26.0
2006-03-08,25.440000534057617
2006-03-09,25.75
2006-03-10,25.6200008392334
2006-03-13,25.829999923706055
2006-03-14,25.420000076293945
2006-03-15,25.219999313354492
2006-03-16,25.5
2006-03-17,25.5
2006-03-20,26.010000228881836
2006-03-21,25.889999389648438
2006-03-22,26.399999618530273
2006-03-23,26.889999389648438
2006-03-24,26.420000076293945
2006-03-27,26.5
2006-03-28,26.5
2006-03-29,26.799999237060547
2006-03-30,27.079999923706055
2006-03-31,27.809999465942383
2006-04-03,27.850000381469727
2006-04-04,28.649999618530273
2006-04-05,28.229999542236328
2006-04-06,28.5
2006-04-07,29.0
2006-04-10,29.040000915527344
2006-04-11,28.31999969482422
2006-04-12,28.600000381469727
2006-04-13,29.139999389648438
2006-04-17,29.649999618530273
2006-04-18,28.670000076293945
2006-04-19,28.600000381469727
2006-04-20,28.739999771118164
2006-04-21,28.559999465942383
2006-04-24,29.059999465942383
2006-04-25,29.969999313354492
2006-04-26,30.200000762939453
2006-04-27,30.100000381469727
2006-04-28,30.299999237060547
2006-05-01,30.299999237060547
2006-05-02,30.350000381469727
2006-05-03,30.469999313354492
2006-05-04,30.940000534057617
2006-05-05,30.5
2006-05-08,31.299999237060547
2006-05-09,31.799999237060547
2006-05-10,33.150001525878906
2006-05-11,32.25
2006-05-12,32.099998474121094
2006-05-15,32.459999084472656
2006-05-16,33.2400016784668
2006-05-17,33.540000915527344
2006-05-18,33.38999938964844
2006-05-19,31.989999771118164
2006-05-22,30.020000457763672
2006-05-23,30.700000762939453
2006-05-24,31.420000076293945
2006-05-25,31.700000762939453
2006-05-26,32.13999938964844
2006-05-30,32.41999816894531
2006-05-31,32.0
2006-06-01,32.0
2006-06-02,33.0099983215332
2006-06-05,34.66999816894531
2006-06-06,34.81999969482422
2006-06-07,35.150001525878906
2006-06-08,35.52000045776367
2006-06-09,36.150001525878906
2006-06-12,36.16999816894531
2006-06-13,34.529998779296875
2006-06-14,33.4900016784668
2006-06-15,32.33000183105469
2006-06-16,33.16999816894531
2006-06-19,33.369998931884766
2006-06-20,33.459999084472656
2006-06-21,33.56999969482422
2006-06-22,33.0
2006-06-23,33.400001525878906
2006-06-26,32.099998474121094
2006-06-27,31.93000030517578
2006-06-28,32.939998626708984
2006-06-29,31.049999237060547
2006-06-30,31.729999542236328
2006-07-03,31.34000015258789
2006-07-05,31.0
2006-07-06,31.0
2006-07-07,30.770000457763672
2006-07-10,30.5
2006-07-11,30.649999618530273
2006-07-12,30.93000030517578
2006-07-13,30.600000381469727
2006-07-14,30.25
2006-07-17,30.219999313354492
2006-07-18,30.149999618530273
2006-07-19,30.40999984741211
2006-07-20,30.299999237060547
2006-07-21,30.31999969482422
2006-07-24,30.309999465942383
2006-07-25,30.81999969482422
2006-07-26,30.899999618530273
2006-07-27,30.239999771118164
2006-07-28,30.110000610351562
2006-07-31,30.399999618530273
2006-08-01,30.549999237060547
2006-08-02,29.75
2006-08-03,29.90999984741211
2006-08-04,29.520000457763672
2006-08-07,30.100000381469727
2006-08-08,30.0
2006-08-09,30.200000762939453
2006-08-10,30.5
2006-08-11,30.8799991607666
2006-08-14,30.43000030517578
2006-08-15,30.3700008392334
2006-08-16,30.100000381469727
2006-08-17,30.170000076293945
2006-08-18,31.0
2006-08-21,31.209999084472656
2006-08-22,31.170000076293945
2006-08-23,31.75
2006-08-24,31.729999542236328
2006-08-25,32.18000030517578
2006-08-28,32.310001373291016
2006-08-29,32.25
2006-08-30,32.20000076293945
2006-08-31,32.220001220703125
2006-09-01,31.899999618530273
2006-09-05,32.0
2006-09-06,31.540000915527344
2006-09-07,31.40999984741211
2006-09-08,32.150001525878906
2006-09-11,31.25
2006-09-12,31.100000381469727
2006-09-13,30.93000030517578
2006-09-14,30.8799991607666
2006-09-15,31.25
2006-09-18,30.770000457763672
2006-09-19,30.0
2006-09-20,30.149999618530273
2006-09-21,30.309999465942383
2006-09-22,30.0
2006-09-25,29.860000610351562
2006-09-26,30.350000381469727
2006-09-27,30.579999923706055
2006-09-28,30.309999465942383
2006-09-29,31.950000762939453
2006-10-02,30.780000686645508
2006-10-03,30.350000381469727
2006-10-04,30.329999923706055
2006-10-05,31.0
2006-10-06,30.700000762939453
2006-10-09,30.75
2006-10-10,31.25
2006-10-11,31.25
2006-10-12,31.299999237060547
2006-10-13,32.150001525878906
2006-10-16,32.41999816894531
2006-10-17,32.65999984741211
2006-10-18,32.689998626708984
2006-10-19,32.540000915527344
2006-10-20,32.61000061035156
2006-10-23,32.45000076293945
2006-10-24,32.45000076293945
2006-10-25,32.349998474121094
2006-10-26,32.40999984741211
2006-10-27,32.790000915527344
2006-10-30,32.9900016784668
2006-10-31,33.04999923706055
2006-11-01,32.11000061035156
2006-11-02,32.130001068115234
2006-11-03,32.29999923706055
2006-11-06,32.29999923706055
2006-11-07,32.29999923706055
2006-11-08,32.9900016784668
2006-11-09,32.650001525878906
2006-11-10,32.599998474121094
2006-11-13,33.84000015258789
2006-11-14,33.779998779296875
2006-11-15,33.77000045776367
2006-11-16,33.630001068115234
2006-11-17,33.630001068115234
2006-11-20,34.349998474121094
2006-11-21,35.150001525878906
2006-11-22,35.400001525878906
2006-11-24,36.099998474121094
2006-11-27,37.0
2006-11-28,37.47999954223633
2006-11-29,38.25
2006-11-30,38.08000183105469
2006-12-01,36.9900016784668
2006-12-04,37.5
2006-12-05,38.900001525878906
2006-12-06,40.279998779296875
2006-12-07,40.900001525878906
2006-12-08,41.59000015258789
2006-12-11,41.27000045776367
2006-12-12,41.7599983215332
2006-12-13,42.0
2006-12-14,41.939998626708984
2006-12-15,42.0
2006-12-18,41.68000030517578
2006-12-19,40.0099983215332
2006-12-20,40.20000076293945
2006-12-21,39.540000915527344
2006-12-22,39.75
2006-12-26,39.7599983215332
2006-12-27,38.70000076293945
2006-12-28,39.09000015258789
2006-12-29,40.040000915527344
2007-01-03,40.5
2007-01-04,40.439998626708984
2007-01-05,40.709999084472656
2007-01-08,41.959999084472656
2007-01-09,40.84000015258789
2007-01-10,40.720001220703125
2007-01-11,41.0
2007-01-12,41.209999084472656
2007-01-16,40.93000030517578
