,WIX
2013-11-06,16.309999465942383
2013-11-07,16.559999465942383
2013-11-08,17.299999237060547
2013-11-11,17.940000534057617
2013-11-12,17.549999237060547
2013-11-13,17.270000457763672
2013-11-14,17.34000015258789
2013-11-15,17.65999984741211
2013-11-18,18.739999771118164
2013-11-19,18.110000610351562
2013-11-20,18.40999984741211
2013-11-21,18.299999237060547
2013-11-22,18.170000076293945
2013-11-25,18.299999237060547
2013-11-26,18.209999084472656
2013-11-27,19.530000686645508
2013-11-29,20.5
2013-12-02,22.940000534057617
2013-12-03,22.06999969482422
2013-12-04,21.030000686645508
2013-12-05,21.93000030517578
2013-12-06,23.889999389648438
2013-12-09,24.639999389648438
2013-12-10,25.190000534057617
2013-12-11,24.989999771118164
2013-12-12,23.959999084472656
2013-12-13,24.229999542236328
2013-12-16,25.90999984741211
2013-12-17,27.6200008392334
2013-12-18,27.920000076293945
2013-12-19,26.8700008392334
2013-12-20,27.959999084472656
2013-12-23,27.739999771118164
2013-12-24,27.81999969482422
2013-12-26,28.489999771118164
2013-12-27,28.15999984741211
2013-12-30,27.770000457763672
2013-12-31,26.850000381469727
2014-01-02,25.780000686645508
2014-01-03,25.030000686645508
2014-01-06,24.43000030517578
2014-01-07,24.049999237060547
2014-01-08,24.299999237060547
2014-01-09,26.059999465942383
2014-01-10,26.450000762939453
2014-01-13,26.889999389648438
2014-01-14,27.389999389648438
2014-01-15,27.43000030517578
2014-01-16,27.579999923706055
2014-01-17,28.450000762939453
2014-01-21,28.850000381469727
2014-01-22,29.5
2014-01-23,30.06999969482422
2014-01-24,28.329999923706055
2014-01-27,27.09000015258789
2014-01-28,27.549999237060547
2014-01-29,26.989999771118164
2014-01-30,27.90999984741211
2014-01-31,28.65999984741211
2014-02-03,27.010000228881836
2014-02-04,26.219999313354492
2014-02-05,25.290000915527344
2014-02-06,25.579999923706055
2014-02-07,28.139999389648438
2014-02-10,28.510000228881836
2014-02-11,29.770000457763672
2014-02-12,29.809999465942383
2014-02-13,29.450000762939453
2014-02-14,29.040000915527344
2014-02-18,28.280000686645508
2014-02-19,27.940000534057617
2014-02-20,28.979999542236328
2014-02-21,29.350000381469727
2014-02-24,29.1200008392334
2014-02-25,31.229999542236328
2014-02-26,31.209999084472656
2014-02-27,31.31999969482422
2014-02-28,30.899999618530273
2014-03-03,29.889999389648438
2014-03-04,30.34000015258789
2014-03-05,29.219999313354492
2014-03-06,29.649999618530273
2014-03-07,28.15999984741211
2014-03-10,26.8700008392334
2014-03-11,26.549999237060547
2014-03-12,27.350000381469727
2014-03-13,26.350000381469727
2014-03-14,26.399999618530273
2014-03-17,26.780000686645508
2014-03-18,26.799999237060547
2014-03-19,26.6299991607666
2014-03-20,26.559999465942383
2014-03-21,25.68000030517578
2014-03-24,23.209999084472656
2014-03-25,23.5
2014-03-26,22.40999984741211
2014-03-27,20.200000762939453
2014-03-28,21.020000457763672
2014-03-31,22.969999313354492
2014-04-01,22.610000610351562
2014-04-02,22.5
2014-04-03,22.790000915527344
2014-04-04,21.440000534057617
2014-04-07,21.010000228881836
2014-04-08,21.100000381469727
2014-04-09,22.75
2014-04-10,22.549999237060547
2014-04-11,21.3700008392334
2014-04-14,21.0
2014-04-15,21.209999084472656
2014-04-16,21.25
2014-04-17,21.450000762939453
2014-04-21,21.290000915527344
2014-04-22,22.0
2014-04-23,21.81999969482422
2014-04-24,21.149999618530273
2014-04-25,20.520000457763672
2014-04-28,19.940000534057617
2014-04-29,19.8799991607666
2014-04-30,20.489999771118164
2014-05-01,20.239999771118164
2014-05-02,19.90999984741211
2014-05-05,19.84000015258789
2014-05-06,19.260000228881836
2014-05-07,18.440000534057617
2014-05-08,17.239999771118164
2014-05-09,16.520000457763672
2014-05-12,17.43000030517578
2014-05-13,16.84000015258789
2014-05-14,16.219999313354492
2014-05-15,14.760000228881836
2014-05-16,15.430000305175781
2014-05-19,15.949999809265137
2014-05-20,15.619999885559082
2014-05-21,15.569999694824219
2014-05-22,15.930000305175781
2014-05-23,15.430000305175781
2014-05-27,16.649999618530273
2014-05-28,17.84000015258789
2014-05-29,17.8799991607666
2014-05-30,17.860000610351562
2014-06-02,17.700000762939453
2014-06-03,16.59000015258789
2014-06-04,16.549999237060547
2014-06-05,16.700000762939453
2014-06-06,17.010000228881836
2014-06-09,17.489999771118164
2014-06-10,18.030000686645508
2014-06-11,17.829999923706055
2014-06-12,17.760000228881836
2014-06-13,17.93000030517578
2014-06-16,17.59000015258789
2014-06-17,17.6299991607666
2014-06-18,17.760000228881836
2014-06-19,17.6200008392334
2014-06-20,17.540000915527344
2014-06-23,17.770000457763672
2014-06-24,20.040000915527344
2014-06-25,20.059999465942383
2014-06-26,20.049999237060547
2014-06-27,19.989999771118164
2014-06-30,19.84000015258789
2014-07-01,20.229999542236328
2014-07-02,19.90999984741211
2014-07-03,20.09000015258789
2014-07-07,20.0
2014-07-08,19.309999465942383
2014-07-09,19.93000030517578
2014-07-10,19.170000076293945
2014-07-11,19.100000381469727
2014-07-14,19.239999771118164
2014-07-15,18.329999923706055
2014-07-16,18.06999969482422
2014-07-17,17.920000076293945
2014-07-18,17.829999923706055
2014-07-21,17.360000610351562
2014-07-22,17.920000076293945
2014-07-23,17.700000762939453
2014-07-24,17.760000228881836
2014-07-25,17.6299991607666
2014-07-28,17.190000534057617
2014-07-29,17.75
2014-07-30,17.469999313354492
2014-07-31,16.950000762939453
2014-08-01,16.149999618530273
2014-08-04,16.329999923706055
2014-08-05,17.360000610351562
2014-08-06,17.6200008392334
2014-08-07,16.780000686645508
2014-08-08,16.520000457763672
2014-08-11,16.5
2014-08-12,16.200000762939453
2014-08-13,16.790000915527344
2014-08-14,16.709999084472656
2014-08-15,16.739999771118164
2014-08-18,17.489999771118164
2014-08-19,17.450000762939453
2014-08-20,16.899999618530273
2014-08-21,17.600000381469727
2014-08-22,16.770000457763672
2014-08-25,16.920000076293945
2014-08-26,16.739999771118164
2014-08-27,16.5
2014-08-28,16.229999542236328
2014-08-29,16.459999084472656
2014-09-02,16.6299991607666
2014-09-03,16.700000762939453
2014-09-04,16.559999465942383
2014-09-05,16.200000762939453
2014-09-08,16.889999389648438
2014-09-09,16.8700008392334
2014-09-10,16.84000015258789
2014-09-11,17.81999969482422
2014-09-12,17.979999542236328
2014-09-15,17.5
2014-09-16,17.6200008392334
2014-09-17,17.68000030517578
2014-09-18,17.540000915527344
2014-09-19,17.440000534057617
2014-09-22,16.610000610351562
2014-09-23,16.549999237060547
2014-09-24,16.540000915527344
2014-09-25,16.1299991607666
2014-09-26,16.06999969482422
2014-09-29,16.760000228881836
2014-09-30,16.25
2014-10-01,16.68000030517578
2014-10-02,16.829999923706055
2014-10-03,17.829999923706055
