,BPY
2013-03-22,22.030000686645508
2013-03-25,21.639999389648438
2013-03-26,21.280000686645508
2013-03-27,21.360000610351562
2013-03-28,21.260000228881836
2013-04-01,21.700000762939453
2013-04-02,22.549999237060547
2013-04-03,22.899999618530273
2013-04-04,22.75
2013-04-05,22.639999389648438
2013-04-08,22.479999542236328
2013-04-09,22.270000457763672
2013-04-10,21.899999618530273
2013-04-11,22.09000015258789
2013-04-12,21.110000610351562
2013-04-15,22.309999465942383
2013-04-16,22.049999237060547
2013-04-17,21.93000030517578
2013-04-18,21.690000534057617
2013-04-19,21.469999313354492
2013-04-22,21.040000915527344
2013-04-23,21.110000610351562
2013-04-24,21.010000228881836
2013-04-25,21.350000381469727
2013-04-26,21.149999618530273
2013-04-29,21.549999237060547
2013-04-30,22.079999923706055
2013-05-01,22.520000457763672
2013-05-02,22.8700008392334
2013-05-03,22.5
2013-05-06,22.469999313354492
2013-05-07,22.68000030517578
2013-05-08,22.899999618530273
2013-05-09,22.549999237060547
2013-05-10,22.520000457763672
2013-05-13,22.549999237060547
2013-05-14,22.6200008392334
2013-05-15,22.639999389648438
2013-05-16,22.780000686645508
2013-05-17,22.56999969482422
2013-05-20,22.81999969482422
2013-05-21,23.639999389648438
2013-05-22,23.290000915527344
2013-05-23,23.270000457763672
2013-05-24,22.899999618530273
2013-05-28,22.8700008392334
2013-05-29,22.209999084472656
2013-05-30,22.09000015258789
2013-05-31,21.5
2013-06-03,21.15999984741211
2013-06-04,20.940000534057617
2013-06-05,20.899999618530273
2013-06-06,20.979999542236328
2013-06-07,21.100000381469727
2013-06-10,20.899999618530273
2013-06-11,20.979999542236328
2013-06-12,21.030000686645508
2013-06-13,21.229999542236328
2013-06-14,20.889999389648438
2013-06-17,20.90999984741211
2013-06-18,20.920000076293945
2013-06-19,20.600000381469727
2013-06-20,20.09000015258789
2013-06-21,20.079999923706055
2013-06-24,19.56999969482422
2013-06-25,20.030000686645508
2013-06-26,20.290000915527344
2013-06-27,20.219999313354492
2013-06-28,20.299999237060547
2013-07-01,20.1299991607666
2013-07-02,20.110000610351562
2013-07-03,20.1200008392334
2013-07-05,20.34000015258789
2013-07-08,20.290000915527344
2013-07-09,20.280000686645508
2013-07-10,19.989999771118164
2013-07-11,20.520000457763672
2013-07-12,20.979999542236328
2013-07-15,21.06999969482422
2013-07-16,21.350000381469727
2013-07-17,20.81999969482422
2013-07-18,20.950000762939453
2013-07-19,20.899999618530273
2013-07-22,20.8700008392334
2013-07-23,21.0
2013-07-24,21.280000686645508
2013-07-25,21.170000076293945
2013-07-26,21.280000686645508
2013-07-29,21.309999465942383
2013-07-30,21.139999389648438
2013-07-31,20.809999465942383
2013-08-01,20.3700008392334
2013-08-02,20.510000228881836
2013-08-05,20.649999618530273
2013-08-06,20.329999923706055
2013-08-07,20.200000762939453
2013-08-08,20.270000457763672
2013-08-09,20.399999618530273
2013-08-12,20.40999984741211
2013-08-13,20.540000915527344
2013-08-14,20.700000762939453
2013-08-15,20.3799991607666
2013-08-16,20.25
2013-08-19,20.229999542236328
2013-08-20,20.5
2013-08-21,20.100000381469727
2013-08-22,20.010000228881836
2013-08-23,20.079999923706055
2013-08-26,19.799999237060547
2013-08-27,19.389999389648438
2013-08-28,18.93000030517578
2013-08-29,19.049999237060547
2013-08-30,19.1200008392334
2013-09-03,18.940000534057617
2013-09-04,18.989999771118164
2013-09-05,19.170000076293945
2013-09-06,19.229999542236328
2013-09-09,19.1200008392334
2013-09-10,18.860000610351562
