,CELC
2017-09-20,14.289999961853027
2017-09-21,13.40999984741211
2017-09-22,13.630000114440918
2017-09-25,13.920000076293945
2017-09-26,13.979999542236328
2017-09-27,13.0
2017-09-28,11.9399995803833
2017-09-29,12.239999771118164
2017-10-02,12.119999885559082
2017-10-03,12.819999694824219
2017-10-04,12.609999656677246
2017-10-05,12.569999694824219
2017-10-06,13.0600004196167
2017-10-09,12.670000076293945
2017-10-10,12.800000190734863
2017-10-11,13.930000305175781
2017-10-12,14.199999809265137
2017-10-13,15.300000190734863
2017-10-16,15.479999542236328
2017-10-17,15.949999809265137
2017-10-18,16.360000610351562
2017-10-19,16.229999542236328
2017-10-20,16.239999771118164
2017-10-23,15.880000114440918
2017-10-24,15.970000267028809
2017-10-25,16.399999618530273
2017-10-26,16.110000610351562
2017-10-27,16.34000015258789
2017-10-30,18.260000228881836
2017-10-31,17.989999771118164
2017-11-01,18.579999923706055
2017-11-02,18.549999237060547
2017-11-03,19.829999923706055
2017-11-06,21.350000381469727
2017-11-07,20.59000015258789
2017-11-08,20.290000915527344
2017-11-09,20.3799991607666
2017-11-10,21.649999618530273
2017-11-13,21.0
2017-11-14,20.440000534057617
2017-11-15,20.239999771118164
2017-11-16,19.979999542236328
2017-11-17,18.25
2017-11-20,17.200000762939453
2017-11-21,18.09000015258789
2017-11-22,19.100000381469727
2017-11-24,18.43000030517578
2017-11-27,18.780000686645508
2017-11-28,18.75
2017-11-29,17.59000015258789
2017-11-30,18.399999618530273
2017-12-01,18.0
2017-12-04,17.90999984741211
2017-12-05,18.270000457763672
2017-12-06,17.850000381469727
2017-12-07,17.989999771118164
2017-12-08,18.110000610351562
2017-12-11,17.979999542236328
2017-12-12,18.110000610351562
2017-12-13,18.790000915527344
2017-12-14,19.5
2017-12-15,18.780000686645508
2017-12-18,19.1200008392334
2017-12-19,19.350000381469727
2017-12-20,19.0
2017-12-21,18.8799991607666
2017-12-22,19.049999237060547
2017-12-26,19.0
2017-12-27,19.0
2017-12-28,18.979999542236328
2017-12-29,18.950000762939453
2018-01-02,20.520000457763672
2018-01-03,20.31999969482422
2018-01-04,20.979999542236328
2018-01-05,21.299999237060547
2018-01-08,20.59000015258789
2018-01-09,20.079999923706055
2018-01-10,20.0
2018-01-11,19.5
2018-01-12,19.639999389648438
2018-01-16,19.18000030517578
2018-01-17,19.510000228881836
2018-01-18,19.450000762939453
2018-01-19,19.190000534057617
2018-01-22,19.469999313354492
2018-01-23,19.6200008392334
2018-01-24,19.010000228881836
2018-01-25,19.229999542236328
2018-01-26,19.280000686645508
2018-01-29,18.010000228881836
2018-01-30,18.1200008392334
2018-01-31,16.8700008392334
2018-02-01,16.579999923706055
2018-02-02,16.299999237060547
2018-02-05,16.06999969482422
2018-02-06,16.15999984741211
2018-02-07,16.670000076293945
2018-02-08,16.510000228881836
2018-02-09,17.329999923706055
2018-02-12,16.799999237060547
2018-02-13,16.8799991607666
2018-02-14,17.639999389648438
2018-02-15,17.43000030517578
2018-02-16,18.0
2018-02-20,17.6200008392334
2018-02-21,17.399999618530273
2018-02-22,17.5
2018-02-23,17.579999923706055
2018-02-26,17.450000762939453
2018-02-27,17.43000030517578
2018-02-28,17.34000015258789
2018-03-01,16.799999237060547
2018-03-02,16.649999618530273
2018-03-05,16.549999237060547
2018-03-06,16.93000030517578
2018-03-07,16.700000762939453
2018-03-08,16.329999923706055
2018-03-09,16.139999389648438
2018-03-12,15.880000114440918
2018-03-13,15.920000076293945
2018-03-14,15.039999961853027
2018-03-15,15.0
2018-03-16,14.680000305175781
2018-03-19,14.40999984741211
2018-03-20,13.550000190734863
2018-03-21,13.9399995803833
2018-03-22,14.460000038146973
2018-03-23,15.779999732971191
2018-03-26,15.869999885559082
2018-03-27,16.139999389648438
2018-03-28,16.549999237060547
2018-03-29,16.479999542236328
2018-04-02,16.299999237060547
2018-04-03,16.1299991607666
2018-04-04,16.5
2018-04-05,16.450000762939453
2018-04-06,16.729999542236328
2018-04-09,16.8799991607666
2018-04-10,17.049999237060547
2018-04-11,17.309999465942383
2018-04-12,18.1200008392334
2018-04-13,17.829999923706055
2018-04-16,17.075000762939453
2018-04-17,17.56999969482422
2018-04-18,17.450000762939453
2018-04-19,16.950000762939453
2018-04-20,17.40999984741211
2018-04-23,18.079999923706055
2018-04-24,18.739999771118164
2018-04-25,19.200000762939453
2018-04-26,19.239999771118164
2018-04-27,18.8700008392334
2018-04-30,19.270000457763672
2018-05-01,19.15999984741211
2018-05-02,18.670000076293945
2018-05-03,18.5
2018-05-04,19.899999618530273
2018-05-07,19.950000762939453
2018-05-08,20.0
2018-05-09,19.510000228881836
2018-05-10,19.489999771118164
2018-05-11,19.989999771118164
2018-05-14,19.450000762939453
2018-05-15,19.190000534057617
2018-05-16,18.709999084472656
2018-05-17,19.3799991607666
2018-05-18,19.520000457763672
2018-05-21,19.3799991607666
2018-05-22,19.739999771118164
2018-05-23,19.389999389648438
2018-05-24,19.25
2018-05-25,18.950000762939453
2018-05-29,19.149999618530273
2018-05-30,19.200000762939453
2018-05-31,18.979999542236328
2018-06-01,18.5
2018-06-04,18.559999465942383
2018-06-05,19.270000457763672
2018-06-06,19.559999465942383
2018-06-07,19.540000915527344
2018-06-08,19.469999313354492
2018-06-11,19.739999771118164
2018-06-12,19.31999969482422
2018-06-13,19.549999237060547
2018-06-14,19.809999465942383
2018-06-15,20.489999771118164
2018-06-18,19.940000534057617
2018-06-19,20.1299991607666
2018-06-20,21.290000915527344
2018-06-21,21.530000686645508
2018-06-22,24.549999237060547
2018-06-25,25.770000457763672
2018-06-26,25.280000686645508
2018-06-27,26.989999771118164
2018-06-28,25.489999771118164
2018-06-29,24.81999969482422
2018-07-02,24.700000762939453
2018-07-03,24.729999542236328
2018-07-05,23.479999542236328
2018-07-06,23.59000015258789
2018-07-09,23.56999969482422
2018-07-10,23.280000686645508
2018-07-11,23.270000457763672
2018-07-12,23.040000915527344
2018-07-13,22.639999389648438
2018-07-16,22.260000228881836
2018-07-17,22.700000762939453
2018-07-18,22.299999237060547
2018-07-19,23.43000030517578
2018-07-20,23.479999542236328
2018-07-23,23.540000915527344
2018-07-24,23.610000610351562
2018-07-25,24.0
2018-07-26,24.649999618530273
2018-07-27,24.040000915527344
2018-07-30,24.1299991607666
2018-07-31,24.579999923706055
2018-08-01,24.229999542236328
2018-08-02,24.649999618530273
2018-08-03,25.3700008392334
2018-08-06,25.100000381469727
2018-08-07,25.170000076293945
2018-08-08,25.290000915527344
2018-08-09,25.969999313354492
2018-08-10,25.010000228881836
2018-08-13,26.0
2018-08-14,26.0
2018-08-15,26.030000686645508
2018-08-16,26.139999389648438
2018-08-17,26.18000030517578
2018-08-20,25.899999618530273
2018-08-21,25.899999618530273
2018-08-22,26.290000915527344
2018-08-23,26.420000076293945
2018-08-24,26.110000610351562
2018-08-27,25.940000534057617
2018-08-28,25.280000686645508
2018-08-29,25.31999969482422
2018-08-30,25.209999084472656
2018-08-31,24.719999313354492
2018-09-04,23.979999542236328
