,BYND
2019-05-02,65.75
2019-05-03,66.79000091552734
2019-05-06,74.79000091552734
2019-05-07,79.16999816894531
2019-05-08,72.25
2019-05-09,68.2699966430664
2019-05-10,66.22000122070312
2019-05-13,69.5
2019-05-14,79.68000030517578
2019-05-15,86.91999816894531
2019-05-16,92.91999816894531
2019-05-17,89.3499984741211
2019-05-20,86.08999633789062
2019-05-21,77.5
2019-05-22,77.62999725341797
2019-05-23,82.0999984741211
2019-05-24,79.66999816894531
2019-05-28,86.0
2019-05-29,97.5
2019-05-30,98.58999633789062
2019-05-31,104.12000274658203
2019-06-03,96.16000366210938
2019-06-04,103.41000366210938
2019-06-05,102.5999984741211
2019-06-06,99.5
2019-06-07,138.64999389648438
2019-06-10,168.10000610351562
2019-06-11,126.04000091552734
2019-06-12,141.97000122070312
2019-06-13,141.38999938964844
2019-06-14,151.47999572753906
2019-06-17,169.9600067138672
2019-06-18,169.88999938964844
2019-06-19,169.27999877929688
2019-06-20,165.1699981689453
2019-06-21,154.1300048828125
2019-06-24,140.99000549316406
2019-06-25,150.60000610351562
2019-06-26,160.47999572753906
2019-06-27,162.91000366210938
2019-06-28,160.67999267578125
2019-07-01,152.5800018310547
2019-07-02,149.7100067138672
2019-07-03,151.5
2019-07-05,152.6300048828125
2019-07-08,156.6699981689453
2019-07-09,157.82000732421875
2019-07-10,163.50999450683594
2019-07-11,174.1999969482422
2019-07-12,166.80999755859375
2019-07-15,166.52999877929688
2019-07-16,172.58999633789062
2019-07-17,169.63999938964844
2019-07-18,170.33999633789062
2019-07-19,176.7899932861328
2019-07-22,194.1999969482422
2019-07-23,195.47999572753906
2019-07-24,202.9199981689453
2019-07-25,222.86000061035156
2019-07-26,234.89999389648438
2019-07-29,222.1300048828125
2019-07-30,194.75999450683594
2019-07-31,196.50999450683594
2019-08-01,176.0399932861328
2019-08-02,177.11000061035156
2019-08-05,175.94000244140625
2019-08-06,161.24000549316406
2019-08-07,167.0
2019-08-08,162.6999969482422
2019-08-09,164.3699951171875
2019-08-12,169.11000061035156
2019-08-13,167.2899932861328
2019-08-14,162.89999389648438
2019-08-15,144.1999969482422
2019-08-16,144.77000427246094
2019-08-19,144.50999450683594
2019-08-20,153.97000122070312
2019-08-21,151.9499969482422
2019-08-22,150.99000549316406
2019-08-23,146.85000610351562
2019-08-26,155.1300048828125
2019-08-27,157.02000427246094
2019-08-28,160.30999755859375
2019-08-29,165.47999572753906
2019-08-30,167.6300048828125
2019-09-03,163.14999389648438
2019-09-04,163.67999267578125
2019-09-05,160.97000122070312
2019-09-06,154.99000549316406
2019-09-09,149.52999877929688
2019-09-10,146.89999389648438
2019-09-11,151.80999755859375
2019-09-12,152.9600067138672
2019-09-13,155.97999572753906
2019-09-16,158.97000122070312
2019-09-17,160.30999755859375
2019-09-18,153.99000549316406
2019-09-19,154.9199981689453
2019-09-20,155.25999450683594
2019-09-23,148.22000122070312
2019-09-24,142.99000549316406
2019-09-25,138.32000732421875
2019-09-26,154.33999633789062
2019-09-27,151.66000366210938
2019-09-30,148.6199951171875
2019-10-01,146.4199981689453
2019-10-02,143.3000030517578
2019-10-03,145.44000244140625
2019-10-04,145.72000122070312
2019-10-07,145.05999755859375
2019-10-08,142.72999572753906
2019-10-09,139.35000610351562
2019-10-10,136.0
2019-10-11,131.38999938964844
2019-10-14,126.30999755859375
2019-10-15,122.05000305175781
2019-10-16,123.91999816894531
2019-10-17,117.3499984741211
2019-10-18,109.98999786376953
2019-10-21,110.12999725341797
2019-10-22,106.4000015258789
2019-10-23,97.9000015258789
2019-10-24,101.69999694824219
2019-10-25,100.80999755859375
2019-10-28,105.41000366210938
2019-10-29,81.98999786376953
2019-10-30,88.88999938964844
2019-10-31,84.44999694824219
2019-11-01,82.0
