,CTRM
2019-02-11,5.050000190734863
2019-02-12,5.050000190734863
2019-02-13,5.099999904632568
2019-02-14,5.199999809265137
2019-02-15,5.199999809265137
2019-02-19,5.199999809265137
2019-02-20,5.199999809265137
2019-02-21,5.199999809265137
2019-02-22,5.199999809265137
2019-02-25,5.230000019073486
2019-02-26,5.179999828338623
2019-02-27,5.099999904632568
2019-02-28,5.130000114440918
2019-03-01,5.119999885559082
2019-03-04,5.050000190734863
2019-03-05,5.050000190734863
2019-03-06,5.050000190734863
2019-03-07,5.050000190734863
2019-03-08,5.0
2019-03-11,9.0
2019-03-12,6.25
2019-03-13,5.550000190734863
2019-03-14,5.019999980926514
2019-03-15,5.0
2019-03-18,4.5
2019-03-19,4.060999870300293
2019-03-20,4.099999904632568
2019-03-21,4.75
2019-03-22,4.590000152587891
2019-03-25,4.900000095367432
2019-03-26,10.149999618530273
2019-03-27,9.109999656677246
2019-03-28,6.340000152587891
2019-03-29,5.46999979019165
2019-04-01,5.260000228881836
2019-04-02,5.960000038146973
2019-04-03,5.570000171661377
2019-04-04,5.300000190734863
2019-04-05,5.380000114440918
2019-04-08,5.119999885559082
2019-04-09,5.210000038146973
2019-04-10,5.130000114440918
2019-04-11,5.050000190734863
2019-04-12,5.75
2019-04-15,5.380000114440918
2019-04-16,5.590000152587891
2019-04-17,5.420000076293945
2019-04-18,5.269999980926514
2019-04-22,5.199999809265137
2019-04-23,5.239999771118164
2019-04-24,5.460000038146973
2019-04-25,5.690000057220459
2019-04-26,6.400000095367432
2019-04-29,6.730000019073486
2019-04-30,6.46999979019165
2019-05-01,6.239999771118164
2019-05-02,5.800000190734863
2019-05-03,5.900000095367432
2019-05-06,5.619999885559082
2019-05-07,5.650000095367432
2019-05-08,5.699999809265137
2019-05-09,5.320000171661377
2019-05-10,5.210000038146973
2019-05-13,5.130000114440918
2019-05-14,5.199999809265137
2019-05-15,5.550000190734863
2019-05-16,5.489999771118164
2019-05-17,5.375
2019-05-20,5.349999904632568
2019-05-21,5.28000020980835
2019-05-22,5.179999828338623
2019-05-23,5.070000171661377
2019-05-24,5.03000020980835
2019-05-28,4.9670000076293945
2019-05-29,4.650000095367432
2019-05-30,4.869999885559082
2019-05-31,4.75
2019-06-03,4.309999942779541
2019-06-04,5.860000133514404
2019-06-05,4.800000190734863
2019-06-06,4.389999866485596
2019-06-07,4.460000038146973
2019-06-10,4.480000019073486
2019-06-11,4.380000114440918
2019-06-12,4.340000152587891
2019-06-13,4.610000133514404
2019-06-14,4.464000225067139
2019-06-17,4.480000019073486
2019-06-18,4.4029998779296875
2019-06-19,4.3379998207092285
2019-06-20,4.25
2019-06-21,4.079999923706055
2019-06-24,4.099999904632568
2019-06-25,4.170000076293945
2019-06-26,4.099999904632568
2019-06-27,4.190000057220459
2019-06-28,4.269999980926514
2019-07-01,4.21999979019165
2019-07-02,4.166999816894531
2019-07-03,4.151000022888184
2019-07-05,4.119999885559082
2019-07-08,4.079999923706055
2019-07-09,4.340000152587891
2019-07-10,4.150000095367432
2019-07-11,4.10099983215332
2019-07-12,4.010000228881836
2019-07-15,4.150000095367432
2019-07-16,4.039999961853027
2019-07-17,4.139999866485596
2019-07-18,4.110000133514404
2019-07-19,4.110000133514404
2019-07-22,4.190000057220459
2019-07-23,4.158999919891357
2019-07-24,4.150000095367432
2019-07-25,4.050000190734863
2019-07-26,4.050000190734863
2019-07-29,3.815000057220459
2019-07-30,3.2699999809265137
2019-07-31,3.140000104904175
2019-08-01,3.0999999046325684
2019-08-02,2.9660000801086426
2019-08-05,2.880000114440918
2019-08-06,2.7899999618530273
2019-08-07,2.8499999046325684
2019-08-08,3.2100000381469727
2019-08-09,2.880000114440918
2019-08-12,2.930000066757202
2019-08-13,2.9000000953674316
2019-08-14,2.700000047683716
2019-08-15,2.6649999618530273
2019-08-16,2.744999885559082
2019-08-19,2.9700000286102295
2019-08-20,2.880000114440918
2019-08-21,3.0
2019-08-22,3.140000104904175
2019-08-23,2.950000047683716
2019-08-26,2.940000057220459
2019-08-27,2.9000000953674316
2019-08-28,3.1500000953674316
2019-08-29,3.055999994277954
2019-08-30,3.140000104904175
2019-09-03,3.0
2019-09-04,3.130000114440918
2019-09-05,3.059999942779541
2019-09-06,2.740000009536743
2019-09-09,2.799999952316284
2019-09-10,2.799999952316284
2019-09-11,2.740000009536743
2019-09-12,2.7330000400543213
2019-09-13,2.7699999809265137
2019-09-16,2.7899999618530273
2019-09-17,2.7699999809265137
2019-09-18,2.7699999809265137
2019-09-19,2.740000009536743
2019-09-20,2.740000009536743
2019-09-23,2.8299999237060547
2019-09-24,2.7300000190734863
2019-09-25,2.7799999713897705
2019-09-26,2.759999990463257
2019-09-27,2.8399999141693115
2019-09-30,2.890000104904175
2019-10-01,2.9000000953674316
2019-10-02,2.9200000762939453
2019-10-03,3.009999990463257
2019-10-04,3.119999885559082
2019-10-07,3.119999885559082
2019-10-08,3.0999999046325684
2019-10-09,3.2200000286102295
2019-10-10,3.2260000705718994
2019-10-11,3.25
