,EQRR
2017-07-25,40.65999984741211
2017-07-26,40.237998962402344
2017-07-27,39.959999084472656
2017-07-28,40.060001373291016
2017-07-31,40.29199981689453
2017-08-01,40.06999969482422
2017-08-02,40.029998779296875
2017-08-03,40.029998779296875
2017-08-04,40.029998779296875
2017-08-07,40.029998779296875
2017-08-08,40.029998779296875
2017-08-09,39.65800094604492
2017-08-10,39.20000076293945
2017-08-11,39.20000076293945
2017-08-14,39.31399917602539
2017-08-15,39.310001373291016
2017-08-16,39.310001373291016
2017-08-17,38.34700012207031
2017-08-18,38.349998474121094
2017-08-21,38.130001068115234
2017-08-22,38.130001068115234
2017-08-23,38.59000015258789
2017-08-24,38.790000915527344
2017-08-25,38.790000915527344
2017-08-28,38.71099853515625
2017-08-29,38.5
2017-08-30,38.5
2017-08-31,39.130001068115234
2017-09-01,39.130001068115234
2017-09-05,38.720001220703125
2017-09-06,39.04999923706055
2017-09-07,39.04999923706055
2017-09-08,38.89400100708008
2017-09-11,39.404998779296875
2017-09-12,39.78200149536133
2017-09-13,39.78200149536133
2017-09-14,39.78200149536133
2017-09-15,40.060001373291016
2017-09-18,40.5
2017-09-19,40.5
2017-09-20,40.5
2017-09-21,40.5
2017-09-22,42.939998626708984
2017-09-25,42.939998626708984
2017-09-26,41.78900146484375
2017-09-27,41.78900146484375
2017-09-28,42.02000045776367
2017-09-29,42.215999603271484
2017-10-02,42.22999954223633
2017-10-03,42.45000076293945
2017-10-04,42.439998626708984
2017-10-05,42.779998779296875
2017-10-06,42.65999984741211
2017-10-09,42.599998474121094
2017-10-10,42.58000183105469
2017-10-11,42.59000015258789
2017-10-12,42.540000915527344
2017-10-13,42.59000015258789
2017-10-16,42.59000015258789
2017-10-17,42.36000061035156
2017-10-18,41.70000076293945
2017-10-19,42.31999969482422
2017-10-20,42.90999984741211
2017-10-23,42.90999984741211
2017-10-24,43.202999114990234
2017-10-25,42.619998931884766
2017-10-26,43.08599853515625
2017-10-27,43.08599853515625
2017-10-30,42.25
2017-10-31,43.22999954223633
2017-11-01,43.439998626708984
2017-11-02,43.66999816894531
2017-11-03,43.790000915527344
2017-11-06,43.810001373291016
2017-11-07,43.810001373291016
2017-11-08,43.83000183105469
2017-11-09,43.83000183105469
2017-11-10,43.83000183105469
2017-11-13,43.38999938964844
2017-11-14,43.38999938964844
2017-11-15,43.38999938964844
2017-11-16,43.15999984741211
2017-11-17,43.400001525878906
2017-11-20,43.400001525878906
2017-11-21,43.65999984741211
2017-11-22,43.65999984741211
2017-11-24,43.65999984741211
2017-11-27,43.65999984741211
2017-11-28,43.29499816894531
2017-11-29,43.29499816894531
2017-11-30,43.25
2017-12-01,43.10499954223633
2017-12-04,45.12200164794922
2017-12-05,45.12200164794922
2017-12-06,44.7869987487793
2017-12-07,44.7869987487793
2017-12-08,45.36000061035156
2017-12-11,45.36000061035156
2017-12-12,45.60499954223633
2017-12-13,45.527000427246094
2017-12-14,45.189998626708984
2017-12-15,45.279998779296875
2017-12-18,45.91999816894531
2017-12-19,46.0
2017-12-20,46.308998107910156
2017-12-21,46.810001373291016
2017-12-22,46.71900177001953
2017-12-26,46.599998474121094
2017-12-27,46.599998474121094
2017-12-28,46.599998474121094
2017-12-29,46.68000030517578
2018-01-02,47.04600143432617
2018-01-03,47.619998931884766
2018-01-04,47.970001220703125
