,DHBCU
2021-03-02,10.0
2021-03-03,10.0
2021-03-04,10.01099967956543
2021-03-05,10.050000190734863
2021-03-08,10.03499984741211
2021-03-09,10.0
2021-03-10,10.0
2021-03-11,10.029999732971191
2021-03-12,9.979999542236328
2021-03-15,10.020000457763672
2021-03-16,9.979999542236328
2021-03-17,9.970000267028809
2021-03-18,9.960000038146973
2021-03-19,9.930000305175781
2021-03-22,9.970000267028809
2021-03-23,9.880000114440918
2021-03-24,9.880000114440918
2021-03-25,9.829999923706055
2021-03-26,9.90999984741211
2021-03-29,9.90999984741211
2021-03-30,9.90999984741211
2021-03-31,9.920000076293945
2021-04-01,9.9399995803833
2021-04-05,10.0
2021-04-06,10.0
2021-04-07,9.960000038146973
2021-04-08,9.960000038146973
2021-04-09,9.989999771118164
2021-04-12,10.0600004196167
2021-04-13,10.0600004196167
2021-04-14,10.050000190734863
2021-04-15,10.050000190734863
2021-04-16,10.029999732971191
2021-04-19,10.029999732971191
2021-04-20,10.010000228881836
2021-04-21,10.0
2021-04-22,10.0
2021-04-23,10.010000228881836
2021-04-26,9.989999771118164
2021-04-27,10.010000228881836
2021-04-28,9.975000381469727
2021-04-29,9.989999771118164
2021-04-30,9.979999542236328
2021-05-03,10.0
2021-05-04,10.039999961853027
2021-05-05,10.020000457763672
2021-05-06,9.989999771118164
2021-05-07,10.0
2021-05-10,10.0
2021-05-11,10.0
2021-05-12,10.0
2021-05-13,10.0
2021-05-14,10.010000228881836
