,BBY
1985-04-18,0.16666699945926666
1985-04-19,0.1682099997997284
1985-04-22,0.16666699945926666
1985-04-23,0.1635800004005432
1985-04-24,0.1635800004005432
1985-04-25,0.15586400032043457
1985-04-26,0.1527779996395111
1985-04-29,0.14814800024032593
1985-04-30,0.14814800024032593
1985-05-01,0.14043200016021729
1985-05-02,0.13888899981975555
1985-05-03,0.14351899921894073
1985-05-06,0.1466049998998642
1985-05-07,0.14814800024032593
1985-05-08,0.14814800024032593
1985-05-09,0.15586400032043457
1985-05-10,0.16049399971961975
1985-05-13,0.16203700006008148
1985-05-14,0.16203700006008148
1985-05-15,0.16203700006008148
1985-05-16,0.16666699945926666
1985-05-17,0.1790120005607605
1985-05-20,0.17592599987983704
1985-05-21,0.1682099997997284
1985-05-22,0.17129600048065186
1985-05-23,0.1682099997997284
1985-05-24,0.1682099997997284
1985-05-28,0.17129600048065186
1985-05-29,0.17129600048065186
1985-05-30,0.17129600048065186
1985-05-31,0.1790120005607605
1985-06-03,0.18055599927902222
1985-06-04,0.18055599927902222
1985-06-05,0.18055599927902222
1985-06-06,0.18364199995994568
1985-06-07,0.18827199935913086
1985-06-10,0.18827199935913086
1985-06-11,0.1898149996995926
1985-06-12,0.18827199935913086
1985-06-13,0.17129600048065186
1985-06-14,0.17592599987983704
1985-06-17,0.17129600048065186
1985-06-18,0.17129600048065186
1985-06-19,0.17129600048065186
1985-06-20,0.17129600048065186
1985-06-21,0.16049399971961975
1985-06-24,0.15586400032043457
1985-06-25,0.16666699945926666
1985-06-26,0.1635800004005432
1985-06-27,0.16049399971961975
1985-06-28,0.15586400032043457
1985-07-01,0.15586400032043457
1985-07-02,0.15586400032043457
1985-07-03,0.16049399971961975
1985-07-05,0.16049399971961975
1985-07-08,0.1635800004005432
1985-07-09,0.1635800004005432
1985-07-10,0.16049399971961975
1985-07-11,0.17592599987983704
1985-07-12,0.18055599927902222
1985-07-15,0.1790120005607605
1985-07-16,0.18827199935913086
1985-07-17,0.19444400072097778
1985-07-18,0.18827199935913086
1985-07-19,0.18055599927902222
1985-07-22,0.18055599927902222
1985-07-23,0.1790120005607605
1985-07-24,0.1790120005607605
1985-07-25,0.1790120005607605
1985-07-26,0.1790120005607605
1985-07-29,0.1790120005607605
1985-07-30,0.1790120005607605
1985-07-31,0.18055599927902222
1985-08-01,0.18364199995994568
1985-08-02,0.18364199995994568
1985-08-05,0.18055599927902222
1985-08-06,0.1790120005607605
1985-08-07,0.17592599987983704
1985-08-08,0.1790120005607605
1985-08-09,0.18055599927902222
1985-08-12,0.18055599927902222
1985-08-13,0.18055599927902222
1985-08-14,0.18827199935913086
1985-08-15,0.19135800004005432
1985-08-16,0.18364199995994568
1985-08-19,0.18364199995994568
1985-08-20,0.18827199935913086
1985-08-21,0.18827199935913086
1985-08-22,0.18827199935913086
1985-08-23,0.18827199935913086
1985-08-26,0.18827199935913086
1985-08-27,0.19444400072097778
1985-08-28,0.2067900002002716
1985-08-29,0.20833300054073334
1985-08-30,0.2114199995994568
1985-09-03,0.2222220003604889
1985-09-04,0.2114199995994568
1985-09-05,0.21604900062084198
1985-09-06,0.21913599967956543
1985-09-09,0.2222220003604889
1985-09-10,0.21913599967956543
1985-09-11,0.21604900062084198
1985-09-12,0.21604900062084198
1985-09-13,0.2067900002002716
1985-09-16,0.20370399951934814
1985-09-17,0.20370399951934814
1985-09-18,0.20370399951934814
1985-09-19,0.20370399951934814
1985-09-20,0.20370399951934814
1985-09-23,0.2067900002002716
1985-09-24,0.2067900002002716
1985-09-25,0.2067900002002716
1985-09-26,0.2067900002002716
1985-09-30,0.2114199995994568
1985-10-01,0.2114199995994568
1985-10-02,0.2114199995994568
1985-10-03,0.2114199995994568
1985-10-04,0.20833300054073334
1985-10-07,0.20833300054073334
1985-10-08,0.2114199995994568
1985-10-09,0.21604900062084198
1985-10-10,0.21604900062084198
1985-10-11,0.23148100078105927
1985-10-14,0.23456799983978271
1985-10-15,0.23611100018024445
1985-10-16,0.2391979992389679
1985-10-17,0.25
1985-10-18,0.24691399931907654
1985-10-21,0.2391979992389679
1985-10-22,0.2438270002603531
1985-10-23,0.2438270002603531
1985-10-24,0.2391979992389679
1985-10-25,0.23611100018024445
1985-10-28,0.2391979992389679
1985-10-29,0.2391979992389679
1985-10-30,0.2391979992389679
1985-10-31,0.24691399931907654
1985-11-01,0.25
1985-11-04,0.25154298543930054
1985-11-05,0.27469098567962646
1985-11-06,0.26388901472091675
1985-11-07,0.27932101488113403
1985-11-08,0.2824069857597351
1985-11-11,0.27932101488113403
1985-11-12,0.27932101488113403
1985-11-13,0.27932101488113403
1985-11-14,0.3024689853191376
1985-11-15,0.29166701436042786
1985-11-18,0.2993830144405365
1985-11-19,0.29166701436042786
1985-11-20,0.29166701436042786
1985-11-21,0.29166701436042786
1985-11-22,0.2993830144405365
1985-11-25,0.29475298523902893
1985-11-26,0.29475298523902893
1985-11-27,0.29166701436042786
1985-11-29,0.2993830144405365
1985-12-02,0.3024689853191376
1985-12-03,0.31790098547935486
1985-12-04,0.3379630148410797
1985-12-05,0.3425930142402649
1985-12-06,0.34567898511886597
1985-12-09,0.3580250144004822
1985-12-10,0.34567898511886597
1985-12-11,0.3472220003604889
1985-12-12,0.35493800044059753
1985-12-13,0.35493800044059753
1985-12-16,0.35030901432037354
1985-12-17,0.35493800044059753
1985-12-18,0.33333298563957214
1985-12-19,0.33024701476097107
1985-12-20,0.3225310146808624
1985-12-23,0.33333298563957214
1985-12-24,0.33024701476097107
1985-12-26,0.3317900002002716
