,CSOD
2011-03-17,19.06999969482422
2011-03-18,18.25
2011-03-21,18.190000534057617
2011-03-22,18.059999465942383
2011-03-23,17.940000534057617
2011-03-24,19.020000457763672
2011-03-25,18.5
2011-03-28,18.530000686645508
2011-03-29,18.350000381469727
2011-03-30,18.579999923706055
2011-03-31,18.229999542236328
2011-04-01,17.780000686645508
2011-04-04,18.56999969482422
2011-04-05,18.8700008392334
2011-04-06,19.079999923706055
2011-04-07,18.770000457763672
2011-04-08,18.700000762939453
2011-04-11,18.559999465942383
2011-04-12,18.030000686645508
2011-04-13,18.200000762939453
2011-04-14,18.040000915527344
2011-04-15,17.799999237060547
2011-04-18,17.389999389648438
2011-04-19,17.420000076293945
2011-04-20,18.290000915527344
2011-04-21,18.010000228881836
2011-04-25,18.149999618530273
2011-04-26,18.15999984741211
2011-04-27,18.719999313354492
2011-04-28,18.899999618530273
2011-04-29,19.139999389648438
2011-05-02,20.1299991607666
2011-05-03,20.270000457763672
2011-05-04,21.510000228881836
2011-05-05,21.43000030517578
2011-05-06,21.100000381469727
2011-05-09,21.229999542236328
2011-05-10,21.299999237060547
2011-05-11,22.739999771118164
2011-05-12,21.34000015258789
2011-05-13,20.100000381469727
2011-05-16,19.600000381469727
2011-05-17,19.700000762939453
2011-05-18,19.670000076293945
2011-05-19,19.68000030517578
2011-05-20,19.790000915527344
2011-05-23,20.0
2011-05-24,19.15999984741211
2011-05-25,19.110000610351562
2011-05-26,19.790000915527344
2011-05-27,19.5
2011-05-31,19.309999465942383
2011-06-01,19.520000457763672
2011-06-02,19.260000228881836
2011-06-03,19.09000015258789
2011-06-06,19.219999313354492
2011-06-07,18.1299991607666
2011-06-08,18.25
2011-06-09,18.889999389648438
2011-06-10,18.850000381469727
2011-06-13,18.520000457763672
2011-06-14,19.790000915527344
2011-06-15,18.530000686645508
2011-06-16,18.139999389648438
2011-06-17,17.489999771118164
2011-06-20,17.790000915527344
2011-06-21,18.079999923706055
2011-06-22,19.049999237060547
2011-06-23,18.559999465942383
2011-06-24,17.559999465942383
2011-06-27,18.420000076293945
2011-06-28,18.649999618530273
2011-06-29,18.270000457763672
2011-06-30,17.649999618530273
2011-07-01,17.920000076293945
2011-07-05,18.110000610351562
2011-07-06,18.399999618530273
2011-07-07,19.1200008392334
2011-07-08,19.020000457763672
2011-07-11,18.420000076293945
2011-07-12,18.739999771118164
2011-07-13,18.93000030517578
2011-07-14,18.889999389648438
2011-07-15,18.420000076293945
2011-07-18,17.440000534057617
2011-07-19,19.479999542236328
2011-07-20,18.049999237060547
2011-07-21,17.649999618530273
2011-07-22,17.09000015258789
2011-07-25,17.6299991607666
2011-07-26,17.969999313354492
2011-07-27,16.860000610351562
2011-07-28,15.850000381469727
2011-07-29,16.399999618530273
2011-08-01,17.15999984741211
2011-08-02,16.469999313354492
2011-08-03,16.65999984741211
2011-08-04,16.1200008392334
2011-08-05,15.020000457763672
2011-08-08,14.630000114440918
2011-08-09,14.369999885559082
2011-08-10,14.109999656677246
2011-08-11,14.710000038146973
2011-08-12,16.43000030517578
2011-08-15,17.309999465942383
2011-08-16,17.0
2011-08-17,16.299999237060547
2011-08-18,14.479999542236328
2011-08-19,14.140000343322754
2011-08-22,14.039999961853027
2011-08-23,14.949999809265137
2011-08-24,14.890000343322754
2011-08-25,13.989999771118164
2011-08-26,14.270000457763672
2011-08-29,15.680000305175781
2011-08-30,15.369999885559082
2011-08-31,15.520000457763672
2011-09-01,15.40999984741211
2011-09-02,14.34000015258789
2011-09-06,13.399999618530273
2011-09-07,13.430000305175781
2011-09-08,13.279999732971191
2011-09-09,12.5600004196167
2011-09-12,12.130000114440918
2011-09-13,13.09000015258789
2011-09-14,13.079999923706055
2011-09-15,12.710000038146973
2011-09-16,12.9399995803833
2011-09-19,12.699999809265137
2011-09-20,12.430000305175781
2011-09-21,12.170000076293945
2011-09-22,12.40999984741211
2011-09-23,12.970000267028809
2011-09-26,12.640000343322754
2011-09-27,13.079999923706055
2011-09-28,13.390000343322754
