,ALTU
2021-01-29,10.100000381469727
2021-02-01,10.180000305175781
2021-02-02,10.140000343322754
2021-02-03,10.25
2021-02-04,10.260000228881836
2021-02-05,10.279999732971191
2021-02-08,10.260000228881836
2021-02-09,10.359999656677246
2021-02-10,10.319999694824219
2021-02-11,10.390000343322754
2021-02-12,10.470000267028809
2021-02-16,10.6899995803833
2021-02-17,10.680000305175781
2021-02-18,12.100000381469727
2021-02-19,13.529999732971191
2021-02-22,13.140000343322754
2021-02-23,12.010000228881836
2021-02-24,12.050000190734863
2021-02-25,11.449999809265137
2021-02-26,11.6899995803833
2021-03-01,12.25
2021-03-02,11.319999694824219
2021-03-03,10.960000038146973
2021-03-04,10.529999732971191
2021-03-05,10.649999618530273
2021-03-08,10.15999984741211
2021-03-09,10.449999809265137
2021-03-10,10.399999618530273
2021-03-11,10.649999618530273
2021-03-12,10.619999885559082
2021-03-15,10.40999984741211
2021-03-16,10.40999984741211
2021-03-17,10.390000343322754
2021-03-18,10.3100004196167
2021-03-19,10.239999771118164
2021-03-22,10.289999961853027
2021-03-23,9.979999542236328
2021-03-24,9.869999885559082
2021-03-25,9.930000305175781
2021-03-26,10.220000267028809
2021-03-29,10.020000457763672
2021-03-30,9.920000076293945
2021-03-31,10.029999732971191
2021-04-01,10.039999961853027
2021-04-05,10.039999961853027
2021-04-06,10.010000228881836
2021-04-07,10.0600004196167
2021-04-08,10.119999885559082
2021-04-09,10.180000305175781
2021-04-12,10.119999885559082
2021-04-13,10.109999656677246
2021-04-14,10.029999732971191
2021-04-15,10.029999732971191
2021-04-16,10.0
2021-04-19,9.9399995803833
2021-04-20,9.84000015258789
2021-04-21,9.8100004196167
2021-04-22,9.850000381469727
2021-04-23,9.869999885559082
2021-04-26,9.899999618530273
2021-04-27,9.880000114440918
2021-04-28,9.920000076293945
2021-04-29,9.90999984741211
2021-04-30,9.960000038146973
2021-05-03,9.920000076293945
2021-05-04,9.930000305175781
2021-05-05,9.859999656677246
2021-05-06,9.90999984741211
2021-05-07,9.9399995803833
2021-05-10,9.829999923706055
2021-05-11,9.829999923706055
2021-05-12,9.779999732971191
2021-05-13,9.789999961853027
2021-05-14,9.789999961853027
